instance_id,logical_reasoning_required,debugging_complexity,verification_difficulty,atypicality,solution_hint,reproduction_clarity,expected_behavior_clarity,information_completeness,domain_knowledge_required,similar_issue_likelihood,error_specificity,side_effect_risk,codebase_scope,standard_pattern_available,problem_clarity
adaptive-rejection-sampler,4,4,4,4,2,4,4,4,5,1,4,2,1,1,4
bn-fit-modify,4,4,4,4,2,3,3,3,5,0,4,2,1,0,4
break-filter-js-from-html,4,4,2,3,1,5,4,3,4,1,4,2,1,1,4
build-cython-ext,4,4,3,3,2,4,4,4,4,1,4,3,3,0,4
build-pmars,3,3,2,3,2,4,4,4,3,1,4,2,2,1,4
build-pov-ray,4,4,3,4,2,4,4,3,4,0,4,3,3,0,4
caffe-cifar-10,3,4,4,3,2,3,5,4,4,1,5,3,3,1,4
cancel-async-tasks,4,3,4,3,1,4,3,3,4,1,4,2,1,1,3
chess-best-move,5,5,4,5,0,3,4,3,5,0,4,2,1,0,3
circuit-fibsqrt,5,5,3,5,1,4,5,4,5,0,5,1,1,0,4
cobol-modernization,4,4,3,4,1,4,5,3,4,0,5,2,3,0,4
code-from-image,3,3,2,4,2,3,4,3,3,0,4,2,1,0,3
compile-compcert,3,3,3,3,1,3,4,3,4,1,4,2,5,1,4
configure-git-webserver,4,4,3,3,1,4,5,3,4,1,4,4,3,1,4
constraints-scheduling,4,3,4,4,2,4,4,4,3,0,5,2,1,0,5
count-dataset-tokens,3,3,4,3,2,3,4,3,4,1,4,2,1,0,4
crack-7z-hash,3,4,2,3,1,2,4,2,4,1,4,2,1,1,3
custom-memory-heap-crash,5,5,3,5,1,5,3,3,5,0,3,2,3,0,3
db-wal-recovery,4,4,3,4,1,3,4,3,4,0,4,2,1,0,4
distribution-search,4,4,3,4,1,4,5,4,4,0,5,2,1,0,4
dna-assembly,5,5,5,5,2,3,4,3,5,0,4,2,2,0,4
dna-insert,5,5,4,5,2,3,4,3,5,0,4,2,2,0,4
extract-elf,4,4,3,4,1,4,3,2,4,0,4,1,1,0,3
extract-moves-from-video,4,5,5,5,1,2,2,2,5,0,3,2,1,0,3
feal-differential-cryptanalysis,5,5,3,4,2,3,4,3,5,0,4,1,2,1,3
feal-linear-cryptanalysis,5,5,2,4,2,3,4,3,5,0,4,1,3,0,4
filter-js-from-html,4,4,4,3,1,3,3,2,4,1,3,2,1,1,3
financial-document-processor,4,4,4,4,2,3,4,3,4,1,4,2,2,0,4
fix-code-vulnerability,4,3,2,3,1,4,3,3,4,1,3,2,1,1,3
fix-git,3,3,3,2,1,2,3,2,3,1,3,2,1,1,2
fix-ocaml-gc,5,5,3,5,1,3,4,2,5,0,3,2,3,0,3
gcode-to-text,4,4,4,5,1,2,3,2,4,0,3,1,1,0,3
git-leak-recovery,3,3,3,2,2,4,4,4,3,1,4,2,1,1,4
git-multibranch,3,4,4,3,2,5,5,4,4,1,5,4,4,1,5
gpt2-codegolf,5,5,4,5,1,4,3,3,5,0,4,2,1,0,4
headless-terminal,4,4,4,3,1,3,3,2,4,1,3,3,1,1,3
hf-model-inference,3,3,3,2,3,4,5,5,3,1,5,3,2,1,5
install-windows-3.11,3,4,4,4,2,3,3,3,4,1,4,3,3,0,4
kv-store-grpc,2,2,3,2,3,5,4,4,3,1,5,3,2,1,5
large-scale-text-editing,4,4,3,4,1,5,4,2,4,0,5,2,1,0,4
largest-eigenval,4,4,4,3,1,4,4,4,4,0,4,2,1,1,4
llm-inference-batching-scheduler,4,4,4,4,2,4,5,4,4,0,5,2,2,0,4
log-summary-date-ranges,3,2,3,2,2,4,5,4,2,1,5,2,1,1,5
mailman,4,4,4,4,2,3,4,3,5,1,4,4,4,0,4
make-doom-for-mips,4,4,4,5,1,3,3,2,5,0,3,2,3,0,3
make-mips-interpreter,5,5,4,5,1,3,3,2,5,0,3,2,5,0,3
mcmc-sampling-stan,3,4,4,3,3,4,3,4,5,1,4,2,2,1,5
merge-diff-arc-agi-task,5,4,4,5,2,4,3,2,4,0,4,2,2,0,4
model-extraction-relu-logits,5,5,4,5,2,3,3,3,5,0,4,2,1,0,4
modernize-scientific-stack,2,2,2,2,3,4,4,4,3,1,4,2,2,1,5
mteb-leaderboard,3,4,4,4,1,2,3,3,5,0,4,2,1,0,4
mteb-retrieve,3,4,4,4,2,3,5,4,4,0,5,2,1,0,4
multi-source-data-merger,4,3,4,3,3,4,4,4,3,1,5,2,1,1,5
nginx-request-logging,3,2,3,2,3,4,5,5,3,1,5,4,3,1,5
openssl-selfsigned-cert,2,2,3,1,3,4,4,4,3,1,5,2,2,1,5
overfull-hbox,4,4,2,4,2,3,4,3,4,0,4,2,2,0,4
password-recovery,3,3,3,3,1,3,4,3,4,1,4,2,1,1,4
path-tracing,5,5,4,5,1,5,4,3,5,0,4,2,1,0,3
path-tracing-reverse,4,4,3,4,1,4,3,3,4,0,4,2,1,0,4
polyglot-c-py,4,3,2,4,1,5,4,5,4,1,5,2,1,1,5
polyglot-rust-c,4,4,2,4,1,5,4,5,4,1,5,2,1,0,5
portfolio-optimization,3,3,3,2,3,4,4,4,3,1,4,2,3,1,4
protein-assembly,5,5,5,5,2,3,4,3,5,0,5,2,3,0,4
prove-plus-comm,4,3,1,4,1,3,4,3,5,1,3,1,1,1,4
pypi-server,3,3,3,3,2,4,5,4,3,1,5,3,3,1,5
pytorch-model-cli,4,4,4,4,1,3,3,2,4,0,3,2,3,0,3
pytorch-model-recovery,4,3,3,3,2,3,5,3,4,1,5,2,1,1,4
qemu-alpine-ssh,4,4,4,4,2,4,5,4,4,1,5,3,3,0,4
qemu-startup,3,3,4,3,2,4,4,3,4,1,4,3,1,1,4
query-optimize,4,4,3,3,1,4,3,2,3,1,3,1,1,1,3
raman-fitting,3,3,4,4,2,2,4,2,4,1,4,2,1,1,3
regex-chess,5,5,4,5,1,4,5,4,5,0,5,2,1,0,4
regex-log,4,4,4,3,2,4,4,4,3,1,4,1,1,0,4
reshard-c4-data,4,3,4,4,1,4,3,3,3,1,4,2,2,0,3
rstan-to-pystan,3,3,4,3,2,4,4,3,4,1,4,2,2,0,4
sam-cell-seg,4,4,4,4,2,4,3,3,4,0,4,2,2,0,4
sanitize-git-repo,4,3,4,3,2,2,4,2,3,1,3,2,4,1,3
schemelike-metacircular-eval,5,5,4,5,1,5,5,3,5,0,4,2,3,0,4
sparql-university,4,3,4,4,2,4,4,3,4,1,5,1,1,0,4
sqlite-db-truncate,4,4,4,4,1,3,4,3,4,0,3,2,1,0,4
sqlite-with-gcov,3,2,3,3,2,4,3,3,3,1,3,2,1,1,4
torch-pipeline-parallelism,4,4,4,3,2,3,4,4,5,0,4,2,1,1,4
torch-tensor-parallelism,3,3,4,3,2,3,4,3,4,1,4,2,1,1,4
train-fasttext,3,3,4,2,1,2,3,2,3,1,3,2,1,1,3
tune-mjcf,4,4,4,5,1,4,4,3,5,0,4,2,1,0,4
video-processing,4,4,4,4,1,4,4,3,4,0,3,2,1,0,3
vulnerable-secret,4,4,2,3,1,2,4,2,4,0,3,2,1,1,2
winning-avg-corewars,4,4,3,5,1,5,5,4,5,0,5,1,2,1,4
write-compressor,4,4,2,4,1,4,5,3,4,0,4,2,1,0,4
