instance_id,atypicality,verification_difficulty,logical_reasoning_required,debugging_complexity,solution_hint,reproduction_clarity,codebase_scale,dependency_complexity,implementation_language_complexity,similar_issue_likelihood,codebase_scope,expected_behavior_clarity,standard_pattern_available,fix_localization,domain_knowledge_required
adaptive-rejection-sampler,4,4,4,4,2,4,1,2,2,1,1,4,1,4,5
bn-fit-modify,4,4,4,4,2,3,1,1,2,0,1,3,0,5,5
break-filter-js-from-html,3,2,4,4,1,5,1,2,1,1,1,4,1,5,4
build-cython-ext,3,3,4,4,2,4,2,3,3,1,3,4,0,4,4
build-pmars,3,2,3,3,2,4,1,3,4,1,2,4,1,4,3
build-pov-ray,4,3,4,4,2,4,1,2,4,0,3,4,0,5,4
caffe-cifar-10,3,4,3,4,2,3,3,5,4,1,3,5,1,4,4
cancel-async-tasks,3,4,4,3,1,4,1,1,2,1,1,3,1,5,4
chess-best-move,5,4,5,5,0,3,1,1,1,0,1,4,0,5,5
circuit-fibsqrt,5,3,5,5,1,4,1,1,3,0,1,5,0,4,5
cobol-modernization,4,3,4,4,1,4,1,1,2,0,3,5,0,5,4
code-from-image,4,2,3,3,2,3,1,1,2,0,1,4,0,5,3
compile-compcert,3,3,3,3,1,3,3,5,4,1,5,4,1,1,4
configure-git-webserver,3,3,4,4,1,4,1,2,2,1,3,5,1,1,4
constraints-scheduling,4,4,4,3,2,4,1,1,1,0,1,4,0,5,3
count-dataset-tokens,3,4,3,3,2,3,1,3,2,1,1,4,0,5,4
crack-7z-hash,3,2,3,4,1,2,4,4,3,1,1,4,1,5,4
custom-memory-heap-crash,5,3,5,5,1,5,4,4,4,0,3,3,0,5,5
db-wal-recovery,4,3,4,4,1,3,1,1,2,0,1,4,0,5,4
distribution-search,4,3,4,4,1,4,1,2,2,0,1,5,0,5,4
dna-assembly,5,5,5,5,2,3,1,2,2,0,2,4,0,4,5
dna-insert,5,4,5,5,2,3,1,2,1,0,2,4,0,5,5
extract-elf,4,3,4,4,1,4,1,1,3,0,1,3,0,5,4
extract-moves-from-video,5,5,4,5,1,2,1,2,1,0,1,2,0,5,5
feal-differential-cryptanalysis,4,3,5,5,2,3,1,1,2,0,2,4,1,4,5
feal-linear-cryptanalysis,4,2,5,5,2,3,1,1,4,0,3,4,0,4,5
filter-js-from-html,3,4,4,4,1,3,1,2,2,1,1,3,1,5,4
financial-document-processor,4,4,4,4,2,3,1,1,2,1,2,4,0,4,4
fix-code-vulnerability,3,2,4,3,1,4,2,1,1,1,1,3,1,5,4
fix-git,2,3,3,3,1,2,2,2,2,1,1,3,1,4,3
fix-ocaml-gc,5,3,5,5,1,3,4,3,4,0,3,4,0,4,5
gcode-to-text,5,4,4,4,1,2,1,1,1,0,1,3,0,5,4
git-leak-recovery,2,3,3,3,2,4,1,1,1,1,1,4,1,4,3
git-multibranch,3,4,3,4,2,5,1,2,1,1,4,5,1,4,4
gpt2-codegolf,5,4,5,5,1,4,1,2,4,0,1,3,0,5,5
headless-terminal,3,4,4,4,1,3,1,1,2,1,1,3,1,5,4
hf-model-inference,2,3,3,3,3,4,1,3,2,1,2,5,1,4,3
install-windows-3.11,4,4,3,4,2,3,1,4,2,1,3,3,0,4,4
kv-store-grpc,2,3,2,2,3,5,1,2,2,1,2,4,1,5,3
large-scale-text-editing,4,3,4,4,1,5,1,1,2,0,1,4,0,5,4
largest-eigenval,3,4,4,4,1,4,1,2,1,0,1,4,1,5,4
llm-inference-batching-scheduler,4,4,4,4,2,4,1,1,2,0,2,5,0,4,4
log-summary-date-ranges,2,3,3,2,2,4,1,1,1,1,1,5,1,5,2
mailman,4,4,4,4,2,3,1,3,2,1,4,4,0,4,5
make-doom-for-mips,5,4,4,4,1,3,2,2,4,0,3,3,0,4,5
make-mips-interpreter,5,4,5,5,1,3,2,2,5,0,5,3,0,4,5
mcmc-sampling-stan,3,4,3,4,3,4,1,4,3,1,2,3,1,4,5
merge-diff-arc-agi-task,5,4,5,4,2,4,1,1,1,0,2,3,0,5,4
model-extraction-relu-logits,5,4,5,5,2,3,1,2,1,0,1,3,0,5,5
