instance_id,logical_reasoning_required,codebase_scope,side_effect_risk,verification_difficulty,reproduction_clarity,problem_clarity,solution_hint,expected_behavior_clarity,debugging_complexity,information_completeness,atypicality,standard_pattern_available,domain_knowledge_required,error_specificity,similar_issue_likelihood
astropy__astropy-12907,4,1,2,2,5,5,0,5,3,4,3,0,4,4,1
astropy__astropy-13033,2,1,1,2,5,5,1,3,2,5,2,1,3,5,1
astropy__astropy-13236,2,3,4,3,4,5,3,4,2,4,3,1,4,4,1
astropy__astropy-13398,4,3,4,4,4,4,3,4,3,5,4,0,5,3,0
astropy__astropy-13453,3,1,2,2,5,5,1,5,2,5,2,0,4,4,1
astropy__astropy-13579,4,2,3,3,5,5,1,5,4,5,4,0,5,4,0
astropy__astropy-13977,3,2,3,3,5,5,2,4,2,5,3,1,4,5,1
astropy__astropy-14096,3,1,3,2,5,5,1,4,3,5,3,1,4,5,1
astropy__astropy-14182,3,1,2,2,5,5,1,4,2,4,2,1,4,5,1
astropy__astropy-14309,2,1,2,2,5,5,2,4,1,5,2,1,3,5,1
astropy__astropy-14365,2,1,1,2,5,5,2,4,1,5,1,1,3,5,1
astropy__astropy-14369,3,1,2,2,5,5,1,4,3,5,3,0,4,5,1
astropy__astropy-14508,3,1,3,3,5,5,3,4,2,5,2,0,3,5,1
astropy__astropy-14539,3,2,2,2,5,5,1,5,3,5,3,0,4,4,1
astropy__astropy-14598,4,1,2,2,5,5,0,4,3,5,4,0,4,5,1
astropy__astropy-14995,3,1,2,2,5,5,1,4,2,5,2,1,4,5,1
astropy__astropy-7166,2,1,2,2,2,4,2,4,1,3,3,1,3,4,1
astropy__astropy-7336,2,1,1,1,5,5,2,4,1,5,1,1,3,5,1
astropy__astropy-7606,2,1,1,1,5,5,2,5,1,5,1,1,3,5,1
astropy__astropy-7671,2,1,2,2,5,5,2,5,1,5,1,1,2,5,1
astropy__astropy-8707,2,2,2,2,3,4,2,4,2,3,2,1,3,3,1
astropy__astropy-8872,3,1,2,2,5,5,0,5,2,4,3,0,4,4,1
django__django-10097,3,1,3,3,4,4,2,5,2,4,3,0,4,4,1
django__django-10554,4,2,2,3,5,4,1,4,4,4,3,0,4,5,1
django__django-10880,2,1,1,2,3,4,2,4,1,3,2,1,4,4,1
django__django-10914,2,2,4,3,3,4,3,4,2,4,2,1,3,3,1
django__django-10973,2,1,2,3,2,4,3,4,1,3,2,1,3,3,1
django__django-10999,2,1,2,2,4,5,3,5,1,5,1,1,2,5,1
django__django-11066,2,1,1,3,3,5,3,5,1,5,2,1,3,5,1
django__django-11087,3,2,2,3,4,4,2,4,3,5,3,0,4,5,1
django__django-11095,2,1,2,2,2,4,3,4,1,3,2,1,4,3,1
django__django-11099,1,1,2,1,4,5,3,5,1,5,1,1,2,5,1
django__django-11119,2,1,2,2,3,5,3,5,1,4,1,1,4,4,1
django__django-11133,2,1,2,2,5,5,2,5,1,4,2,1,3,5,1
django__django-11138,3,2,3,3,4,5,3,5,2,5,3,1,4,5,1
django__django-11141,2,2,2,3,3,5,3,5,1,4,2,1,4,4,1
django__django-11149,3,2,2,3,4,4,1,4,3,4,3,0,4,4,1
django__django-11163,2,1,3,2,4,5,3,5,1,5,1,1,3,5,1
django__django-11179,2,1,2,2,3,4,3,5,1,4,2,1,4,4,1
django__django-11206,3,1,2,2,5,5,2,5,2,5,3,0,3,5,1
django__django-11211,4,2,2,3,4,4,1,4,3,3,3,0,4,3,1
django__django-11239,2,1,1,3,3,4,2,4,1,4,2,1,3,3,1
django__django-11265,4,2,3,3,5,4,2,3,3,4,3,0,5,5,1
django__django-11276,1,2,3,2,4,5,3,5,1,5,1,1,2,4,1
django__django-11292,2,1,2,2,3,4,2,4,1,3,2,1,4,3,1
