instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
django__django-11880,1,4,1,2,3,4,4,1,2,1,1,1,2,1,2
django__django-12039,1,5,1,2,3,5,4,1,2,1,1,2,3,3,2
django__django-12193,2,4,1,2,3,5,4,2,2,1,1,1,2,3,2
astropy__astropy-14598,3,4,2,4,4,4,4,3,4,2,1,2,1,3,2
django__django-13297,3,4,2,3,4,4,4,1,3,3,1,2,1,2,2
sympy__sympy-21847,1,3,1,2,2,4,4,1,2,2,1,1,3,3,2
matplotlib__matplotlib-20676,3,4,2,3,4,4,5,2,3,2,1,2,1,3,2
django__django-14155,2,4,1,2,3,3,4,1,2,2,1,2,3,3,2
sphinx-doc__sphinx-9591,3,3,2,3,4,3,4,2,3,2,1,2,1,1,2
django__django-11087,3,4,3,4,4,5,4,2,4,3,1,3,2,3,3
django__django-16938,3,4,2,3,4,5,4,2,3,2,1,1,3,2,2
django__django-15569,1,4,1,1,3,4,4,1,2,2,1,1,3,2,2
django__django-13794,2,4,1,2,4,5,4,1,3,2,1,1,2,2,2
django__django-11603,1,4,1,1,3,3,5,2,1,2,1,1,3,2,1
django__django-11551,2,4,1,3,3,5,4,1,3,2,1,3,3,2,2
django__django-16502,4,4,2,4,5,4,4,2,4,2,1,3,1,3,3
sympy__sympy-21596,4,3,2,4,5,4,4,1,4,3,0,4,1,4,3
sphinx-doc__sphinx-10449,2,3,2,3,4,4,4,2,3,2,1,2,0,1,2
django__django-15103,1,4,2,1,2,3,4,1,2,2,1,2,2,2,2
sympy__sympy-11618,2,3,1,2,3,4,4,1,3,2,1,3,1,1,2
django__django-15695,3,5,2,3,4,5,4,2,3,2,1,1,2,2,2
django__django-13741,1,4,1,1,3,3,4,1,2,3,1,1,2,2,2
django__django-15380,3,4,1,2,4,5,4,1,3,1,1,1,1,2,2
django__django-14315,2,4,2,2,3,4,4,1,2,2,1,1,2,3,2
django__django-11951,1,4,1,1,3,4,4,2,2,2,1,1,3,2,2
django__django-13346,4,4,2,4,5,3,4,2,4,2,0,4,0,4,3
scikit-learn__scikit-learn-14894,2,3,1,2,3,5,4,3,2,1,1,2,2,2,2
django__django-13809,1,4,1,1,3,3,4,1,2,2,1,1,2,3,2
sympy__sympy-16450,2,3,1,2,3,4,4,1,2,3,1,1,2,1,2
django__django-14765,2,4,1,1,2,4,5,1,1,2,1,1,3,2,1
matplotlib__matplotlib-21568,2,4,1,2,3,3,4,3,2,2,1,2,3,3,2
sphinx-doc__sphinx-7757,3,3,2,4,4,3,4,2,4,2,1,3,0,2,2
django__django-15973,3,5,2,4,5,5,4,2,4,1,1,1,0,2,3
sphinx-doc__sphinx-8621,2,3,1,2,3,5,4,1,3,2,1,1,2,3,2
matplotlib__matplotlib-13989,2,4,1,2,3,4,4,2,3,1,1,1,1,1,2
sphinx-doc__sphinx-9698,2,3,1,2,3,4,5,2,2,1,1,1,1,1,2
sympy__sympy-12096,2,3,1,2,3,5,5,1,2,2,1,1,3,1,1
django__django-15375,3,5,2,4,4,5,4,2,3,2,1,2,3,2,2
pydata__xarray-6938,3,2,2,4,4,4,4,1,4,2,1,2,1,2,2
sympy__sympy-16597,3,4,4,5,5,3,4,1,4,4,0,4,2,3,3
astropy__astropy-7336,1,4,1,2,3,5,5,2,2,1,1,1,2,2,1
django__django-14122,3,4,2,4,4,3,4,2,4,3,1,2,1,1,3
django__django-7530,2,4,1,2,4,4,4,2,2,2,1,1,1,3,3
django__django-11265,4,4,2,4,5,5,4,2,4,2,0,3,1,2,3
psf__requests-1766,1,2,1,1,2,4,5,1,1,2,1,1,2,1,2
matplotlib__matplotlib-25287,2,4,1,2,3,4,4,2,2,1,1,2,3,3,2
pydata__xarray-3151,2,2,1,2,4,5,4,1,3,2,1,2,1,2,2
django__django-16631,3,4,3,3,4,4,4,1,3,3,1,3,2,2,3
sympy__sympy-18199,4,4,3,3,5,4,4,2,5,3,1,4,1,4,3
pydata__xarray-4695,2,2,1,2,3,5,4,1,2,1,1,1,3,2,1
pytest-dev__pytest-5631,2,2,1,2,3,5,5,1,2,1,1,2,3,2,2
sphinx-doc__sphinx-9230,2,3,1,3,4,4,4,2,3,2,1,1,0,2,2
django__django-16667,1,4,1,2,3,5,4,1,2,1,1,1,2,3,2
