instance_id,fix_localization,environment_setup_complexity,logical_reasoning_required,entry_point_clarity,codebase_scope,verification_difficulty,side_effect_risk,problem_clarity,information_completeness,testing_infrastructure_quality,debugging_complexity,implementation_language_complexity,reproduction_clarity,expected_behavior_clarity,domain_knowledge_required
astropy__astropy-12907,4,2,4,5,1,2,2,5,4,4,3,2,5,5,4
astropy__astropy-13033,4,3,2,4,1,2,1,5,5,4,2,2,5,3,3
astropy__astropy-13236,4,3,2,5,3,3,4,5,4,4,2,3,4,4,4
astropy__astropy-13398,4,3,4,4,3,4,4,4,5,4,3,2,4,4,5
astropy__astropy-13453,4,3,3,5,1,2,2,5,5,4,2,3,5,5,4
astropy__astropy-13579,4,3,4,5,2,3,3,5,5,4,4,2,5,5,5
astropy__astropy-13977,4,3,3,5,2,3,3,5,5,4,2,3,5,4,4
astropy__astropy-14096,4,2,3,5,1,2,3,5,5,4,3,2,5,4,4
astropy__astropy-14182,4,3,3,5,1,2,2,5,4,4,2,2,5,4,4
astropy__astropy-14309,4,3,2,5,1,2,2,5,5,4,1,2,5,4,3
astropy__astropy-14365,5,3,2,5,1,2,1,5,5,4,1,2,5,4,3
astropy__astropy-14369,4,2,3,5,1,2,2,5,5,4,3,2,5,4,4
astropy__astropy-14508,4,3,3,5,1,3,3,5,5,4,2,3,5,4,3
astropy__astropy-14539,4,3,3,5,2,2,2,5,5,4,3,2,5,5,4
astropy__astropy-14598,4,3,4,4,1,2,2,5,5,4,3,3,5,4,4
astropy__astropy-14995,4,3,3,5,1,2,2,5,5,4,2,2,5,4,4
astropy__astropy-7166,4,3,2,5,1,2,2,4,3,4,1,2,2,4,3
astropy__astropy-7336,5,2,2,5,1,1,1,5,5,4,1,2,5,4,3
astropy__astropy-7606,5,3,2,5,1,1,1,5,5,4,1,3,5,5,3
astropy__astropy-7671,4,2,2,5,1,2,2,5,5,4,1,2,5,5,2
astropy__astropy-8707,4,3,2,5,2,2,2,4,3,4,2,2,3,4,3
astropy__astropy-8872,4,3,3,5,1,2,2,5,4,4,2,3,5,5,4
django__django-10097,4,2,3,5,1,3,3,4,4,4,2,2,4,5,4
django__django-10554,4,2,4,4,2,3,2,4,4,4,4,2,5,4,4
django__django-10880,4,2,2,5,1,2,1,4,3,4,1,2,3,4,4
django__django-10914,4,2,2,4,2,3,4,4,4,4,2,1,3,4,3
django__django-10973,4,2,2,5,1,3,2,4,3,4,1,1,2,4,3
django__django-10999,5,2,2,5,1,2,2,5,5,4,1,1,4,5,2
django__django-11066,5,2,2,5,1,3,1,5,5,4,1,1,3,5,3
django__django-11087,4,2,3,4,2,3,2,4,5,4,3,2,4,4,4
django__django-11095,4,2,2,5,1,2,2,4,3,4,1,1,2,4,4
django__django-11099,4,2,1,5,1,1,2,5,5,4,1,1,4,5,2
django__django-11119,5,2,2,5,1,2,2,5,4,4,1,1,3,5,4
django__django-11133,5,2,2,5,1,2,2,5,4,4,1,1,5,5,3
django__django-11138,4,3,3,5,2,3,3,5,5,4,2,2,4,5,4
django__django-11141,4,2,2,4,2,3,2,5,4,4,1,2,3,5,4
django__django-11149,4,2,3,4,2,3,2,4,4,5,3,2,4,4,4
django__django-11163,5,2,2,5,1,2,3,5,5,4,1,1,4,5,3
django__django-11179,5,2,2,5,1,2,2,4,4,4,1,2,3,5,4
django__django-11206,4,2,3,5,1,2,2,5,5,4,2,1,5,5,3
django__django-11211,4,2,4,5,2,3,2,4,3,5,3,1,4,4,4
django__django-11239,4,2,2,5,1,3,1,4,4,4,1,1,3,4,3
django__django-11265,4,2,4,5,2,3,3,4,4,4,3,2,5,3,5
django__django-11276,4,2,1,5,2,2,3,5,5,4,1,1,4,5,2
django__django-11292,4,2,2,5,1,2,2,4,3,4,1,1,3,4,4
django__django-11299,4,2,4,4,2,3,2,5,5,4,3,2,5,5,4
django__django-11333,5,2,2,5,1,3,2,5,5,4,1,1,3,5,4
django__django-11400,4,2,2,5,1,3,2,4,4,4,1,2,3,4,4
django__django-11433,4,2,4,4,2,3,3,3,2,5,3,1,2,3,4
django__django-11451,5,2,2,5,1,2,2,5,5,4,1,1,4,5,3
django__django-11477,4,2,4,4,1,3,2,2,2,4,3,2,2,3,4
django__django-11490,4,2,3,5,1,2,2,4,4,4,3,2,5,4,4
django__django-11532,4,2,2,5,1,2,2,5,5,4,1,1,5,5,3
django__django-11551,4,2,4,5,1,3,2,5,5,4,1,1,4,5,4
django__django-11555,4,2,3,4,2,3,2,3,3,5,3,2,4,3,4
django__django-11603,5,2,1,5,1,2,2,5,4,4,1,2,3,5,4
django__django-11728,4,2,2,5,1,2,2,4,4,4,2,2,4,4,3
django__django-11734,4,2,4,4,2,3,3,4,4,4,4,2,5,4,5
django__django-11740,4,2,3,4,2,3,2,4,4,5,3,1,4,4,4
django__django-11749,4,2,3,5,1,2,2,5,5,4,2,2,5,4,4
django__django-11790,4,2,3,5,1,2,2,4,4,4,2,1,3,4,4
django__django-11815,5,2,3,4,2,3,3,5,4,4,2,1,4,5,4
django__django-11820,4,2,3,5,1,2,2,4,4,4,2,2,4,4,4
django__django-11848,4,2,2,5,1,3,2,5,4,4,1,1,3,5,3
django__django-11880,4,2,2,5,1,2,1,4,4,4,1,1,3,4,3
django__django-11885,4,2,3,4,2,3,2,4,4,4,3,2,4,5,4
django__django-11951,4,2,1,5,1,2,2,5,5,4,1,2,3,5,3
django__django-11964,4,2,3,4,2,2,3,5,5,4,3,2,5,5,4
django__django-11999,4,2,3,5,1,2,3,5,4,4,2,2,5,5,4
django__django-12039,4,2,2,5,1,2,2,5,5,4,1,1,5,5,4
django__django-12050,5,2,2,5,1,2,2,4,3,4,1,1,2,4,4
django__django-12125,4,2,3,4,1,3,2,5,4,4,2,1,5,5,4
django__django-12143,5,2,1,5,1,2,1,5,5,4,1,1,3,5,2
