instance_id,test_comprehensiveness,codebase_scope,side_effect_risk,similar_issue_likelihood,entry_point_clarity,atypicality,information_completeness,problem_clarity,solution_complexity,logical_reasoning_required,error_specificity,standard_pattern_available,solution_hint,domain_knowledge_required,fix_localization
django__django-11880,2,1,1,1,5,1,5,5,1,2,4,1,3,3,5
django__django-12039,4,1,2,1,5,2,5,5,2,2,5,1,3,3,5
django__django-12193,4,1,1,1,5,2,5,5,1,2,5,1,3,3,5
astropy__astropy-14598,3,1,3,1,4,4,5,5,3,4,5,0,1,4,4
django__django-13297,2,1,3,1,5,3,5,4,2,3,4,0,2,4,4
sympy__sympy-21847,4,1,2,1,5,1,5,5,1,2,5,1,3,2,5
matplotlib__matplotlib-20676,4,1,2,1,4,3,5,4,2,3,4,0,1,4,4
django__django-14155,4,1,2,1,5,2,4,5,2,2,4,1,3,3,5
sphinx-doc__sphinx-9591,3,1,2,1,4,3,5,4,2,3,4,0,1,4,4
django__django-11087,3,2,3,1,4,3,5,4,3,4,5,0,3,4,4
django__django-16938,3,2,2,1,4,3,5,5,1,3,5,1,3,4,4
django__django-15569,3,1,2,1,5,1,5,5,1,1,4,1,3,3,5
django__django-13794,3,1,3,1,5,2,3,4,2,3,4,1,1,4,5
django__django-11603,3,1,2,1,5,1,5,5,1,1,4,1,3,3,5
django__django-11551,2,1,3,1,5,3,5,5,3,4,5,0,3,4,5
django__django-16502,3,1,3,1,4,4,5,5,4,4,5,0,1,5,5
sympy__sympy-21596,4,1,3,1,4,4,5,4,4,4,5,0,1,5,5
sphinx-doc__sphinx-10449,2,1,3,1,4,3,5,5,3,3,4,0,0,4,4
django__django-15103,3,2,2,1,5,1,4,5,2,2,4,1,3,3,4
sympy__sympy-11618,1,1,3,1,5,2,5,5,3,3,5,1,2,3,4
django__django-15695,2,1,2,1,5,3,5,5,1,3,5,0,2,4,5
django__django-13741,2,1,3,1,5,1,5,5,2,2,3,1,3,3,5
django__django-15380,3,1,1,1,5,2,5,5,1,3,5,0,2,4,5
django__django-14315,4,2,2,1,5,1,5,5,2,2,4,1,3,3,5
django__django-11951,2,1,2,1,5,1,5,5,1,2,4,1,3,3,5
django__django-13346,4,1,2,1,4,4,4,4,4,4,4,0,1,5,5
scikit-learn__scikit-learn-14894,2,1,1,1,5,1,5,5,2,2,5,1,2,3,5
django__django-13809,3,1,1,1,5,1,4,5,1,1,3,1,2,3,5
sympy__sympy-16450,2,1,3,1,5,1,5,5,1,2,5,1,3,3,5
django__django-14765,2,1,2,1,5,1,5,5,1,1,5,1,3,2,5
matplotlib__matplotlib-21568,3,1,2,1,4,3,5,5,2,2,4,0,3,4,5
sphinx-doc__sphinx-7757,3,1,2,1,4,3,4,4,3,4,4,0,1,4,5
django__django-15973,3,1,2,1,4,3,5,4,1,3,5,0,0,4,3
sphinx-doc__sphinx-8621,3,1,2,1,5,2,5,5,1,3,5,1,2,2,5
matplotlib__matplotlib-13989,2,1,2,1,4,3,5,5,1,3,5,0,1,4,5
sphinx-doc__sphinx-9698,2,1,1,1,5,1,5,5,1,1,5,1,3,3,5
