solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
1,4,5,4,4,4,0,5,5,4,4,2,5,1,4,3,3,3,5,5,numpy__numpy-7853cbc,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,3,3,3,5,1,4,3,3,2,4,4,huggingface__tokenizers-076319d,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0
2,3,4,4,4,4,0,3,5,4,4,4,5,1,4,4,2,3,5,5,huggingface__datasets-ef3b5dd,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0
2,4,5,4,4,4,1,3,5,4,4,4,5,1,3,2,3,3,5,4,numpy__numpy-8dd6761,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,5,4,4,4,1,4,5,3,4,4,5,1,4,4,4,4,5,5,numpy__numpy-ac5c664,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,4,4,0,3,5,3,2,2,5,1,4,2,1,1,4,4,huggingface__tokenizers-c893204,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
2,4,4,4,2,3,1,4,5,4,2,3,5,1,3,4,3,4,4,4,huggingface__datasets-5994036,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,3,3,5,1,3,2,3,2,4,4,pandas-dev__pandas-f298507,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1,4,4,3,3,3,1,4,5,4,3,3,5,1,3,2,3,1,2,3,pandas-dev__pandas-45f0705,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,3,5,4,4,4,5,1,4,3,2,3,5,5,numpy__numpy-09db9c7,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
