solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at
2,4,4,3,3,4,0,"The problem clearly describes the expected behavior change (preserve last_heartbeat when connections are removed), but the failing tests appear unrelated to the described RemoteCluster issue - they're about AuditLog and ProtoStreamer. This mismatch suggests either test naming issues or a deeper architectural connection requiring significant domain knowledge of Teleport's internals. The fix requires understanding the relationship between TunnelConnection, RemoteCluster, and the audit/streaming subsystems.",gravitational__teleport-c1b1c6a1541c478d7777a48fca993cc8206c73b9,claude-opus-4-5-20251101,anthropic,2026-01-29T22:53:45.404796
2,4,4,3,3,3,0,"The task clearly describes what needs to change (remove size from JWT, handle it as query parameter) but requires deep understanding of the navidrome codebase's artwork handling, JWT token generation, and public endpoint architecture. This is a refactoring task involving multiple components (token generation, URL generation, endpoint handlers) that need coordinated changes. The test name 'TestArtwork' suggests moderate verification complexity with existing test infrastructure.",navidrome__navidrome-69e0a266f48bae24a11312e9efbe495a337e4c84,claude-opus-4-5-20251101,anthropic,2026-01-29T22:50:04.169689
2,4,2,2,2,2,1,The problem clearly describes that version strings in `major.minor.patch` format need to extract just the major version. The solution approach is hinted at - parse the version string and extract the first component. This is a straightforward string parsing task with clear test cases showing expected behavior for various version formats.,future-architect__vuls-e1df74cbc1a1d1889428b3333a3b2405c4651993,claude-opus-4-5-20251101,anthropic,2026-01-29T22:50:03.249597
2,3,4,4,4,3,0,"This task requires deep understanding of qutebrowser's Qt wrapper initialization machinery and its internal module structure. The problem description outlines the desired improvements (early initialization, dedicated exceptions, improved SelectionInfo formatting) but doesn't provide exact implementation details. The numerous failing tests across different initialization scenarios suggest multiple interconnected changes to the machinery module's error handling, selection logic, and object state management.",qutebrowser__qutebrowser-322834d0e6bf17e5661145c9f085b41215c280e8,claude-opus-4-5-20251101,anthropic,2026-01-29T22:54:19.239164
2,4,2,2,2,2,1,"The task requires implementing a FixedRollingArray data structure (circular buffer) which is a well-known pattern. The test names clearly indicate what's needed: seeding with a default value, inserting at the correct end, and rolling over when full. This is a straightforward implementation of a fixed-size circular buffer, requiring basic data structure knowledge but no deep domain expertise.",element-hq__element-web-ec0f940ef0e8e3b61078f145f34dc40d1938e6c5,claude-opus-4-5-20251101,anthropic,2026-01-29T22:54:09.071696
2,4,3,3,2,2,1,"The problem clearly describes that FormatString needs encoding validation similar to String types. This requires understanding the qutebrowser config type system and how String implements encoding validation, then applying similar logic to FormatString. The failing test 'test_invalid_encoding' provides clear guidance on what behavior is expected, and the solution follows a standard pattern of adding validation logic to a class.",qutebrowser__qutebrowser-996487c43e4fcc265b541f9eca1e7930e3c5cf05,claude-opus-4-5-20251101,anthropic,2026-01-29T22:52:29.374065
1,2,4,4,4,4,0,"The problem description talks about project structure reorganization, but the failing tests are specifically about calendar invitation recurrence rule validation - a mismatch that makes the actual bug unclear. This requires deep understanding of iCalendar recurrence rules (RRULE, BYYEARDAY) and the Proton calendar codebase internals. The disconnect between the described refactoring task and the actual test failures about recurring rule validation makes this particularly challenging to diagnose and fix.",protonmail__webclients-caf10ba9ab2677761c88522d1ba8ad025779c492,claude-opus-4-5-20251101,anthropic,2026-01-29T22:51:47.916458
1,4,4,4,3,4,0,"This task requires deep understanding of AWS ECR authentication flows, including distinguishing between public and private registries, handling WWW-Authenticate challenges, and implementing token renewal logic. The problem is well-described but the solution requires knowledge of OCI registry authentication protocols and AWS-specific credential handling. The test names suggest implementing ECR-specific credential handling and client differentiation, which involves complex authentication state management.",flipt-io__flipt-96820c3ad10b0b2305e8877b6b303f7fafdf815f,claude-opus-4-5-20251101,anthropic,2026-01-29T22:52:05.308259
2,4,4,3,2,3,1,"The task clearly describes the need to add HTTP API endpoints for group invitation management (issue, accept, reject, rescind). This requires deep knowledge of NodeBB's architecture including socket methods, API routing patterns, OpenAPI schema documentation, and the existing group invitation logic. While the pattern of converting socket-based functionality to REST APIs is standard, understanding NodeBB's specific controller/route structure and schema documentation requirements adds complexity.",NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d,claude-opus-4-5-20251101,anthropic,2026-01-29T22:51:30.097621
2,5,3,2,1,2,1,"This is a straightforward UI text change task - replacing 'members' with 'email addresses' in a label with proper singular/plural handling. The problem is crystal clear with exact expected behavior specified. It requires basic React/TypeScript knowledge and understanding of i18n pluralization patterns, which is a well-documented standard pattern.",protonmail__webclients-32ff10999a06455cb2147f6873d627456924ae13,claude-opus-4-5-20251101,anthropic,2026-01-29T22:51:32.176181
1,4,5,4,4,3,0,"This task requires deep knowledge of OFREP (OpenFeature Remote Evaluation Protocol) specification, gRPC/HTTP API design patterns, and the Flipt feature flag system's internal architecture. The problem is well-described with clear expected behavior, but implementing a compliant evaluation endpoint with proper error handling, namespace-scoped authentication, and provider configuration requires understanding multiple specialized protocols and the existing codebase structure. The task involves creating new endpoints rather than fixing existing code, making it more of a feature implementation than a typical bug fix.",flipt-io__flipt-9d25c18b79bc7829a6fb08ec9e8793d5d17e2868,claude-opus-4-5-20251101,anthropic,2026-01-29T22:52:14.952696
2,4,4,3,4,3,0,"This task requires understanding Windows PowerShell CLIXML format, Ansible's connection/shell plugin architecture, and handling various encoding scenarios (UTF-8, cp437). The problem description clearly outlines the expected behavior including edge cases like inline CLIXML, multi-line blocks, and encoding fallbacks. The test names reveal the specific scenarios that need handling, but implementing robust CLIXML parsing with proper encoding fallback is a specialized Windows/Ansible domain task without standard patterns to follow.",ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:58.103882
