instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
password-recovery,1,4,4,3,4,2,0,4,3,5,4,2,4,1,2,2,1,1,4,3,2026-03-07T02:51:37.333852,claude-sonnet-4-6,anthropic,password-recovery,5,4,1,1,2,1,1,1
financial-document-processor,2,4,4,4,4,3,0,4,3,4,4,2,3,1,2,5,4,3,5,4,2026-03-07T02:51:27.157573,claude-sonnet-4-6,anthropic,financial-document-processor,4,5,1,2,2,1,1,1
qemu-startup,2,4,4,3,3,3,1,4,4,4,4,1,4,1,3,2,2,1,3,4,2026-03-07T02:51:41.359657,claude-sonnet-4-6,anthropic,qemu-startup,5,5,1,2,1,2,2,1
db-wal-recovery,1,4,5,4,5,2,0,4,3,4,5,2,3,0,2,5,3,3,4,3,2026-03-07T02:51:20.901107,claude-sonnet-4-6,anthropic,db-wal-recovery,5,5,1,1,2,2,1,1
hf-model-inference,3,5,4,2,2,2,1,5,4,5,3,2,5,1,3,4,3,3,3,3,2026-03-07T02:51:30.166008,claude-sonnet-4-6,anthropic,hf-model-inference,4,5,1,2,2,2,3,1
winning-avg-corewars,1,4,5,4,5,2,0,5,5,5,5,2,4,0,1,4,3,3,5,4,2026-03-07T02:51:47.828547,claude-sonnet-4-6,anthropic,winning-avg-corewars,5,5,1,2,3,4,1,1
gpt2-codegolf,1,4,5,5,5,4,0,4,4,3,5,1,3,0,2,2,2,1,5,3,2026-03-07T02:51:28.985920,claude-sonnet-4-6,anthropic,gpt2-codegolf,5,5,1,1,4,1,2,1
sam-cell-seg,2,4,5,4,5,4,0,4,4,4,4,2,4,0,2,5,4,3,5,4,2026-03-07T02:51:43.627496,claude-sonnet-4-6,anthropic,sam-cell-seg,4,5,1,3,3,2,4,1
path-tracing-reverse,1,4,4,4,4,3,0,4,4,4,5,1,3,0,2,4,4,3,5,3,2026-03-07T02:51:35.745248,claude-sonnet-4-6,anthropic,path-tracing-reverse,5,5,1,2,4,2,2,1
gcode-to-text,0,4,5,4,5,3,0,4,3,4,4,1,3,0,2,2,1,1,5,5,2026-03-07T02:51:28.762257,claude-sonnet-4-6,anthropic,gcode-to-text,5,5,1,1,1,1,1,1
