instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
password-recovery,1,4,4,3,3,3,1,4,3,4,3,1,3,1,2,2,2,1,4,3,2026-03-08T00:33:34.481161,claude-opus-4-6,anthropic,password-recovery
financial-document-processor,2,4,4,4,4,4,0,4,3,4,4,2,3,1,2,5,4,3,4,4,2026-03-08T00:33:23.291107,claude-opus-4-6,anthropic,financial-document-processor
qemu-startup,2,4,4,3,3,4,1,4,4,4,3,1,3,1,3,2,3,1,3,4,2026-03-08T00:33:43.291190,claude-opus-4-6,anthropic,qemu-startup
db-wal-recovery,1,4,4,4,4,3,0,4,3,4,4,1,3,0,2,5,4,3,3,2,2026-03-08T00:33:12.907187,claude-opus-4-6,anthropic,db-wal-recovery
hf-model-inference,3,5,3,3,2,3,1,5,4,5,3,2,5,1,3,4,3,3,3,3,2026-03-08T00:33:23.944655,claude-opus-4-6,anthropic,hf-model-inference
winning-avg-corewars,1,4,5,4,5,3,1,5,5,5,4,2,4,0,1,4,4,3,5,3,2026-03-08T00:33:53.233765,claude-opus-4-6,anthropic,winning-avg-corewars
gpt2-codegolf,1,4,5,5,5,4,0,4,4,3,5,1,3,0,2,2,3,1,5,3,2026-03-08T00:33:26.673840,claude-opus-4-6,anthropic,gpt2-codegolf
sam-cell-seg,2,4,4,4,4,4,0,4,4,3,4,2,3,0,2,5,4,4,4,4,2026-03-08T00:33:46.305166,claude-opus-4-6,anthropic,sam-cell-seg
path-tracing-reverse,1,4,4,4,4,3,0,4,4,3,4,1,3,0,2,4,4,3,4,3,2026-03-08T00:33:36.177773,claude-opus-4-6,anthropic,path-tracing-reverse
gcode-to-text,1,3,4,4,5,4,0,3,2,3,4,1,2,0,1,2,1,1,5,4,2026-03-08T00:33:23.171845,claude-opus-4-6,anthropic,gcode-to-text
chess-best-move,0,3,5,5,5,4,0,4,3,4,5,1,3,0,2,2,2,1,4,4,2026-03-08T00:33:13.593586,claude-opus-4-6,anthropic,chess-best-move
bn-fit-modify,2,4,5,4,4,4,0,4,3,3,4,1,3,0,2,4,4,3,4,3,2026-03-08T00:33:13.911518,claude-opus-4-6,anthropic,bn-fit-modify
fix-code-vulnerability,1,3,4,4,3,2,1,3,4,3,3,1,3,1,2,4,3,4,3,2,2026-03-08T00:33:23.415461,claude-opus-4-6,anthropic,fix-code-vulnerability
caffe-cifar-10,2,4,4,3,3,4,1,5,3,5,4,3,4,1,3,5,4,4,4,4,2026-03-08T00:33:13.888583,claude-opus-4-6,anthropic,caffe-cifar-10
reshard-c4-data,1,3,3,4,4,4,0,4,4,3,3,2,3,1,2,4,4,3,3,3,2026-03-08T00:33:44.529485,claude-opus-4-6,anthropic,reshard-c4-data
mcmc-sampling-stan,3,5,5,3,3,4,1,4,4,3,4,2,4,1,2,4,4,2,4,4,2026-03-08T00:33:33.031044,claude-opus-4-6,anthropic,mcmc-sampling-stan
portfolio-optimization,3,4,3,3,2,3,1,4,4,4,3,3,4,1,2,4,4,3,3,3,2026-03-08T00:33:42.341230,claude-opus-4-6,anthropic,portfolio-optimization
raman-fitting,2,3,4,3,4,4,1,4,2,4,3,1,2,1,2,3,4,1,4,2,2026-03-08T00:33:44.580574,claude-opus-4-6,anthropic,raman-fitting
make-doom-for-mips,1,3,5,4,5,4,0,3,3,3,4,3,2,0,2,4,4,2,5,5,2026-03-08T00:33:33.310988,claude-opus-4-6,anthropic,make-doom-for-mips
