instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
password-recovery,1,4,4,4,4,2,0,4,3,5,5,2,3,0,2,2,1,1,4,3,2026-03-07T02:08:35.774858,claude-sonnet-4-6,anthropic,password-recovery
financial-document-processor,1,4,4,4,4,4,0,4,4,5,5,3,4,1,2,5,4,4,5,4,2026-03-07T02:05:38.232320,claude-sonnet-4-6,anthropic,financial-document-processor
qemu-startup,1,4,4,3,3,4,1,4,4,4,3,1,4,1,3,3,3,1,3,4,2026-03-07T02:08:40.785958,claude-sonnet-4-6,anthropic,qemu-startup
db-wal-recovery,1,4,4,4,4,2,0,4,3,5,4,2,3,0,2,5,3,3,4,3,2026-03-07T02:08:36.026159,claude-sonnet-4-6,anthropic,db-wal-recovery
hf-model-inference,2,5,3,2,2,2,1,5,4,5,2,2,5,1,2,4,3,3,3,3,2026-03-07T02:08:35.451665,claude-sonnet-4-6,anthropic,hf-model-inference
winning-avg-corewars,1,4,5,4,5,3,0,5,5,5,5,1,4,0,1,4,3,3,5,4,2026-03-07T02:08:47.091816,claude-sonnet-4-6,anthropic,winning-avg-corewars
gpt2-codegolf,0,4,5,5,5,4,0,4,4,4,5,1,4,0,2,3,2,1,5,4,2026-03-07T02:05:37.738145,claude-sonnet-4-6,anthropic,gpt2-codegolf
sam-cell-seg,2,4,5,4,5,4,0,4,4,4,4,2,4,0,2,4,4,3,4,4,2026-03-07T02:08:43.039946,claude-sonnet-4-6,anthropic,sam-cell-seg
path-tracing-reverse,1,4,5,5,5,4,0,4,4,4,5,2,4,0,2,4,4,2,5,3,2026-03-07T02:08:35.674564,claude-sonnet-4-6,anthropic,path-tracing-reverse
gcode-to-text,0,3,5,4,5,2,0,3,3,4,5,2,3,0,2,2,1,1,5,4,2026-03-07T02:08:35.854280,claude-sonnet-4-6,anthropic,gcode-to-text
