instance_id,solution_complexity,entry_point_clarity,side_effect_risk,test_edge_case_coverage,codebase_scope,fix_localization,test_comprehensiveness,verification_difficulty,reproduction_clarity,problem_clarity,logical_reasoning_required,expected_behavior_clarity,debugging_complexity,integration_complexity,error_specificity
django__django-11880,1,5,2,1,1,5,2,2,4,5,2,5,2,2,4
django__django-12039,2,5,2,4,2,5,4,2,5,5,2,5,2,3,4
django__django-12193,1,5,2,3,2,5,4,2,3,5,2,4,2,2,4
astropy__astropy-14598,2,4,3,3,2,4,3,3,5,5,4,4,4,3,5
django__django-13297,2,5,3,2,2,4,3,2,5,4,3,4,3,3,5
sympy__sympy-21847,1,5,2,3,2,5,4,2,5,5,2,4,2,2,4
matplotlib__matplotlib-20676,2,4,2,3,1,4,4,2,5,5,3,4,2,3,4
django__django-14155,2,5,2,3,1,5,4,2,3,4,2,4,2,2,4
sphinx-doc__sphinx-9591,2,4,2,1,1,4,2,2,5,5,2,4,3,3,4
django__django-11087,4,4,3,4,2,4,4,3,4,5,4,4,4,4,5
django__django-16938,2,4,2,3,2,4,4,2,5,5,2,3,2,3,5
django__django-15569,1,5,2,2,2,5,3,2,4,5,2,5,2,3,4
django__django-13794,2,5,3,2,2,5,3,2,4,4,2,4,2,3,5
django__django-11603,1,5,2,2,1,5,3,1,3,5,2,5,1,2,4
django__django-11551,2,5,3,2,1,5,2,3,5,5,4,5,2,3,5
django__django-16502,3,4,3,3,2,5,4,3,5,5,4,5,2,4,5
sympy__sympy-21596,3,4,3,4,2,5,4,3,5,4,4,5,4,4,4
sphinx-doc__sphinx-10449,2,4,2,2,2,4,3,2,5,5,3,4,3,3,4
django__django-15103,2,5,2,2,2,4,3,2,3,4,2,4,2,2,4
sympy__sympy-11618,2,5,3,2,1,4,2,2,5,4,3,5,2,2,4
django__django-15695,2,5,2,3,2,5,3,2,4,4,3,4,3,3,5
django__django-13741,2,5,2,2,1,5,2,2,3,5,2,5,1,3,4
django__django-15380,1,5,2,2,1,5,2,2,4,4,3,4,3,3,5
django__django-14315,2,5,2,4,2,5,4,2,3,5,2,4,2,3,4
django__django-11951,1,5,2,3,1,5,3,2,3,5,2,5,1,2,4
django__django-13346,3,4,3,4,2,5,4,4,4,4,4,4,4,4,4
scikit-learn__scikit-learn-14894,2,5,2,3,1,5,2,2,5,5,2,4,2,2,5
django__django-13809,2,5,2,2,2,5,3,2,3,4,2,5,2,2,3
sympy__sympy-16450,1,5,3,2,1,5,2,2,5,5,2,4,2,2,4
django__django-14765,1,5,3,2,1,5,2,1,4,5,2,5,1,2,4
matplotlib__matplotlib-21568,2,4,3,3,2,5,4,2,5,4,3,4,2,3,4
sphinx-doc__sphinx-7757,2,4,2,2,1,5,2,2,5,5,3,4,3,2,4
django__django-15973,1,4,2,2,2,3,3,2,5,4,3,4,4,3,5
sphinx-doc__sphinx-8621,1,5,2,3,1,5,3,2,5,5,3,4,2,2,5
matplotlib__matplotlib-13989,1,4,2,2,1,5,2,2,5,4,2,4,2,2,4
sphinx-doc__sphinx-9698,1,5,1,1,1,5,2,1,5,5,2,4,2,2,4
sympy__sympy-12096,2,5,3,1,1,5,2,2,5,5,2,4,2,3,4
django__django-15375,2,4,2,3,2,5,3,2,5,5,3,4,4,3,5
pydata__xarray-6938,3,4,3,2,2,5,2,2,5,4,3,4,4,3,4
sympy__sympy-16597,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4
astropy__astropy-7336,1,5,2,4,2,5,4,2,5,5,2,4,2,2,5
django__django-14122,2,4,3,2,2,4,2,2,3,4,3,4,4,4,4
django__django-7530,1,4,2,3,2,5,3,3,3,4,3,5,2,3,4
django__django-11265,4,4,3,2,2,4,2,4,5,5,4,4,4,4,5
psf__requests-1766,1,5,2,1,1,5,2,2,4,5,2,5,1,2,4
matplotlib__matplotlib-25287,2,5,2,2,1,4,3,2,5,5,2,4,1,2,4
pydata__xarray-3151,2,5,2,2,1,5,2,2,5,5,3,4,2,3,5
django__django-16631,3,5,3,2,2,4,3,3,3,4,4,4,2,4,4
sympy__sympy-18199,4,5,4,4,2,4,4,4,5,3,4,5,3,4,4
pydata__xarray-4695,1,4,2,2,1,5,2,2,5,5,2,4,1,2,5
pytest-dev__pytest-5631,2,5,2,3,1,5,3,2,4,5,2,4,2,3,5
sphinx-doc__sphinx-9230,1,4,2,2,1,4,3,2,4,5,2,5,2,3,4
django__django-16667,1,5,2,4,1,5,4,2,5,5,2,4,1,2,5
django__django-14089,1,5,2,1,1,5,2,1,4,5,1,5,1,2,4
django__django-15732,3,4,3,4,2,4,4,3,5,4,4,4,4,4,5
sympy__sympy-13852,3,5,3,4,2,4,4,3,5,4,4,5,3,3,5
django__django-12262,1,4,2,4,1,5,4,2,5,4,3,5,2,3,5
django__django-13023,1,5,2,4,1,5,4,2,4,5,2,5,2,2,4
django__django-16333,1,5,2,1,1,5,2,2,4,5,2,5,1,2,4
sympy__sympy-13757,1,4,3,3,2,5,3,2,5,5,3,5,3,3,4
pylint-dev__pylint-6528,2,4,3,4,2,4,4,2,5,5,3,5,2,3,4
sphinx-doc__sphinx-9461,4,4,3,3,3,4,4,3,5,4,4,4,4,4,4
django__django-14725,2,3,3,4,2,3,4,3,3,4,4,4,3,3,3
sphinx-doc__sphinx-11445,2,4,2,4,2,5,4,2,5,5,3,4,3,3,4
astropy__astropy-14096,2,5,3,2,1,5,2,2,5,5,3,4,3,3,5
astropy__astropy-14995,1,5,2,4,1,5,4,2,5,5,2,4,2,3,5
django__django-15499,2,5,2,1,2,5,2,2,4,5,2,5,2,3,4
django__django-15525,2,4,2,2,2,5,3,3,5,4,3,4,3,4,5
matplotlib__matplotlib-25479,3,4,3,3,2,4,3,3,5,5,3,4,3,4,5
sphinx-doc__sphinx-8548,3,4,3,2,2,5,3,2,4,4,3,5,4,4,4
django__django-13449,3,4,3,2,2,4,3,2,5,5,3,4,3,4,5
django__django-15572,1,5,2,2,1,5,2,2,4,5,2,4,2,2,4
django__django-16145,2,5,2,2,1,5,2,2,5,5,2,5,2,2,5
django__django-11815,2,5,3,4,1,5,4,2,5,5,2,5,2,3,5
