instance_id,codebase_scope,problem_clarity,test_edge_case_coverage,side_effect_risk,logical_reasoning_required,test_comprehensiveness,entry_point_clarity,solution_complexity,fix_localization,debugging_complexity,information_completeness,solution_hint,standard_pattern_available,verification_difficulty,reproduction_clarity
django__django-11880,1,5,1,1,2,2,5,1,5,2,4,2,1,2,3
django__django-12039,1,5,3,1,2,4,5,2,5,2,5,3,1,2,5
django__django-12193,1,5,3,1,2,4,5,1,5,2,5,2,1,2,4
astropy__astropy-14598,2,4,3,2,4,3,4,2,4,4,5,1,0,2,5
django__django-13297,2,4,2,3,3,2,5,2,4,3,5,1,0,2,5
sympy__sympy-21847,1,5,3,2,2,4,5,1,5,2,5,3,1,2,5
matplotlib__matplotlib-20676,2,4,3,2,3,4,4,2,4,3,5,1,0,2,5
django__django-14155,1,5,3,2,2,4,5,2,5,2,4,3,1,2,3
sphinx-doc__sphinx-9591,2,4,1,2,3,2,4,2,4,3,5,1,1,2,5
django__django-11087,3,4,3,3,4,4,4,3,4,4,5,2,0,3,4
django__django-16938,2,5,2,2,3,4,4,1,4,3,5,3,0,2,5
django__django-15569,1,5,2,2,2,3,5,1,5,1,4,3,1,2,3
django__django-13794,1,4,2,2,3,3,5,1,5,2,4,2,1,2,4
django__django-11603,1,5,2,2,1,3,5,1,5,1,4,3,1,1,3
django__django-11551,1,5,2,2,3,2,5,3,5,3,5,3,1,2,5
django__django-16502,2,4,3,2,4,4,4,3,5,4,5,1,0,3,5
sympy__sympy-21596,2,4,4,3,4,4,4,4,5,4,5,1,0,3,5
sphinx-doc__sphinx-10449,2,5,1,2,3,2,4,2,4,3,5,0,0,2,5
django__django-15103,2,5,2,2,2,3,5,2,4,1,3,2,1,2,3
sympy__sympy-11618,1,4,1,2,3,1,5,3,4,2,5,1,1,2,5
django__django-15695,2,4,2,2,3,2,5,1,5,3,5,2,0,2,5
django__django-13741,1,4,2,3,2,2,5,1,5,1,4,2,1,2,2
django__django-15380,1,4,2,1,3,2,5,1,5,2,4,1,0,2,4
django__django-14315,2,4,3,2,2,4,5,1,5,2,4,2,1,2,2
django__django-11951,1,5,2,2,2,2,5,1,5,1,5,3,1,2,3
django__django-13346,2,4,4,2,4,4,4,4,5,4,4,0,0,3,4
scikit-learn__scikit-learn-14894,1,5,2,1,2,2,5,2,5,2,5,2,1,2,5
django__django-13809,1,4,3,2,2,4,5,1,5,1,3,2,1,2,2
sympy__sympy-16450,1,4,1,3,2,2,5,1,5,2,5,2,1,2,5
django__django-14765,1,5,2,2,1,1,5,1,5,1,4,3,1,1,3
matplotlib__matplotlib-21568,1,5,3,2,2,4,4,2,5,2,5,3,1,2,5
sphinx-doc__sphinx-7757,2,4,2,2,4,3,4,3,5,4,4,0,0,2,5
django__django-15973,2,4,2,1,4,3,4,1,3,4,5,0,0,3,5
sphinx-doc__sphinx-8621,1,5,3,2,3,3,5,1,5,2,5,2,1,2,5
