instance_id,test_assertion_complexity,solution_complexity,atypicality,reproduction_clarity,test_comprehensiveness,codebase_scope,problem_clarity,fix_localization,debugging_complexity,similar_issue_likelihood,logical_reasoning_required,test_edge_case_coverage,domain_knowledge_required,dependency_complexity,entry_point_clarity
password-recovery,1,4,4,2,2,2,4,5,4,1,4,1,4,1,4
financial-document-processor,4,4,3,3,4,1,4,4,4,1,4,3,3,1,5
qemu-startup,4,2,3,4,3,1,5,5,3,1,3,1,4,2,5
db-wal-recovery,3,3,4,3,4,1,4,5,4,0,4,2,4,1,5
hf-model-inference,3,3,2,4,4,1,5,4,2,1,3,3,3,3,5
winning-avg-corewars,4,4,5,5,4,2,5,5,5,0,4,2,5,1,5
gpt2-codegolf,2,5,5,5,2,2,4,5,5,0,5,1,5,2,5
sam-cell-seg,4,4,4,4,4,2,4,4,4,0,4,3,5,4,5
path-tracing-reverse,4,4,5,4,4,2,4,5,5,0,4,2,4,2,5
gcode-to-text,1,4,4,3,1,1,3,5,3,0,4,1,4,1,5
chess-best-move,2,4,4,3,2,1,4,5,4,0,4,1,4,1,5
bn-fit-modify,4,4,4,3,4,2,4,5,4,0,4,2,5,1,5
fix-code-vulnerability,3,2,3,4,4,2,4,5,4,1,4,4,4,1,4
caffe-cifar-10,4,4,3,4,4,3,4,4,4,1,3,3,4,5,5
reshard-c4-data,4,3,4,4,4,2,4,4,4,1,4,3,3,1,5
mcmc-sampling-stan,4,4,3,4,4,2,5,4,4,1,4,2,5,4,5
portfolio-optimization,5,3,3,5,4,2,4,4,4,1,4,3,3,2,5
raman-fitting,3,3,4,2,3,1,3,5,4,1,4,1,4,1,5
make-doom-for-mips,4,5,4,3,3,3,4,4,4,0,4,2,5,2,5
break-filter-js-from-html,4,1,4,4,3,2,4,5,4,0,4,2,4,2,5
openssl-selfsigned-cert,3,2,1,4,4,1,5,5,2,1,2,2,3,1,5
sqlite-with-gcov,2,2,2,4,3,2,4,4,2,1,2,2,3,2,5
query-optimize,5,3,3,4,5,1,4,5,4,1,4,4,3,1,5
torch-pipeline-parallelism,4,5,4,3,4,2,4,4,5,0,4,3,5,3,5
build-cython-ext,3,4,4,4,4,3,5,4,4,1,4,3,4,3,5
filter-js-from-html,5,3,3,3,4,1,4,5,4,1,4,5,3,2,5
nginx-request-logging,3,3,2,4,4,2,5,4,2,1,3,2,3,2,5
torch-tensor-parallelism,4,4,3,3,4,1,4,5,3,1,4,3,4,2,5
polyglot-c-py,3,4,5,5,4,1,5,5,4,0,4,3,4,1,5
overfull-hbox,4,3,4,4,4,2,4,5,4,1,4,3,3,1,5
distribution-search,4,4,4,3,4,1,5,5,4,0,4,3,4,2,5
model-extraction-relu-logits,4,5,5,4,3,2,4,5,5,0,5,1,5,2,5
prove-plus-comm,2,2,2,4,3,1,5,5,2,1,3,1,3,1,5
largest-eigenval,5,3,4,3,4,2,4,5,4,1,4,3,4,2,5
kv-store-grpc,3,3,2,4,4,2,5,5,2,1,2,2,3,2,5
llm-inference-batching-scheduler,4,5,4,4,5,3,4,4,5,0,5,4,4,1,5
git-multibranch,4,4,3,4,3,3,5,4,4,1,4,1,4,2,5
headless-terminal,3,4,3,3,4,2,4,5,4,1,4,3,4,1,5
pytorch-model-cli,3,4,3,3,4,2,4,4,3,1,3,1,4,2,5
mteb-retrieve,1,3,4,4,2,1,5,5,3,1,3,1,4,3,5
count-dataset-tokens,1,3,3,3,1,1,4,5,4,1,3,1,3,3,5
tune-mjcf,5,1,4,4,4,2,4,4,4,0,4,4,5,3,5
