localization_strategy,hypothesis_testing,incremental_vs_big_bang,error_recovery,verification_approach,exploration_depth,edit_precision,iteration_count,test_creation,context_gathering,brief_summary,task_id,agent,resolved,original_steps,filtered_steps
3,2,2,3,2,2,4,3,1,3,"Agent created a reproduction script, searched and located the symbols function, made a fix for nested tuple handling after encountering a syntax error, then verified the fix with a test script.",sympy__sympy-23534,20240620_sweagent_claude3.5sonnet,True,15,12
2,0,3,0,0,2,3,5,0,2,"Agent used simple search to find SECURE_REFERRER_POLICY setting, changed it from None to 'same-origin' in global settings and documentation, then updated release notes with multiple edits to fix formatting issues.",django__django-12419,20240620_sweagent_claude3.5sonnet,True,18,13
2,1,4,3,2,2,4,4,2,3,"Agent used simple file search to locate aggregates.py, made a single-line fix to add space after DISTINCT, then iteratively created and refined comprehensive test cases to verify the fix.",django__django-10880,20240620_sweagent_claude3.5sonnet,True,21,17
2,0,2,2,2,2,4,2,1,3,"Agent used simple file search to locate the autoreload.py file, made focused edits to add null checks, and verified the fix by running existing tests.",django__django-15572,20240620_sweagent_claude3.5sonnet,True,16,8
3,1,3,3,2,2,4,4,1,3,,django__django-15278,20240620_sweagent_claude3.5sonnet,True,35,31
4,1,2,0,2,1,5,1,0,3,"Agent efficiently located a specific method using structural navigation and made a surgical edit to add current_app parameter, then verified with comprehensive test execution.",django__django-14855,20240620_sweagent_claude3.5sonnet,True,9,7
2,1,2,3,2,3,2,5,1,4,"Agent created reproduction scripts, encountered Django setup issues, then systematically explored the ORM query code to locate and fix the bug by preventing improper annotation clearing when using random ordering.",django__django-13569,20240620_sweagent_claude3.5sonnet,True,75,66
2,0,1,0,1,1,4,1,0,2,"Agent quickly located the CheckboxInput class using find_file and search, made a single focused edit to modify the get_context method, but attempted minimal verification that failed due to configuration issues.",django__django-12193,20240620_sweagent_claude3.5sonnet,True,34,9
2,1,2,3,2,1,4,4,1,2,"Agent created a reproduction script, identified the error in HistGradientBoostingClassifier, and fixed it by adding class mapping logic to handle string labels in the early stopping scorer function.",scikit-learn__scikit-learn-14710,20240620_sweagent_claude3.5sonnet,True,13,12
4,1,3,2,2,2,4,3,1,4,"The agent followed a structural approach by examining the Index class and schema editor, then located the IndexColumns class in ddl_references.py where it made targeted edits to fix the __str__ method formatting issue.",django__django-12039,20240620_sweagent_claude3.5sonnet,True,15,12
3,1,2,0,2,2,4,2,1,3,"Agent created a reproduction script, searched for and located the _print_Symbol method in mathml.py, then made a targeted fix to handle symbols ending with numbers by checking if the last character is a digit and returning early without sub/superscript processing.",sympy__sympy-15976,20240620_sweagent_claude3.5sonnet,False,19,15
1,1,2,1,2,1,3,3,1,1,"Agent created a reproduction script for chained exceptions and repeatedly ran tests with various flags, but never examined the actual pytest codebase or attempted any fixes.",pytest-dev__pytest-5787,20240620_sweagent_claude3.5sonnet,False,19,12
2,2,3,2,2,2,3,2,1,2,"Agent used simple keyword search to find validators.py, created a reproduction script to test URL validation behavior, then added invalid URL test cases to existing test data file.",django__django-10097,20240620_sweagent_claude3.5sonnet,False,13,11
2,2,4,2,2,2,4,3,1,3,"The agent created a reproduction script to confirm the float16 issue, then directly located and modified the dtype casting logic in Quantity.__new__ with targeted edits and verification testing.",astropy__astropy-8872,20240620_sweagent_claude3.5sonnet,False,40,34
1,1,2,2,2,1,2,3,1,1,"Agent created reproduction scripts to test Django migration generation for nested classes, but never explored the Django codebase to locate or fix the actual bug.",django__django-12125,20240620_sweagent_claude3.5sonnet,False,46,31
3,0,1,0,0,1,2,1,0,3,"Agent used iterative search to locate the autoreload.py file and relevant functions, then made a single edit to add X options support without any testing or verification.",django__django-14771,20240620_sweagent_claude3.5sonnet,False,9,8
2,2,3,3,2,3,4,4,1,3,"Agent created a reproduction script to verify the issue, explored QuerySet implementation files, and applied a targeted fix to the _chain method in query.py to ensure proper alias handling during QuerySet unions.",django__django-15128,20240620_sweagent_claude3.5sonnet,False,56,55
2,1,2,0,2,2,4,2,0,3,"Agent used a simple keyword search to locate the bug, made focused edits to fix anchor checking error handling, and verified the fix by running tests.",sphinx-doc__sphinx-8269,20240620_sweagent_claude3.5sonnet,False,10,8
3,2,4,3,2,2,4,3,1,3,"Agent created a reproduction script to verify the issue, located the Point.__add__ method, and fixed it through iterative debugging after encountering a recursion error.",sympy__sympy-17655,20240620_sweagent_claude3.5sonnet,False,14,11
2,1,1,0,2,2,4,1,1,3,"Agent created a reproduction script, used a simple find to locate the units core.py file, then made a single targeted edit to add None-handling in the UnrecognizedUnit.__eq__ method.",astropy__astropy-7606,20240620_sweagent_claude3.5sonnet,False,10,9
