instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
password-recovery,4,1,2,4,4,5,5,2,4,2,0,4,1,1,2
financial-document-processor,4,1,2,4,4,5,4,2,4,3,1,4,1,3,4
qemu-startup,3,1,1,2,4,5,5,1,3,3,1,3,2,1,4
db-wal-recovery,4,1,2,4,4,5,5,2,3,2,0,3,1,2,2
hf-model-inference,2,1,2,2,3,5,4,2,2,3,1,3,3,3,2
winning-avg-corewars,5,1,2,5,5,5,5,3,4,2,0,5,1,3,4
gpt2-codegolf,5,1,1,5,5,5,5,4,5,2,0,5,1,1,4
sam-cell-seg,4,1,2,4,5,5,4,3,4,2,0,4,2,3,4
path-tracing-reverse,5,1,1,5,4,5,5,4,4,2,0,5,2,2,4
gcode-to-text,5,1,2,4,5,3,5,1,4,3,0,4,0,1,4
chess-best-move,4,1,1,4,4,5,5,1,4,3,0,4,1,1,2
bn-fit-modify,4,1,2,4,5,5,5,2,4,2,0,4,2,2,4
fix-code-vulnerability,2,2,2,3,3,4,5,1,3,2,1,3,3,4,2
caffe-cifar-10,3,3,3,4,4,5,4,4,3,4,1,4,2,3,4
reshard-c4-data,4,1,2,3,3,5,4,2,4,2,1,3,1,3,4
mcmc-sampling-stan,4,1,2,4,5,5,4,3,4,4,1,5,2,2,4
portfolio-optimization,2,1,2,2,4,5,4,4,3,2,1,3,2,3,4
raman-fitting,3,1,1,3,4,5,5,1,3,2,1,3,1,1,2
make-doom-for-mips,5,2,5,5,5,4,4,4,5,2,0,5,1,2,4
break-filter-js-from-html,4,1,2,3,4,5,5,1,4,2,0,2,1,2,3
openssl-selfsigned-cert,1,1,1,2,3,5,5,1,2,2,1,2,3,2,2
sqlite-with-gcov,2,4,2,2,3,4,4,4,2,3,1,3,2,2,2
query-optimize,3,1,1,3,4,5,5,2,4,2,1,3,1,4,4
torch-pipeline-parallelism,4,1,1,4,5,5,4,3,4,2,0,5,2,3,4
build-cython-ext,3,2,3,3,4,5,4,3,3,4,1,4,2,3,3
filter-js-from-html,3,1,1,4,3,4,5,2,4,2,1,3,2,5,4
nginx-request-logging,2,1,2,2,3,5,4,1,3,4,1,3,3,2,2
torch-tensor-parallelism,3,1,1,4,5,5,5,2,4,2,0,4,2,3,4
polyglot-c-py,5,1,1,4,4,5,5,3,4,2,0,4,1,3,3
overfull-hbox,4,1,2,3,3,5,5,1,4,2,1,3,1,3,2
distribution-search,5,1,1,4,5,5,5,2,5,2,0,5,1,3,2
model-extraction-relu-logits,5,1,2,5,5,5,5,1,5,2,0,5,1,2,4
prove-plus-comm,2,1,1,2,3,5,5,2,3,2,1,2,2,1,1
largest-eigenval,4,1,1,4,4,5,5,1,4,3,1,3,1,3,5
kv-store-grpc,2,1,2,2,3,5,5,2,2,3,1,3,3,2,2
llm-inference-batching-scheduler,4,1,3,5,5,5,4,2,5,2,0,5,2,4,4
git-multibranch,3,1,3,3,4,5,4,1,4,5,1,4,2,2,4
headless-terminal,3,1,1,3,3,5,5,2,3,3,1,4,2,3,3
pytorch-model-cli,3,1,3,3,4,5,4,4,4,2,1,4,1,2,3
mteb-retrieve,4,1,1,3,4,5,5,2,3,2,1,3,2,1,2
count-dataset-tokens,3,1,1,3,4,5,5,2,3,2,1,3,2,1,2
tune-mjcf,4,1,1,3,5,5,4,2,4,2,0,1,1,4,5
constraints-scheduling,4,1,1,3,3,5,5,1,4,2,1,3,2,4,4
extract-moves-from-video,4,1,1,4,4,4,5,1,4,2,1,5,1,2,4
cancel-async-tasks,3,1,1,3,4,4,5,2,4,2,1,2,1,4,4
extract-elf,4,1,1,3,4,5,5,3,4,2,1,4,1,2,3
merge-diff-arc-agi-task,4,1,2,3,3,5,5,1,4,2,1,4,2,2,3
modernize-scientific-stack,2,1,2,2,2,5,4,2,2,2,1,2,3,1,2
dna-insert,4,1,1,3,5,5,5,1,4,2,0,3,2,3,3
mteb-leaderboard,4,1,1,3,4,5,5,1,3,2,1,3,1,1,2
install-windows-3.11,4,1,2,4,5,5,4,2,4,4,1,4,3,3,5
feal-differential-cryptanalysis,4,1,2,5,5,5,4,2,5,2,0,5,2,1,3
video-processing,4,1,1,4,4,5,5,2,4,2,0,4,1,2,3
pypi-server,3,1,2,3,3,5,4,1,3,4,1,4,3,2,3
vulnerable-secret,3,1,1,3,4,4,5,4,3,2,1,3,1,1,2
pytorch-model-recovery,4,1,2,3,5,5,4,2,4,2,0,4,2,3,4
mailman,3,1,3,4,5,5,4,2,4,5,1,5,2,2,4
polyglot-rust-c,5,1,1,5,5,5,5,5,5,2,0,5,1,3,4
crack-7z-hash,3,4,2,3,3,4,5,3,3,3,1,3,1,1,1
dna-assembly,4,1,1,4,5,5,4,2,4,2,0,4,2,4,4
build-pov-ray,4,1,3,4,5,5,5,4,4,3,1,4,2,3,4
cobol-modernization,3,1,2,2,3,5,5,2,3,2,1,2,2,1,2
fix-ocaml-gc,4,4,2,4,5,4,4,4,4,2,0,2,1,1,3
write-compressor,5,1,2,5,5,5,5,2,5,2,0,5,0,2,4
rstan-to-pystan,4,1,2,4,5,5,5,3,4,4,0,4,2,2,4
protein-assembly,5,1,3,5,5,5,5,2,4,3,0,5,2,3,4
path-tracing,5,1,1,4,4,5,5,4,4,2,0,4,1,3,4
large-scale-text-editing,4,1,1,3,3,5,5,2,3,2,1,3,2,4,4
train-fasttext,2,1,2,4,3,5,5,2,3,4,1,3,2,2,4
multi-source-data-merger,2,1,1,2,3,5,5,2,3,2,1,3,2,2,2
regex-chess,5,1,2,5,5,5,5,4,5,2,0,5,2,4,5
schemelike-metacircular-eval,5,1,3,5,5,5,4,3,5,2,0,5,2,4,4
sanitize-git-repo,2,3,2,2,2,5,4,3,3,2,1,2,2,3,3
fix-git,3,2,2,2,3,3,4,2,3,2,1,2,1,1,2
configure-git-webserver,3,1,3,3,4,5,1,2,4,5,1,4,1,1,4
git-leak-recovery,3,1,2,3,3,5,4,1,3,2,1,3,1,3,4
circuit-fibsqrt,5,1,2,5,5,5,4,3,5,2,0,5,1,3,4
regex-log,4,1,1,4,3,5,5,2,4,2,1,3,2,4,4
custom-memory-heap-crash,4,4,2,5,5,4,5,4,4,2,0,4,1,4,3
sparql-university,3,1,1,4,4,5,5,2,4,2,1,4,2,3,3
compile-compcert,3,3,2,4,5,5,1,4,4,4,1,4,2,4,3
build-pmars,3,1,2,3,3,5,4,4,3,4,1,3,2,3,3
log-summary-date-ranges,2,1,1,2,2,5,5,1,3,2,1,2,2,2,2
code-from-image,4,1,1,4,3,4,5,2,4,2,0,3,1,1,1
qemu-alpine-ssh,4,1,2,4,4,5,5,2,3,4,1,4,2,1,4
feal-linear-cryptanalysis,5,1,2,5,5,4,4,4,5,2,0,5,2,1,3
make-mips-interpreter,5,2,4,5,5,4,4,5,5,2,0,5,2,2,4
adaptive-rejection-sampler,4,1,2,4,5,5,4,2,4,3,0,4,2,4,4
sqlite-db-truncate,4,1,1,4,4,4,5,2,4,2,1,3,1,1,3
