instance_id,codebase_scope,atypicality,information_completeness,error_specificity,problem_clarity,debugging_complexity,similar_issue_likelihood,logical_reasoning_required,expected_behavior_clarity,domain_knowledge_required,verification_difficulty,backwards_compatibility_risk,solution_hint,standard_pattern_available,reproduction_clarity
astropy__astropy-12907,2,4,4,4,4,3,1,4,5,5,3,2,0,0,5
astropy__astropy-13033,1,3,5,5,5,2,1,3,4,4,2,1,1,0,5
astropy__astropy-13236,2,3,4,3,4,2,1,2,4,4,3,5,3,1,3
astropy__astropy-13398,2,4,4,3,4,4,0,4,4,5,4,4,3,0,3
astropy__astropy-13453,2,3,5,4,5,2,1,3,5,4,2,1,0,0,5
astropy__astropy-13579,2,4,5,4,4,4,0,4,5,5,3,3,0,0,5
astropy__astropy-13977,2,4,5,5,4,2,1,4,5,5,3,3,2,1,5
astropy__astropy-14096,1,3,4,5,5,2,1,3,4,4,2,2,1,0,5
astropy__astropy-14182,2,2,4,5,5,2,1,3,4,4,2,2,2,1,5
astropy__astropy-14309,1,2,5,5,5,2,1,2,4,3,2,2,2,1,5
astropy__astropy-14365,1,1,5,5,5,1,1,2,5,3,2,1,2,1,5
astropy__astropy-14369,2,3,5,4,5,3,1,3,4,4,2,2,1,0,5
astropy__astropy-14508,1,3,5,5,5,2,1,3,5,4,3,3,2,0,5
astropy__astropy-14539,2,4,5,4,4,3,1,4,5,4,2,1,1,0,5
astropy__astropy-14598,2,4,5,4,5,3,1,4,4,4,3,2,0,0,5
astropy__astropy-14995,2,2,5,5,5,2,1,3,4,4,2,2,1,1,5
astropy__astropy-7166,1,3,2,4,4,2,1,3,3,4,3,2,2,0,2
astropy__astropy-7336,1,2,5,5,5,2,1,2,4,3,2,2,2,1,5
astropy__astropy-7606,1,2,5,5,5,1,1,2,5,3,2,2,1,1,5
astropy__astropy-7671,1,2,5,5,5,2,1,2,5,2,2,2,3,1,5
astropy__astropy-8707,2,2,3,3,4,2,1,2,4,3,2,2,2,1,2
astropy__astropy-8872,2,3,4,4,4,2,1,3,5,4,2,2,0,0,5
django__django-10097,1,3,4,4,4,2,1,3,5,4,3,3,2,1,4
django__django-10554,3,4,4,5,4,4,1,4,4,5,3,3,0,0,5
django__django-10880,1,2,3,4,4,2,1,2,4,4,2,1,2,1,3
django__django-10914,2,2,4,4,4,2,1,2,4,3,3,4,3,1,3
django__django-10973,1,2,3,2,4,2,1,2,4,3,3,2,3,1,1
django__django-10999,1,2,5,4,5,1,1,2,4,2,2,2,3,1,3
django__django-11066,1,2,4,4,5,2,1,2,5,4,4,1,3,1,3
django__django-11087,2,3,5,5,4,3,1,3,4,4,4,2,2,0,4
django__django-11095,1,2,2,2,4,2,1,2,4,4,3,2,2,1,2
django__django-11099,1,2,5,4,5,1,1,2,5,2,2,2,3,1,4
django__django-11119,1,2,3,4,4,2,1,2,4,4,2,2,2,1,3
django__django-11133,1,2,4,4,5,2,1,2,5,3,2,2,1,1,5
django__django-11138,2,3,5,4,5,2,1,3,5,4,4,3,3,0,4
django__django-11141,1,3,4,3,4,2,1,2,4,4,3,2,2,1,2
django__django-11149,2,3,3,4,4,3,1,3,4,4,3,2,0,0,4
django__django-11163,1,1,5,4,5,1,1,2,5,2,2,2,3,1,4
django__django-11179,1,2,3,4,4,2,1,3,4,4,2,2,2,1,2
django__django-11206,1,3,4,5,4,2,1,3,4,3,2,3,2,0,5
django__django-11211,2,3,3,3,4,3,1,4,4,4,3,2,1,0,4
django__django-11239,1,2,4,3,4,2,1,2,4,3,4,1,2,1,3
django__django-11265,2,4,4,5,4,4,1,4,4,5,3,2,1,0,5
django__django-11276,2,1,4,3,5,1,1,2,5,2,2,3,3,1,4
django__django-11292,2,2,3,3,4,2,1,2,4,3,2,2,2,1,2
django__django-11299,2,3,5,5,4,3,1,4,5,4,3,2,2,0,5
django__django-11333,2,2,4,4,5,2,1,3,4,4,3,2,3,1,3
django__django-11400,1,2,4,4,4,2,1,3,4,4,3,2,2,1,2
django__django-11433,2,3,2,3,3,3,1,4,4,4,3,4,1,0,2
django__django-11451,1,2,5,4,5,1,1,2,5,3,2,2,3,1,4
django__django-11477,2,4,2,2,2,3,1,4,3,4,3,2,0,0,2
django__django-11490,2,3,4,4,4,3,1,4,4,4,2,2,1,0,5
django__django-11532,2,3,5,5,5,2,1,2,4,4,2,2,3,1,5
django__django-11551,1,3,5,5,5,2,1,4,5,4,3,3,3,0,5
django__django-11555,2,4,3,4,3,3,1,3,3,4,3,2,1,0,4
django__django-11603,1,2,3,3,4,2,1,2,4,4,2,2,3,1,2
django__django-11728,1,3,3,4,4,2,1,3,4,4,2,2,1,0,4
django__django-11734,3,4,4,4,4,4,1,4,4,5,3,2,0,0,5
django__django-11740,2,3,4,4,4,3,1,3,4,4,3,2,1,0,4
django__django-11749,1,3,5,5,4,2,1,3,4,4,3,2,2,0,5
django__django-11790,1,2,4,4,4,2,1,3,4,4,2,2,1,1,3
django__django-11815,2,3,4,4,5,2,1,3,5,4,3,3,3,0,5
django__django-11820,2,3,3,4,4,2,1,3,4,4,2,2,1,0,3
django__django-11848,1,3,4,4,4,2,1,3,5,3,3,3,2,1,2
django__django-11880,1,2,4,4,4,2,1,2,4,3,3,2,2,1,3
django__django-11885,2,3,4,3,4,3,1,3,5,4,3,2,2,0,4
django__django-11951,1,1,4,4,5,1,1,2,5,3,2,2,3,1,2
django__django-11964,2,3,5,5,4,3,1,3,5,4,2,3,1,0,5
django__django-11999,2,3,4,4,4,3,1,3,5,4,2,3,1,0,5
django__django-12039,1,3,5,4,5,2,1,3,5,4,2,1,2,0,5
django__django-12050,1,3,3,3,3,2,1,3,4,4,3,3,2,1,2
django__django-12125,2,3,4,4,5,3,1,3,5,4,2,2,1,0,5
django__django-12143,1,2,4,4,5,1,1,2,5,3,3,1,3,1,2
django__django-12155,1,2,5,4,5,1,1,2,5,3,2,2,3,1,4
django__django-12193,2,3,4,4,4,2,1,3,4,4,3,2,2,1,3
django__django-12209,2,3,4,4,4,3,1,4,4,4,3,4,1,0,5
django__django-12262,1,3,4,4,4,2,1,3,4,4,2,2,1,0,5
django__django-12273,2,4,4,3,4,3,1,4,4,4,3,3,1,0,5
django__django-12276,1,2,3,3,4,2,1,2,4,4,2,2,3,1,2
django__django-12304,1,2,4,4,5,1,1,2,5,3,2,2,3,1,4
django__django-12308,1,2,4,4,4,2,1,2,4,4,2,2,3,1,3
django__django-12325,2,4,4,4,4,3,0,4,4,4,3,2,1,0,5
django__django-12406,2,3,4,4,4,2,1,3,4,4,3,3,1,0,5
django__django-12419,1,1,4,3,5,1,1,1,5,3,2,3,3,1,2
django__django-12663,2,3,4,5,4,3,1,4,4,4,3,2,1,0,5
django__django-12708,2,3,4,4,4,3,1,4,3,4,4,3,1,0,4
django__django-12713,1,2,2,3,3,2,1,2,4,4,2,2,2,1,2
django__django-12741,2,1,4,3,5,1,1,2,5,3,2,3,3,1,2
django__django-12754,2,3,4,4,4,3,1,4,4,4,3,2,2,0,5
django__django-12774,1,3,4,5,5,2,1,3,4,4,2,2,1,0,5
django__django-12858,2,3,4,5,4,3,1,4,5,4,3,2,1,0,4
django__django-12965,2,3,5,5,4,2,1,3,5,4,3,3,2,0,5
django__django-13012,2,3,4,5,4,3,1,4,5,4,3,2,1,0,5
django__django-13023,1,2,3,4,4,1,1,2,5,3,2,1,1,1,3
django__django-13028,2,4,5,5,4,2,1,3,4,4,2,3,1,0,5
django__django-13033,3,4,5,4,4,4,1,4,5,4,3,3,1,0,5
django__django-13089,1,2,4,5,4,2,1,2,4,3,4,1,2,1,2
django__django-13109,1,2,5,4,5,1,1,2,5,4,3,3,3,1,5
django__django-13112,2,3,4,4,4,3,1,3,4,4,3,3,1,0,4
django__django-13121,3,4,4,5,4,3,1,4,3,4,4,2,0,0,5
django__django-13128,2,3,3,5,4,3,1,4,3,4,3,3,1,0,5
django__django-13158,3,4,3,4,4,4,0,4,4,4,3,3,1,0,4
django__django-13195,2,2,4,4,4,2,1,2,4,3,3,3,3,1,3
django__django-13212,2,2,3,3,4,2,1,2,4,3,2,2,2,1,3
django__django-13279,2,3,3,3,3,3,1,3,3,4,4,4,2,0,2
django__django-13297,2,3,4,4,4,3,1,3,4,4,3,4,1,0,5
django__django-13315,2,3,2,3,2,3,1,3,3,4,3,2,1,1,2
django__django-13343,2,3,4,4,4,2,1,3,5,4,3,2,2,1,3
django__django-13344,2,4,4,4,4,3,1,4,5,4,4,2,1,0,5
django__django-13346,3,4,3,3,4,4,1,4,4,5,3,2,0,0,4
