instance_id,debugging_complexity,test_edge_case_coverage,logical_reasoning_required,test_comprehensiveness,expected_behavior_clarity,side_effect_risk,reproduction_clarity,atypicality,solution_hint,codebase_scope,standard_pattern_available,integration_complexity,solution_complexity,error_specificity,test_assertion_complexity
numpy__numpy-7853cbc,4,3,4,4,2,3,3,4,0,3,0,4,4,3,3
huggingface__tokenizers-076319d,4,2,4,3,3,3,3,4,0,3,0,4,4,3,3
huggingface__datasets-ef3b5dd,3,2,3,3,3,3,3,3,1,3,0,5,5,3,2
numpy__numpy-8dd6761,4,3,4,3,2,2,2,4,0,3,0,5,5,3,3
numpy__numpy-ac5c664,4,3,4,4,3,3,3,4,0,3,0,5,5,3,3
huggingface__tokenizers-c893204,3,2,4,3,2,3,2,4,0,2,0,4,4,3,1
huggingface__datasets-5994036,2,1,3,2,3,2,3,3,1,1,0,4,4,3,3
pandas-dev__pandas-f298507,2,2,3,3,3,2,3,3,0,2,0,4,4,3,3
pandas-dev__pandas-45f0705,2,2,3,3,3,3,2,2,1,2,0,3,2,3,3
numpy__numpy-09db9c7,2,3,3,3,2,2,2,3,0,2,0,5,5,3,2
python-pillow__Pillow-f854676,2,1,3,2,3,3,3,3,1,2,0,4,3,3,2
uploadcare__pillow-simd-d970a39,3,2,4,3,3,3,2,5,0,2,0,3,3,3,2
pandas-dev__pandas-2278923,3,1,4,2,3,3,3,3,1,2,0,4,4,3,1
numpy__numpy-330057f,4,4,4,4,2,2,2,4,0,3,0,4,3,3,3
numpy__numpy-b862e4f,4,1,4,2,2,2,2,4,0,3,0,4,4,3,2
numpy__numpy-893db31,3,2,3,3,2,2,2,3,0,2,0,5,4,3,2
pandas-dev__pandas-fd43d4b,2,1,3,2,3,3,3,3,1,2,0,3,3,3,1
pandas-dev__pandas-84aca21,3,4,3,5,2,3,3,3,0,3,0,4,4,3,3
pandas-dev__pandas-d377cc9,3,1,3,2,3,3,3,3,1,2,0,4,4,3,1
numpy__numpy-11a7e2d,4,2,4,3,2,3,3,4,0,3,0,4,4,3,3
uploadcare__pillow-simd-b4045cf,4,2,4,3,3,3,3,5,0,3,0,4,5,3,3
pandas-dev__pandas-191557d,3,1,3,2,2,3,3,3,0,3,0,3,3,3,2
uploadcare__pillow-simd-0514e20,2,1,4,3,3,3,2,5,0,1,0,3,5,3,4
pandas-dev__pandas-ccca5df,3,1,3,3,3,3,3,3,0,3,0,5,5,3,1
pandas-dev__pandas-e7e3676,3,1,3,2,3,3,3,3,0,3,0,4,4,3,2
numpy__numpy-248c60e,2,4,3,4,2,2,2,3,1,2,0,5,5,3,3
numpy__numpy-ec52363,3,4,4,4,3,3,3,4,0,2,0,3,2,3,3
pandas-dev__pandas-9d6d587,3,3,4,4,2,3,2,3,0,2,0,2,2,3,2
numpy__numpy-cedba62,3,1,3,2,3,3,3,3,0,2,0,2,3,3,2
numpy__numpy-905d37e,3,2,4,4,2,3,2,3,0,2,0,3,3,3,3
numpy__numpy-83c780d,3,1,3,3,3,2,3,3,0,2,0,5,5,3,2
tornadoweb__tornado-4d4c1e0,3,1,3,2,2,2,2,3,0,2,0,5,5,3,2
pandas-dev__pandas-1c2ad16,3,1,3,2,2,3,2,3,0,3,0,4,3,3,2
huggingface__datasets-c5464b3,2,2,3,3,3,3,3,3,1,2,0,4,4,3,3
numpy__numpy-e801e7a,3,4,3,4,2,2,2,3,0,2,0,5,5,3,3
numpy__numpy-ba89ef9,4,1,4,2,3,3,3,4,0,3,0,4,4,3,3
pandas-dev__pandas-2421931,3,1,3,2,2,3,3,3,0,3,0,5,5,3,2
pandas-dev__pandas-71c94af,2,1,3,2,2,2,2,3,0,2,0,3,3,3,1
pandas-dev__pandas-ad3f3f7,3,2,4,3,3,3,3,3,0,2,0,4,3,3,3
numpy__numpy-ef5e545,2,2,3,3,3,2,3,3,0,2,0,4,4,3,2
numpy__numpy-1b861a2,2,1,3,2,3,3,3,3,0,2,0,5,5,3,2
numpy__numpy-cb461ba,2,2,3,3,2,2,3,3,0,2,0,5,5,3,3
uploadcare__pillow-simd-9e60023,4,3,4,4,2,3,2,5,0,3,0,4,5,3,3
numpy__numpy-1fcda82,4,4,3,4,2,3,2,4,0,3,0,5,5,3,3
numpy__numpy-ee75c87,2,4,3,4,3,2,3,3,0,2,0,5,5,3,2
huggingface__tokenizers-fc76ad4,4,2,4,3,3,3,3,4,0,3,0,3,3,3,3
numpy__numpy-780799b,4,3,4,4,2,2,2,3,0,3,0,3,3,3,2
pandas-dev__pandas-2f4c93e,3,2,4,3,2,3,2,3,0,2,0,4,3,3,3
pandas-dev__pandas-2a08b05,3,1,3,2,3,3,2,3,0,2,0,2,3,3,2
pandas-dev__pandas-f1211e7,3,3,3,3,3,3,3,3,0,2,0,3,3,3,2
numpy__numpy-cb0d7cd,3,3,3,3,3,2,3,4,1,3,0,5,5,3,2
abetlen__llama-cpp-python-218d361,3,1,3,3,2,3,2,4,0,2,0,5,4,3,2
numpy__numpy-382b3ff,4,2,3,3,2,2,2,4,0,3,0,4,3,3,3
numpy__numpy-5f94eb8,3,1,4,3,2,3,2,4,0,2,0,5,5,3,2
uploadcare__pillow-simd-7511039,3,2,4,3,2,3,2,5,0,2,0,4,5,3,2
numpy__numpy-be52f19,4,1,4,2,2,2,2,4,0,3,0,4,4,3,3
numpy__numpy-728fedc,3,1,3,3,2,2,2,3,0,2,0,5,5,3,2
pandas-dev__pandas-5d82d8b,3,3,3,4,2,3,2,3,1,2,0,3,2,3,2
tornadoweb__tornado-9a18f6c,2,1,3,2,2,3,2,3,0,2,0,2,4,3,2
pandas-dev__pandas-65bca65,2,2,3,3,2,2,2,3,1,1,0,3,2,3,2
numpy__numpy-22ab9aa,3,2,3,3,3,2,3,3,0,2,0,5,5,3,2
huggingface__transformers-d51b589,3,1,4,2,2,2,2,4,0,2,0,4,3,3,2
pandas-dev__pandas-81b5f1d,4,1,3,2,2,3,2,3,0,3,0,3,2,3,2
numpy__numpy-eb21b25,4,1,4,2,3,3,3,4,0,3,0,4,4,3,3
pandas-dev__pandas-061c2e9,3,1,3,2,2,3,3,3,0,2,0,4,4,3,3
pandas-dev__pandas-233bd83,3,4,3,4,3,3,3,3,1,3,0,4,4,3,3
numpy__numpy-794f474,4,1,3,2,2,3,2,3,0,3,0,5,5,3,3
python-pillow__Pillow-fd8ee84,2,2,3,3,3,2,2,2,1,1,0,2,1,3,2
pydantic__pydantic-addf1f9,3,1,3,3,3,3,3,3,1,2,0,4,4,3,2
numpy__numpy-19bfa3f,3,3,3,4,3,3,3,3,0,2,0,5,5,3,2
pandas-dev__pandas-c34da50,3,2,3,2,3,3,3,3,1,3,0,3,3,3,2
pandas-dev__pandas-c51c2a7,4,3,3,3,2,3,2,3,0,3,0,3,2,3,3
pandas-dev__pandas-37e9e06,2,4,3,4,3,1,2,3,1,2,0,3,2,3,2
pydantic__pydantic-c2647ab,3,1,3,2,2,2,3,3,0,2,0,5,5,3,2
pydantic__pydantic-4a09447,2,1,3,2,2,2,2,3,0,2,0,3,2,3,2
