instance_id,atypicality,domain_knowledge_required,problem_clarity,reproduction_clarity,standard_pattern_available,implementation_language_complexity,environment_setup_complexity,codebase_scale,solution_hint,information_completeness,dependency_complexity,verification_difficulty,debugging_complexity,change_blast_radius,testing_infrastructure_quality
abetlen__llama-cpp-python-218d361,3,4,2,2,0,4,3,2,0,1,3,4,3,2,3
abetlen__llama-cpp-python-2bc1d97,4,4,2,2,0,4,4,4,0,2,4,4,3,3,3
huggingface__datasets-5994036,3,4,2,2,0,2,2,4,0,2,4,3,2,3,4
huggingface__datasets-c5464b3,3,4,2,2,0,2,2,3,0,2,4,3,2,2,4
huggingface__datasets-ef3b5dd,3,4,2,2,0,2,2,4,0,2,4,4,3,3,4
huggingface__tokenizers-076319d,3,4,2,2,0,5,4,2,0,2,4,3,3,3,4
huggingface__tokenizers-bfd9cde,3,4,2,2,0,5,3,3,0,2,4,4,3,2,4
huggingface__tokenizers-c893204,4,4,2,2,0,5,3,4,0,2,4,4,3,3,4
huggingface__tokenizers-fc76ad4,4,5,2,2,0,5,3,3,0,2,4,4,4,2,4
huggingface__transformers-211f93a,3,4,2,2,0,2,2,4,0,2,4,3,2,2,4
huggingface__transformers-253f9a3,3,4,2,2,1,2,2,4,0,2,4,4,2,2,4
huggingface__transformers-63b90a5,3,4,3,2,0,2,2,5,0,2,4,3,2,2,4
huggingface__transformers-d51b589,3,4,2,3,0,2,2,2,0,2,3,4,3,2,4
numpy__numpy-09db9c7,3,4,2,2,0,5,4,4,0,2,4,3,2,3,4
numpy__numpy-11a7e2d,3,4,2,2,0,4,4,4,0,2,4,3,3,4,4
numpy__numpy-19bfa3f,3,4,2,2,0,3,4,4,0,2,4,3,2,2,4
numpy__numpy-1b861a2,3,4,2,2,0,3,4,4,0,2,4,3,2,2,4
numpy__numpy-1fcda82,4,5,2,2,0,4,4,4,0,2,4,4,3,3,4
numpy__numpy-22ab9aa,3,4,2,2,0,4,4,4,0,2,4,3,2,3,4
numpy__numpy-248c60e,3,4,2,2,0,5,4,4,0,2,4,3,2,3,4
numpy__numpy-2540554,3,4,3,2,0,3,4,4,0,2,4,3,2,3,4
numpy__numpy-28706af,3,4,3,2,0,5,4,4,0,2,4,3,3,4,4
numpy__numpy-2dfd21e,4,5,2,2,0,5,4,4,0,1,4,4,3,3,4
numpy__numpy-330057f,3,4,2,2,0,5,4,4,0,1,4,3,3,5,4
numpy__numpy-382b3ff,4,4,2,2,0,4,4,4,0,1,4,4,3,4,5
numpy__numpy-567b57d,3,4,2,2,0,3,4,4,0,2,4,3,2,2,4
numpy__numpy-5f94eb8,4,5,2,2,0,5,4,4,0,2,4,4,3,4,4
numpy__numpy-68eead8,4,4,2,2,0,4,4,4,0,2,4,3,3,3,4
numpy__numpy-728fedc,3,4,2,2,0,5,4,4,0,2,4,3,2,3,4
