,b,b_std
adaptive-rejection-sampler,0.039682336,0.2893145
bn-fit-modify,-0.11361648,0.28785467
break-filter-js-from-html,1.7039962,0.29037502
build-cython-ext,1.1585264,0.26358524
build-pmars,-1.8537731,0.4305195
build-pov-ray,-0.4076433,0.34548575
caffe-cifar-10,3.948846,0.46357882
cancel-async-tasks,-0.2418908,0.30695733
chess-best-move,3.8007016,0.3986634
circuit-fibsqrt,2.0394478,0.27745292
cobol-modernization,-3.2305775,0.57299495
code-from-image,-1.6415596,0.35871735
compile-compcert,0.51729333,0.28110766
configure-git-webserver,-0.78873026,0.29449466
constraints-scheduling,-4.249841,0.9183208
count-dataset-tokens,0.49224195,0.29064125
crack-7z-hash,-0.7267891,0.32959577
custom-memory-heap-crash,-1.5559636,0.4289906
db-wal-recovery,2.8078916,0.27352756
distribution-search,-1.3571293,0.36281195
dna-assembly,4.069386,0.4455706
dna-insert,4.154945,0.40490738
extract-elf,-0.66335344,0.2978446
extract-moves-from-video,5.0826063,0.5699538
feal-differential-cryptanalysis,1.2320715,0.26265502
feal-linear-cryptanalysis,1.8447474,0.28114575
filter-js-from-html,6.0788665,0.8390884
financial-document-processor,1.908682,0.26497936
fix-code-vulnerability,-0.62520444,0.34086218
fix-git,-3.6491117,0.7280477
fix-ocaml-gc,-0.4483576,0.3171563
gcode-to-text,4.3174863,0.4411196
git-leak-recovery,-2.7605925,0.5930595
git-multibranch,-2.1184933,0.4261278
gpt2-codegolf,6.0081143,0.88873804
headless-terminal,-1.5438882,0.36433896
hf-model-inference,-1.5511848,0.4096781
install-windows-3.11,4.7859254,0.5256174
kv-store-grpc,0.53646433,0.2500794
large-scale-text-editing,-0.4502843,0.32843846
largest-eigenval,0.79610264,0.29204598
llm-inference-batching-scheduler,1.4809173,0.27029833
log-summary-date-ranges,-0.7275225,0.33219117
mailman,0.10218095,0.27606705
make-doom-for-mips,7.192087,1.1679045
make-mips-interpreter,3.9721491,0.432707
mcmc-sampling-stan,-0.62595487,0.3018753
merge-diff-arc-agi-task,-1.4301699,0.37789223
model-extraction-relu-logits,1.7829758,0.26645783
modernize-scientific-stack,-3.574685,0.81448805
mteb-leaderboard,3.401747,0.33757952
mteb-retrieve,3.5141704,0.34567022
multi-source-data-merger,-3.686663,0.63224643
nginx-request-logging,-3.2028413,0.6371329
openssl-selfsigned-cert,-1.2604761,0.38113156
overfull-hbox,1.0254046,0.25544384
password-recovery,0.80676997,0.2868494
path-tracing,2.6168687,0.30415767
path-tracing-reverse,3.2824893,0.33560807
polyglot-c-py,3.1098263,0.3600308
polyglot-rust-c,3.5306342,0.34770313
portfolio-optimization,-2.533926,0.55490035
protein-assembly,2.5098035,0.29327717
prove-plus-comm,-3.6378489,0.7378549
pypi-server,-1.6012537,0.38397264
pytorch-model-cli,0.05843567,0.28383765
pytorch-model-recovery,-0.04051599,0.2856437
qemu-alpine-ssh,1.3687127,0.27870658
qemu-startup,-1.5817279,0.39800474
query-optimize,0.36447722,0.26869982
raman-fitting,6.111541,0.8752883
regex-chess,4.5802746,0.5283383
regex-log,-1.4656326,0.40463793
reshard-c4-data,0.7997963,0.27668634
rstan-to-pystan,0.7364188,0.26164615
sam-cell-seg,4.8105993,0.49512592
sanitize-git-repo,1.1341988,0.2853285
schemelike-metacircular-eval,1.2202458,0.25901267
sparql-university,0.89135975,0.27780047
sqlite-db-truncate,1.0542625,0.29676762
sqlite-with-gcov,-1.3295168,0.36806777
torch-pipeline-parallelism,4.581335,0.44241807
torch-tensor-parallelism,3.6337383,0.4174848
train-fasttext,4.261672,0.46615008
tune-mjcf,-0.27445206,0.2995885
video-processing,4.1831903,0.50316006
vulnerable-secret,-1.4674727,0.3843843
winning-avg-corewars,1.1323844,0.266896
write-compressor,2.8132432,0.31068224
