instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,_parse_error,fix_localization,fix_localization_reasoning,entry_point_clarity,entry_point_clarity_reasoning,change_blast_radius,change_blast_radius_reasoning,environment_setup_complexity,environment_setup_complexity_reasoning,implementation_language_complexity,implementation_language_complexity_reasoning,testing_infrastructure_quality,testing_infrastructure_quality_reasoning,dependency_complexity,dependency_complexity_reasoning,codebase_scale,codebase_scale_reasoning
numpy__numpy-7853cbc,2,4,5,4,4,3,0,3,5,3,2,1,4,1,3,4,3,3,4,4,2026-03-07T23:24:52.341819,claude-opus-4-6,anthropic,numpy__numpy-7853cbc,,4.0,The solution is focused on a single file (ufunc_object.c) and potentially legacy_array_method.c. The fast path placeholder is already identified at line 6360. Need to implement ufunc_at__fast_iter as a new function in the same file.,5.0,The problem statement clearly targets np.add.at (ufunc.at). The code already has a commented-out fast_iter call and fprintf statements marking the fast path location. The git history shows 3 commits preparing for this exact optimization.,2.0,"Changes are primarily in ufunc_object.c, possibly touching legacy_array_method.c. The optimization adds a new code path but doesn't change existing interfaces. The slow path remains as fallback for non-numeric types.",4.0,"This is NumPy's source with C extensions requiring compilation. Need Cython, a C compiler, and proper build setup. The build uses setup.py with complex configuration. Building from source is non-trivial.",4.0,"The solution requires writing C code within NumPy's internal ufunc machinery. Must understand PyArrayMapIterObject, strided loops, PyArray internals, GIL handling, and NumPy's C API. The existing slow_iter function is ~100 lines of complex C.",3.0,"The provided test script has setup/experiment/check_equivalence functions. NumPy has extensive test infrastructure (pytest-based). However, the performance test requires building C extensions and timing, which adds friction.",4.0,"NumPy has significant build dependencies: Cython, C compiler toolchain, BLAS/LAPACK. The test_requirements.txt lists several packages. Building C extensions involves complex compilation steps.",5.0,"NumPy is a massive project with 3383+ files (excluding .venv/.git). The core C source alone (ufunc_object.c) is 7018 lines. The entire project spans Python, C, Cython, and Fortran code across many modules."
huggingface__tokenizers-076319d,3,4,4,4,3,3,1,3,5,3,2,2,4,1,4,3,4,3,4,4,2026-03-07T23:25:19.355669,claude-opus-4-6,anthropic,huggingface__tokenizers-076319d,,4.0,"The performance bottleneck is clearly in the find_matches method in added_vocabulary.rs. The fix likely involves optimizing the regex matching strategy (caching compiled regexes or using Aho-Corasick) primarily in this single file, possibly with minor changes to rebuild_regex.",4.0,"The task script clearly shows the bottleneck is tokenizer.encode() with 4000 added tokens. The find_matches function in added_vocabulary.rs is the obvious hotspot, where it recompiles regex patterns on every match.",2.0,"Changes are mostly isolated to the added_vocabulary.rs file's internal matching logic. The MatchingSet type and find_matches/split_with_indices methods are internal, but the MatchingSet type definition might need updating, affecting rebuild_regex.",4.0,"This is a Rust project with Python bindings via PyO3/setuptools-rust. Building requires Rust toolchain, compiling native code, and installing the Python package. The .venv has a pre-built version but changes to Rust code require full rebuild.",4.0,"The fix requires modifying Rust code in a tokenizer library, understanding regex compilation, potentially adding Aho-Corasick dependency, and rebuilding Python bindings. Rust's ownership/borrowing rules and the regex crate APIs add complexity.",3.0,"The task provides a comprehensive benchmark script with setup, experiment, and equivalence checking. There are also Rust tests in the codebase. However, running the full test requires downloading external files and rebuilding the Rust Python extension.",4.0,"The project has many Rust dependencies (regex, serde, rayon, onig, unicode libs, etc.), plus Python binding dependencies (PyO3, setuptools-rust). Adding a new dependency like aho-corasick may be needed for the optimization.",3.0,"The Rust codebase is about 55K lines across ~108 .rs files, plus Python bindings. It's a medium-sized project with multiple tokenizer models, normalizers, pre-tokenizers, and processors. The relevant file is 762 lines."
huggingface__datasets-ef3b5dd,3,3,4,4,4,4,0,3,4,3,4,5,4,1,4,3,2,2,5,5,2026-03-07T23:24:52.053868,claude-opus-4-6,anthropic,huggingface__datasets-ef3b5dd,,4.0,"The performance bottleneck is likely in load_dataset_builder (load.py) and resolve_pattern (data_files.py) - 1-2 closely related files. The experiment calls load_dataset_builder twice, which internally resolves data file patterns.",5.0,"The problem statement's experiment function directly calls load_dataset_builder, making it very clear which function to optimize. The call chain is straightforward: load_dataset_builder -> data_files resolution.",2.0,"The likely optimization targets (load.py, data_files.py) are used throughout the codebase, but performance optimizations (caching, reducing redundant operations) would typically have minimal downstream effects if the API contract is preserved.",2.0,"Standard Python project with pip install -e . Works with standard tooling. Needs datasets library dependencies (huggingface_hub, fsspec, pyarrow) but they install cleanly.",2.0,"Pure Python with standard libraries. Uses fsspec for filesystem abstraction and huggingface_hub for remote access, but the optimization work would be in Python code dealing with file patterns, caching, and builder construction.",3.0,"There are dedicated test files (test_data_files.py, test_builder.py) and the performance test itself provides clear equivalence checking. However, running the performance test requires network access for loading glue/sst2 dataset info initially.",3.0,"Moderate number of dependencies including huggingface_hub, fsspec, pyarrow, and others. The library has various optional dependencies for different features, but core dependencies are standard and well-maintained.",3.0,"The src/datasets directory has 124 Python files with major files (load.py at 2620 lines, data_files.py at 704 lines). Total project has ~8295 files including tests, docs, and venv. Medium-scale project."
numpy__numpy-8dd6761,2,3,5,4,4,4,0,3,5,3,2,4,4,1,2,3,3,3,4,4,2026-03-07T23:24:59.173978,claude-opus-4-6,anthropic,numpy__numpy-8dd6761,,4.0,"The optimization is focused on adding SIMD float16 support for np.exp. The key commit modifies 3-4 files in the AVX-512 SIMD directory (avx512.h, conversion.h, memory.h) plus potentially the loops_exponent_log dispatch file. The changes are concentrated in the SIMD/umath subsystem.",4.0,The problem statement clearly shows np.exp on float16 data as the target. The experiment function is explicit: result = np.exp(data) where data is float16. This directly points to umath exp loops and SIMD dispatching for half-precision.,2.0,"The changes are in SIMD intrinsic support files (memory.h, conversion.h, avx512.h) that add float16 load/store/convert operations. These are low-level additions that add new functionality rather than modifying existing code, so blast radius is limited to the SIMD subsystem.",4.0,"This is the NumPy source tree requiring C compilation with specialized build system (setup.py with Cython, SIMD dispatching). Building from source requires proper compiler flags for AVX-512 support. The build directory exists but rebuilding after changes requires running the build system.",5.0,"The solution involves C code with AVX-512 SIMD intrinsics (_mm512 operations), float16 conversion intrinsics, NumPy's templated C source (.c.src files), and the universal intrinsic (NPYV) framework. This is highly specialized low-level programming combining C, SIMD assembly-level intrinsics, and NumPy's build/dispatch system.",3.0,"The task provides a benchmark script with setup(), experiment(), and check_equivalence() functions. NumPy has comprehensive test infrastructure, but running performance tests requires building from source and the equivalence checking uses summary statistics rather than exact comparisons. timeit integration is provided.",4.0,"NumPy itself has complex build dependencies: C compiler with AVX-512 support, Cython, and system-level math libraries. The build system handles SIMD feature detection and dispatching. While runtime dependencies are minimal, the build-time dependencies are complex.",4.0,"NumPy source tree has ~4763 files. The relevant subsystem (umath + SIMD) is smaller but still spans many files with complex templating (.c.src), dispatch mechanisms, and architecture-specific code paths. Understanding the NPYV universal intrinsic layer and umath loop dispatching requires navigating a significant codebase."
numpy__numpy-ac5c664,3,4,5,4,4,4,0,3,5,3,2,4,4,1,3,4,3,3,5,4,2026-03-07T23:24:52.245582,claude-opus-4-6,anthropic,numpy__numpy-ac5c664,,3.0,"The solution likely spans 2-3 files: selection.cpp (core algorithm), possibly simd_qsort.dispatch.cpp (SIMD dispatch), and item_selection.c (the caller). The main optimization target is selection.cpp but may need SIMD integration across related files.",4.0,The problem statement directly uses np.partition and np.argpartition. The test code makes it clear these NumPy functions need optimization. Finding selection.cpp as the core implementation requires some searching but is straightforward.,2.0,The partition/selection code is relatively self-contained. Changes to the introselect algorithm or adding SIMD partition would primarily affect selection.cpp and potentially the SIMD dispatch layer. The API remains the same so downstream effects are minimal.,4.0,"This is NumPy with a Meson build system requiring C/C++ compilation. The venv has a pre-installed version but modifying C source requires recompilation. Building NumPy from source with Meson is non-trivial with specialized dependencies (Cython, compilers, BLAS/LAPACK).",4.0,"The core code is C++ with templates, SIMD intrinsics (AVX-512), and complex build system integration via Meson CPU dispatch. Understanding introselect, SIMD optimizations, and the template-heavy code requires significant expertise.",3.0,"The provided test script has clear timing and equivalence checks. NumPy has its own test suite for partition. However, running performance tests requires a working build, and the feedback loop is slow due to compilation requirements.",4.0,"NumPy requires Cython, BLAS/LAPACK, C/C++ compilers, Meson build system, and various build dependencies. The x86-simd-sort subproject adds additional complexity with SIMD-specific requirements.",4.0,"NumPy has ~6500 files (excluding .venv/.git), 416 C/C++/H files, ~489 Python files. It's a large, complex project with deep module structure spanning core C extensions, Python wrappers, and build infrastructure."
huggingface__tokenizers-c893204,1,4,4,4,4,4,0,3,5,3,3,1,4,1,3,3,2,2,4,3,2026-03-07T23:25:18.861478,claude-opus-4-6,anthropic,huggingface__tokenizers-c893204,,3.0,"The solution likely spans 2-3 Rust files: replace.rs (the Replace normalizer), pattern.rs (the Pattern trait implementation for string matching), and possibly normalizer.rs (the replace method on NormalizedString). The optimization could be avoiding regex for plain string patterns or optimizing the transform_range approach.",4.0,"The problem statement clearly points to the Replace normalizer with Sequence. The test code directly uses normalizers.Replace and normalizers.Sequence, making it straightforward to trace to replace.rs and the related pattern matching code.",3.0,Changes to pattern matching or the replace method on NormalizedString could affect other normalizers and pre-tokenizers that use the same Pattern trait. The Replace normalizer is also used as a Decoder. Moderate coupling within the normalizer/pattern subsystem.,4.0,"Requires Rust toolchain + maturin to build Python bindings. The existing wheel is for Python 3.9 but the environment has Python 3.11. Need to rebuild from source with maturin develop, which involves compiling Rust code with C dependencies (onig regex library).",4.0,"The core implementation is in Rust with traits, generics, and complex string manipulation with offset tracking. Python bindings are via PyO3. Understanding the NormalizedString's alignment/offset system and the Pattern trait is non-trivial.",3.0,"There are Rust unit tests in the source files and the task provides a Python benchmark script. However, the Python environment needs setup (maturin build), and the benchmark requires downloading external data. Rust tests can be run with cargo test.",4.0,"Rust project with many dependencies including onig (C library for Oniguruma regex), regex, serde, rayon, aho-corasick, unicode normalization libraries, and PyO3 for Python bindings. Building requires C compiler for onig and the maturin build tool.",3.0,"~9500 files total (including target/build artifacts). The core Rust tokenizers library is medium-sized with multiple modules (normalizers, models, pre_tokenizers, processors, decoders) plus Python bindings. The relevant code for this task is concentrated in a few files."
huggingface__datasets-5994036,1,4,4,4,3,3,0,3,5,3,2,3,4,1,3,3,3,1,3,4,2026-03-07T23:24:51.846179,claude-opus-4-6,anthropic,huggingface__datasets-5994036,,4.0,"The fix is primarily in the `select` method of `arrow_dataset.py`. The optimization likely involves detecting contiguous ranges and using a more efficient approach (e.g., pa.array(range(...)) instead of list conversion, or table slicing). May touch 1-2 files at most.",5.0,The problem statement directly shows the experiment calling `dataset.select(contiguous_range)`. The `select` method in `arrow_dataset.py` is clearly the target for optimization.,2.0,"The `select` method is used by other methods like `shard` and `map`, so changes need to be compatible, but the optimization (detecting ranges, avoiding list conversion) is internal to the method and shouldn't change its interface or behavior.",2.0,Standard Python project with pip-installable dependencies. The datasets library is already installed/available in the testbed. Minor configuration needed but structure is clear.,2.0,"Pure Python with standard libraries (PyArrow). The optimization involves understanding PyArrow APIs for efficient array/table construction, which is moderate complexity but still Python-level work.",3.0,"The problem statement provides setup, experiment, and check_equivalence functions for validation. The project also has existing tests for `select`. However, the performance test uses a custom timeit setup rather than a standard benchmarking framework.",3.0,"The project has moderate dependencies including PyArrow, pandas, numpy, dill, xxhash, requests, tqdm, and others. PyArrow is a compiled C++ extension but is a well-known package.",4.0,"The project has ~4278 Python/C files total, with 95 Python files in the core src/datasets package. The main file arrow_dataset.py alone is 4741 lines. The full testbed has ~13778 files including dataset scripts."
pandas-dev__pandas-f298507,2,4,4,3,3,3,0,3,5,3,2,4,5,1,3,3,4,2,4,4,2026-03-07T23:25:05.006652,claude-opus-4-6,anthropic,pandas-dev__pandas-f298507,,5.0,"The fix is contained to the `round` method in pandas/core/frame.py. The integer decimals case (lines ~9950-9952) iterates column-by-column and uses concat, which can be replaced with a more efficient approach like directly operating on the underlying numpy array or using the block manager.",5.0,"The problem statement clearly shows DataFrame.round() being called, and the implementation is a single method in frame.py. Very easy to locate.",1.0,"The optimization is an internal implementation change to how round() computes its result. The API and behavior remain identical, so no downstream effects.",4.0,"This is the pandas source tree requiring Cython compilation of C extensions, specific numpy version compatibility, and multiple dependencies. Getting it to run from source is non-trivial.",2.0,"The fix itself is in Python, likely replacing column-by-column iteration with a direct numpy operation or block manager method. No C/Cython changes needed.",3.0,"The task provides a performance test script with setup, experiment, and equivalence checking functions. However, the environment needs significant setup to actually run tests, and the C extensions need to be built first.",4.0,"Pandas has many dependencies including Cython for building C extensions, specific numpy versions, and various optional dependencies. Version sensitivity is high.",4.0,"Nearly 8000 files in the pandas repository. While the fix is localized, understanding the internals (block manager, Series.round, concat behavior) requires navigating a large codebase."
pandas-dev__pandas-45f0705,1,3,4,3,3,3,0,3,5,3,2,3,4,1,3,3,4,2,3,3,2026-03-07T23:25:05.545491,claude-opus-4-6,anthropic,pandas-dev__pandas-45f0705,,4.0,"The fix is likely contained to 1-2 closely related files: the `_box_values` method in datetimelike.py or the `astype` method there, and potentially the `_box_func` in datetimes.py. The key change is replacing `lib.map_infer(values, self._box_func)` with a more efficient Cython path like `ints_to_pydatetime(..., box='timestamp')` in the DatetimeArray class.",5.0,The problem statement is very clear: it calls `dt_naive.astype(object)` and `dt_tz.astype(object)` on DatetimeIndex objects. This directly maps to the `astype` method in datetimelike.py (line 401) which calls `_box_values` for object dtype. The entry point is obvious.,2.0,"The change affects the internal boxing mechanism for datetime arrays. While `_box_values` and `astype` are used in several places, the optimization would be specifically for the DatetimeArray subclass and wouldn't fundamentally change the API or behavior - just the performance path. Minor coupling with datetimes.py and vectorized.pyx.",4.0,"This is a pandas development environment requiring Cython compilation. The .so files need to be rebuilt after changes to .pyx files. The testbed has build infrastructure but the import is currently broken (missing compiled extensions), requiring a build step. The venv exists but needs proper PYTHONPATH or reinstall.",4.0,"The solution involves Cython code (.pyx files) with typed memoryviews, C-level datetime structs, and timezone handling. The vectorized.pyx file uses complex Cython patterns including function pointers, nogil sections, and C-level date manipulation. Understanding the Cython build pipeline is also required.",3.0,"The problem statement includes a complete benchmark script with setup, experiment, store/load, and equivalence checking functions. However, the environment requires build steps before tests can run, and there's no simple 'run tests' command ready to go. Standard pytest infrastructure exists for pandas but requires working build.",4.0,"Pandas has many dependencies including numpy, pytz, python-dateutil, and requires Cython for building C extensions. The build process involves compiling .pyx files to .c then to .so, requiring a C compiler and proper numpy headers. Version sensitivity between Cython and numpy is a concern.",5.0,"The pandas codebase has 7670+ files and 4616 Python files. It's a massive, well-established project with complex module structure spanning pure Python, Cython extensions, C code, and extensive test suites. However, the actual area of concern is relatively contained within the datetime array subsystem."
numpy__numpy-09db9c7,3,4,5,4,4,3,0,3,5,3,2,4,4,1,3,4,2,4,4,4,2026-03-07T23:24:58.386040,claude-opus-4-6,anthropic,numpy__numpy-09db9c7,,3.0,"The optimization likely requires changes in both the Python layer (numpy/_core/defchararray.py) and potentially the C layer (multiarraymodule.c) or adding a new optimized C implementation. Could potentially be done purely in Python using vectorized approaches, but optimal solution may need C changes across 2-3 files.",5.0,The problem statement makes it crystal clear: np.char.endswith is the function to optimize. The code path is straightforward: defchararray.py's endswith() calls _vec_string() which is implemented in multiarraymodule.c.,2.0,"endswith is a specific string operation. Changes would be localized to the char string operations subsystem. The _vec_string infrastructure is shared, but an optimization would likely add a specialized fast path rather than modifying the generic mechanism, so blast radius is limited.",4.0,"This is NumPy with a Meson build system requiring C compilation. The dev version needs to be built from source with Cython and C compiler toolchain. The environment has a venv with a pre-built version, but any C-level changes require rebuilding with meson, which is non-trivial.",4.0,"The current implementation involves C code in multiarraymodule.c with NumPy's internal C API (PyArray iterators, type system). An optimal solution likely requires writing or modifying C code that directly operates on the string buffer data, dealing with NumPy's UCS4 string representation and C-Python API.",3.0,"The task provides a self-contained test script with setup(), experiment(), timing via timeit, and equivalence checking via check_equivalence(). However, it's custom per-task rather than using NumPy's test suite, and relies on manual execution. The equivalence check is straightforward with clear pass/fail.",4.0,"NumPy has significant build dependencies: Cython>=3.0, meson-python, C compiler, BLAS/LAPACK libraries. The runtime is simpler but building from source for C changes requires the full toolchain.",5.0,"NumPy is a massive project with 7000+ files in /testbed (excluding .venv), 500+ Python files just in the numpy directory, extensive C source code, and complex module structure spanning _core, multiarray, umath, and various subpackages."
