instance_id,solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available
password-recovery,1,3,4,4,4,4,3,0
financial-document-processor,1,4,5,4,4,3,4,0
qemu-startup,1,3,4,4,3,3,4,1
db-wal-recovery,1,3,4,4,4,4,2,0
hf-model-inference,3,5,4,4,3,2,3,1
winning-avg-corewars,1,4,5,5,5,5,3,0
gpt2-codegolf,1,3,5,5,5,5,4,0
sam-cell-seg,2,4,5,5,4,4,4,0
path-tracing-reverse,1,3,5,5,4,4,3,0
gcode-to-text,0,2,5,5,4,5,4,0
chess-best-move,0,3,5,5,4,5,3,0
bn-fit-modify,2,3,4,5,4,4,4,0
fix-code-vulnerability,1,3,3,4,4,3,2,1
caffe-cifar-10,2,4,5,4,4,4,3,0
reshard-c4-data,1,4,4,3,4,3,4,0
mcmc-sampling-stan,3,5,4,5,4,4,4,1
portfolio-optimization,2,4,4,4,3,3,3,1
raman-fitting,1,3,4,5,4,4,4,0
make-doom-for-mips,1,2,5,5,5,5,4,0
break-filter-js-from-html,0,4,2,4,4,4,2,1
openssl-selfsigned-cert,3,5,3,3,2,2,2,1
sqlite-with-gcov,2,3,3,3,3,3,3,1
query-optimize,0,3,4,4,4,3,3,1
torch-pipeline-parallelism,2,4,5,5,4,4,4,0
build-cython-ext,1,3,4,4,4,3,3,0
filter-js-from-html,1,3,3,3,3,2,4,1
nginx-request-logging,3,5,4,4,3,2,3,1
torch-tensor-parallelism,2,4,4,5,4,4,4,1
polyglot-c-py,1,4,4,4,4,4,2,0
overfull-hbox,1,4,4,4,4,4,2,0
distribution-search,1,4,5,5,5,5,3,0
model-extraction-relu-logits,1,3,5,5,5,5,4,0
prove-plus-comm,1,3,3,5,4,4,2,1
largest-eigenval,1,4,3,4,3,3,3,1
kv-store-grpc,3,5,3,4,3,2,3,1
llm-inference-batching-scheduler,1,4,5,4,5,4,3,0
git-multibranch,2,4,4,4,3,3,3,1
pytorch-model-cli,1,3,5,5,4,4,3,0
mteb-retrieve,2,4,3,4,3,4,3,0
count-dataset-tokens,1,3,3,4,3,3,3,1
tune-mjcf,1,3,2,5,3,4,3,0
constraints-scheduling,1,4,4,3,4,3,3,0
extract-moves-from-video,1,3,4,4,3,4,4,0
cancel-async-tasks,1,3,3,4,3,3,4,1
extract-elf,1,3,5,5,4,4,3,0
merge-diff-arc-agi-task,1,3,4,4,4,4,4,0
modernize-scientific-stack,3,5,2,3,2,2,2,1
dna-insert,1,4,4,5,4,5,4,0
mteb-leaderboard,1,3,4,5,3,4,4,0
install-windows-3.11,2,4,4,4,3,4,4,0
feal-differential-cryptanalysis,1,3,5,5,5,5,3,0
video-processing,1,3,4,4,4,4,4,0
pypi-server,2,4,4,4,3,3,3,1
vulnerable-secret,1,3,4,4,4,3,2,1
pytorch-model-recovery,2,4,4,5,4,4,3,0
mailman,1,3,5,5,4,4,4,0
polyglot-rust-c,0,4,5,5,5,5,2,0
crack-7z-hash,0,3,4,4,3,3,2,1
dna-assembly,1,3,5,5,5,5,4,0
build-pov-ray,1,3,5,5,4,5,3,0
cobol-modernization,1,3,4,4,4,4,3,0
fix-ocaml-gc,0,2,4,5,4,5,3,0
write-compressor,0,3,5,5,5,5,2,0
rstan-to-pystan,2,4,5,5,4,4,4,0
protein-assembly,2,4,5,5,4,5,4,0
path-tracing,0,3,5,5,5,5,3,0
large-scale-text-editing,2,4,4,4,4,4,2,0
train-fasttext,1,3,4,4,3,2,4,1
multi-source-data-merger,2,5,3,3,3,2,3,1
regex-chess,0,4,5,5,5,5,4,0
schemelike-metacircular-eval,1,4,5,5,5,5,4,0
sanitize-git-repo,2,4,3,3,3,2,3,1
fix-git,1,2,3,3,3,3,3,1
configure-git-webserver,1,4,4,4,3,3,3,1
git-leak-recovery,1,4,4,4,3,3,3,1
circuit-fibsqrt,1,3,5,5,5,5,3,0
regex-log,1,4,4,4,4,3,4,0
custom-memory-heap-crash,0,3,5,5,5,5,4,0
sparql-university,2,4,4,4,4,3,4,1
compile-compcert,1,3,4,4,3,3,3,1
build-pmars,2,4,4,4,3,4,3,0
log-summary-date-ranges,2,5,3,2,3,2,3,1
code-from-image,1,2,4,4,4,4,2,0
qemu-alpine-ssh,1,4,5,4,4,4,3,0
feal-linear-cryptanalysis,1,3,5,5,5,5,3,0
make-mips-interpreter,0,2,5,5,5,5,4,0
adaptive-rejection-sampler,2,4,5,5,4,4,4,0
sqlite-db-truncate,1,3,4,4,4,4,3,0
