instance_id,solution_complexity,test_edge_case_coverage,domain_knowledge_required,logical_reasoning_required,integration_complexity,test_comprehensiveness,side_effect_risk,fix_localization,information_completeness,entry_point_clarity,solution_hint,verification_difficulty,standard_pattern_available,problem_clarity,test_assertion_complexity
django__django-11880,1,1,3,2,2,2,1,5,4,5,2,2,1,4,2
django__django-12039,2,3,3,2,2,4,2,5,5,5,3,2,1,5,2
django__django-12193,1,2,3,2,2,3,2,5,4,5,2,2,1,5,2
astropy__astropy-14598,3,3,4,4,3,3,2,4,5,4,0,2,0,5,2
django__django-13297,2,1,4,3,3,2,2,4,5,5,1,2,0,4,3
sympy__sympy-21847,1,3,3,3,2,4,2,5,4,5,1,2,0,5,2
matplotlib__matplotlib-20676,2,3,4,3,3,4,2,4,5,4,1,2,0,4,3
django__django-14155,2,3,3,2,2,3,3,5,3,5,3,2,1,5,2
sphinx-doc__sphinx-9591,2,1,4,3,3,2,2,4,5,4,0,3,0,4,3
django__django-11087,3,3,4,3,4,4,3,4,5,4,2,3,0,4,3
django__django-16938,1,2,4,3,3,3,2,4,5,4,1,2,0,4,3
django__django-15569,1,2,3,1,2,3,2,5,4,5,3,2,1,5,2
django__django-13794,2,3,3,2,2,3,2,5,4,5,1,2,1,4,2
django__django-11603,1,2,3,1,2,3,2,5,3,5,3,2,1,5,2
django__django-11551,3,2,3,3,2,2,2,5,5,5,3,2,0,5,3
django__django-16502,3,3,4,2,3,4,2,5,5,4,2,2,1,5,4
sympy__sympy-21596,4,4,5,4,4,4,3,5,4,4,1,2,0,4,3
sphinx-doc__sphinx-10449,2,1,4,3,3,2,2,4,5,4,1,2,0,5,2
django__django-15103,2,2,3,2,2,2,2,4,3,5,2,2,1,4,1
sympy__sympy-11618,3,1,3,2,2,1,2,4,5,5,2,2,1,5,1
django__django-15695,2,2,4,3,3,2,2,5,5,5,2,2,0,4,2
django__django-13741,1,1,3,2,2,1,3,5,4,5,3,2,1,5,1
django__django-15380,1,2,4,4,3,2,2,5,4,5,1,3,0,4,3
django__django-14315,2,3,3,2,3,4,2,5,4,5,3,2,1,5,4
django__django-11951,1,2,3,1,2,2,2,5,4,5,3,2,1,5,3
django__django-13346,4,4,4,4,4,4,2,5,3,4,1,3,0,4,3
scikit-learn__scikit-learn-14894,2,2,3,2,2,2,1,5,5,5,2,2,1,5,2
django__django-13809,1,3,3,2,2,4,2,5,3,5,2,2,1,4,4
sympy__sympy-16450,1,1,3,3,2,2,2,5,5,5,2,2,1,4,2
django__django-14765,1,2,3,1,2,1,2,5,4,5,3,2,1,5,1
matplotlib__matplotlib-21568,2,3,4,3,2,3,2,5,4,4,0,4,0,4,2
sphinx-doc__sphinx-7757,3,2,4,3,3,3,2,5,4,4,0,2,0,4,2
django__django-15973,1,2,4,4,3,3,2,3,5,4,1,2,0,4,3
sphinx-doc__sphinx-8621,1,3,3,4,2,3,3,5,5,5,2,2,0,5,2
matplotlib__matplotlib-13989,1,1,4,3,2,1,2,5,5,4,1,2,0,5,1
sphinx-doc__sphinx-9698,1,1,4,2,2,1,1,5,5,5,1,2,0,5,2
sympy__sympy-12096,1,1,4,2,2,1,2,5,5,5,3,2,0,5,1
django__django-15375,2,2,4,3,3,3,2,5,5,4,1,2,0,5,2
pydata__xarray-6938,2,2,4,3,3,2,2,5,5,4,1,2,1,4,2
sympy__sympy-16597,4,3,4,3,4,4,3,5,4,4,1,2,1,4,2
astropy__astropy-7336,1,2,3,2,2,2,1,5,5,5,3,1,1,5,2
django__django-14122,2,1,4,4,4,2,3,4,3,4,1,3,0,3,2
