agent,model,scaffold
20231010_rag_claude2,Claude 2,RAG
20231010_rag_gpt35,GPT-3.5,RAG
20231010_rag_swellama13b,swellama13b,RAG
20231010_rag_swellama7b,swellama7b,RAG
20240402_rag_claude3opus,Claude 3 Opus,RAG
20240402_rag_gpt4,GPT-4,RAG
20240402_sweagent_claude3opus,Claude 3 Opus,SWE-agent
20240402_sweagent_gpt4,GPT-4,SWE-agent
20240612_MASAI_gpt4o,GPT-4o,MASAI
20240615_appmap-navie_gpt4o,GPT-4o,appmap-navie
20240620_sweagent_claude3.5sonnet,Claude 3.5 Sonnet,SWE-agent
20240628_autocoderover-v20240620,GPT-4,autocoderover-v20240620
20240728_sweagent_gpt4o,GPT-4o,SWE-agent
20240820_epam-ai-run-gpt-4o,GPT-4o,epam-ai-run
20240918_lingma-agent_lingma-swe-gpt-72b,lingma-swe-gpt-72b,lingma-agent
20240918_lingma-agent_lingma-swe-gpt-7b,lingma-swe-gpt-7b,lingma-agent
20241002_lingma-agent_lingma-swe-gpt-72b,lingma-swe-gpt-72b,lingma-agent
20241002_lingma-agent_lingma-swe-gpt-7b,lingma-swe-gpt-7b,lingma-agent
20241016_composio_swekit,Claude 3.5 Sonnet,20241016_composio_swekit
20241016_epam-ai-run-gpt-4o,GPT-4o,epam-ai-run
20241022_tools_claude-3-5-haiku,claude-3-5-haiku,Tools
20241022_tools_claude-3-5-sonnet-updated,Claude 3.5 Sonnet,Tools
20241028_agentless-1.5_gpt4o,GPT-4o,agentless-1.5
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,Claude 3.5 Sonnet,OpenHands-CodeAct-2.1
20241029_epam-ai-run-claude-3-5-sonnet,Claude 3.5 Sonnet,epam-ai-run
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,autocoderover-v2.0
20241108_devlo,Claude 3.5 Sonnet,20241108_devlo
20241120_artemis_agent,Claude 3.5 Sonnet,Artemis Agent v1
20241125_enginelabs,Claude 3.5 Sonnet,enginelabs
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,Qwen2.5-72b-editor,SWE-Fixer_Qwen2.5-7b-retriever
20241202_agentless-1.5_claude-3.5-sonnet-20241022,Claude 3.5 Sonnet,agentless-1.5
20241212_epam-ai-run-claude-3-5-sonnet,Claude 3.5 Sonnet,epam-ai-run
20241212_google_jules_gemini_2.0_flash_experimental,gemini_2.0_flash_experimental,google_jules
