instance_id,domain_knowledge_required,reproduction_clarity,information_completeness,logical_reasoning_required,side_effect_risk,testing_infrastructure_quality,fix_localization,integration_complexity,verification_difficulty,expected_behavior_clarity,atypicality,entry_point_clarity,test_edge_case_coverage,test_assertion_complexity,codebase_scope
password-recovery,4,3,3,4,2,1,5,3,2,5,4,4,1,1,2
financial-document-processor,4,4,4,4,2,1,4,4,4,5,4,5,4,4,3
qemu-startup,4,4,4,3,3,2,5,4,4,4,3,5,1,3,1
db-wal-recovery,4,3,3,4,2,2,5,3,2,5,4,5,3,3,2
hf-model-inference,3,4,5,2,2,2,4,3,2,5,2,5,3,3,2
winning-avg-corewars,5,5,4,4,1,4,5,4,3,5,5,5,3,3,1
gpt2-codegolf,5,4,4,5,2,1,5,4,4,4,5,5,1,2,1
sam-cell-seg,5,4,4,4,2,2,4,4,4,4,5,5,3,4,2
path-tracing-reverse,5,4,4,5,2,2,5,3,4,4,5,5,2,4,2
gcode-to-text,5,3,3,4,2,1,5,4,2,4,5,5,1,1,2
chess-best-move,4,3,3,4,2,1,5,4,2,5,4,5,1,2,1
bn-fit-modify,5,4,4,4,2,1,5,3,3,4,4,5,2,4,2
fix-code-vulnerability,4,4,4,3,2,5,5,2,2,4,3,4,4,3,2
caffe-cifar-10,5,3,4,4,3,3,4,5,4,4,4,5,3,4,4
reshard-c4-data,3,4,4,4,2,2,4,3,4,4,4,5,3,4,2
mcmc-sampling-stan,5,4,4,4,3,1,4,5,4,5,4,5,2,3,2
portfolio-optimization,4,5,5,3,2,4,4,4,3,5,3,5,3,4,2
raman-fitting,4,3,3,3,2,1,5,3,2,5,3,5,2,3,1
make-doom-for-mips,5,4,3,5,2,2,4,5,4,4,5,5,2,4,5
break-filter-js-from-html,4,4,4,4,2,4,5,3,4,4,4,5,2,4,2
openssl-selfsigned-cert,3,5,5,2,2,2,5,2,2,5,1,5,2,3,1
sqlite-with-gcov,3,4,4,3,3,2,4,3,2,4,3,5,2,3,2
query-optimize,3,4,4,3,1,3,5,2,3,4,4,5,3,4,1
torch-pipeline-parallelism,5,4,4,4,2,2,4,3,4,4,4,5,3,4,2
build-cython-ext,4,5,4,4,3,3,4,4,3,4,4,5,3,4,4
