solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
1,4,4,4,4,2,0,5,3,5,4,2,4,0,2,2,1,1,4,2,password-recovery,5,4,1,1,2,1,1,1
1,4,4,4,4,4,1,5,4,5,4,2,5,1,3,4,4,3,4,4,financial-document-processor,4,5,1,2,2,1,1,1
2,4,4,3,3,4,1,5,5,5,2,1,5,1,3,3,4,1,3,4,qemu-startup,5,5,1,2,1,2,2,1
1,4,4,3,4,2,0,5,4,5,4,2,5,0,2,4,3,2,3,2,db-wal-recovery,5,5,1,1,2,2,1,1
3,5,3,2,2,2,1,5,4,5,2,2,5,1,3,4,3,3,3,3,hf-model-inference,4,5,1,2,2,2,3,1
1,5,5,4,5,4,1,5,5,5,5,2,5,0,2,4,4,3,5,4,winning-avg-corewars,5,5,1,2,3,4,1,1
1,4,5,5,5,4,0,5,5,5,5,1,5,0,2,2,2,1,5,2,gpt2-codegolf,5,5,1,1,4,1,2,1
2,5,5,4,4,4,1,5,5,5,4,2,5,0,2,4,4,3,4,4,sam-cell-seg,4,5,1,3,3,2,4,1
2,4,4,4,5,4,0,5,5,5,5,1,5,0,2,4,4,2,5,3,path-tracing-reverse,5,5,1,2,4,2,2,1
0,4,5,4,5,4,0,3,3,5,4,2,4,0,3,2,1,1,4,4,gcode-to-text,5,5,1,1,1,1,1,1
1,4,4,4,4,2,1,5,4,5,4,1,5,0,3,2,2,1,4,4,chess-best-move,5,5,1,1,1,1,1,1
2,4,5,4,4,4,1,5,4,5,4,2,5,0,2,4,4,2,4,3,bn-fit-modify,5,5,1,1,2,1,1,1
3,5,3,3,2,2,1,4,5,5,3,2,5,1,2,4,3,4,3,2,fix-code-vulnerability,5,4,2,1,1,5,1,2
2,5,4,3,3,4,1,5,4,5,4,3,5,1,4,4,4,3,4,4,caffe-cifar-10,4,5,2,5,4,3,5,3
1,4,3,4,4,4,0,5,5,5,3,2,5,1,2,4,4,3,3,3,reshard-c4-data,4,5,1,2,2,2,1,1
2,5,5,4,4,4,1,5,5,5,4,2,5,1,4,4,4,2,5,4,mcmc-sampling-stan,4,5,1,4,3,1,4,1
2,5,4,3,2,4,1,5,5,5,2,2,5,1,2,4,4,3,3,3,portfolio-optimization,4,5,2,2,4,4,2,1
1,4,4,3,3,2,1,5,4,5,3,1,5,1,2,3,2,1,3,2,raman-fitting,5,5,1,1,1,1,1,1
1,4,5,5,5,4,0,4,4,5,5,5,4,0,2,4,4,2,5,5,make-doom-for-mips,4,5,2,3,4,2,2,2
1,5,4,4,4,3,0,5,5,5,3,2,5,0,2,3,4,2,2,3,break-filter-js-from-html,5,5,1,1,1,4,2,1
3,5,3,2,1,2,1,5,4,5,2,1,5,1,2,4,3,2,2,2,openssl-selfsigned-cert,5,5,1,1,1,2,1,1
2,4,3,2,2,2,1,4,5,5,2,2,5,1,3,3,2,2,3,3,sqlite-with-gcov,4,5,1,2,4,2,2,4
1,5,4,4,3,4,1,5,5,5,3,1,5,1,2,5,5,4,3,2,query-optimize,5,5,1,1,2,3,1,1
2,5,5,4,4,4,1,5,5,5,4,1,5,0,2,4,5,3,5,4,torch-pipeline-parallelism,4,5,1,2,3,2,3,1
2,5,4,3,3,3,1,5,5,5,3,3,5,1,4,4,3,3,4,3,build-cython-ext,4,5,2,3,3,3,3,2
2,4,3,4,3,4,1,4,5,5,4,1,5,1,2,4,5,5,3,3,filter-js-from-html,5,5,1,1,2,1,2,1
3,5,3,3,2,2,1,5,4,5,2,2,5,1,4,4,3,2,3,3,nginx-request-logging,4,5,2,2,1,2,2,1
