solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at
2,4,3,2,2,2,1,"The problem clearly describes that __deepcopy__ performs a shallow copy and doesn't deep copy error_messages dictionary. The solution approach is hinted at - need to add deep copying of error_messages in the __deepcopy__ method. This is a standard Python deepcopy pattern issue, requiring Django forms knowledge but the fix itself is straightforward.",django__django-11880,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:15.398075
2,5,4,3,2,2,1,"The problem is crystal clear with exact input/output examples and even points to the specific file and line causing the issue. It requires deep Django internals knowledge about DDL references and index generation. The fix involves handling whitespace properly when col_suffixes contains empty strings, which is a straightforward string manipulation pattern once the root cause is understood.",django__django-12039,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:17.073365
2,4,3,2,2,2,1,"The problem clearly identifies that CheckboxInput's get_context() mutates the attrs dict passed to it, and even points to the exact line of code. The fix is a standard pattern of copying the dict before modification to prevent mutation side effects. Requires Django forms/widgets knowledge but the issue and solution approach are well-understood.",django__django-12193,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:19.936827
1,4,4,4,4,3,0,"This bug involves FITS card string parsing/serialization with specific edge cases around quote handling in long strings that span multiple lines. The problem is clearly demonstrated with reproducible test cases, but fixing it requires deep understanding of FITS format specifications and the library's internal string continuation mechanism. The issue only manifests at specific string lengths, indicating complex boundary conditions in the serialization/deserialization logic.",astropy__astropy-14598,claude-opus-4-5-20251101,anthropic,2026-01-29T21:55:52.590542
2,4,4,3,3,2,0,"The hints clearly identify the regression commit and the root cause (SimpleLazyObjects in kwargs), pointing to the need to resolve lazy objects before passing to context. This requires deep Django internals knowledge about TemplateView, SimpleLazyObject, and the deprecated URL kwargs behavior. The test case is specific and verification is straightforward once the fix is in place.",django__django-13297,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:35.188631
3,5,3,2,2,2,1,"The problem statement includes the exact solution patch showing that `max()` should be `sum()` to correctly calculate total degree instead of maximum individual degree. The bug and fix are crystal clear, requiring only understanding that monomials' total degree is the sum of exponents, not the maximum. This is a straightforward one-line fix with the solution explicitly provided.",sympy__sympy-21847,claude-opus-4-5-20251101,anthropic,2026-01-29T21:59:40.548677
1,4,4,3,3,2,0,"The bug is clearly described - interactive SpanSelector forces axes limits to include 0 when it shouldn't. However, fixing it requires deep understanding of matplotlib's widget internals, specifically how SpanSelector initializes and interacts with axes limits. The hints clarify the issue occurs at instantiation time, not during interaction, but don't reveal the specific code causing the problem. The test cases make verification straightforward once the fix is implemented.",matplotlib__matplotlib-20676,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:46.914507
2,4,3,3,2,2,1,"The problem clearly describes the issue (functools.partial not displaying well in __repr__) and suggests the solution approach (unwrap partial objects in __init__). This requires Django URL resolver knowledge and understanding of functools.partial behavior, but the pattern of unwrapping partials is well-documented. The fix involves modifying ResolverMatch to extract the underlying function and arguments from partial objects.",django__django-14155,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:53.259055
0,4,4,3,3,3,0,"This task requires deep knowledge of Sphinx's autodoc extension and Python domain internals, specifically how type annotations are processed and cross-referenced for different object types (properties vs attributes). The problem is clearly described with reproduction steps, but the solution requires understanding why properties are handled differently from other documented elements. The failing test 'test_pyproperty' provides a target but finding where the cross-referencing logic differs requires navigating Sphinx's domain handling code.",sphinx-doc__sphinx-9591,claude-opus-4-5-20251101,anthropic,2026-01-29T21:59:09.225094
3,4,4,3,3,3,0,"The solution is explicitly provided in the hints - a branch link shows the exact implementation approach (only fetch referenced fields during delete). However, implementing this requires deep understanding of Django's ORM deletion collector internals, how field deferral works, and how foreign key relationships traverse models. The test requirements are clearly specified (deferred non-referenced fields, proper handling of to_field, signal receiver edge cases).",django__django-11087,claude-opus-4-5-20251101,anthropic,2026-01-29T21:55:57.422986
3,4,4,2,2,2,1,"The hints section provides the exact solution: adding `.select_related()` (with no arguments) before `.only('pk')` to clear any existing select_related from custom managers. The problem is clearly described with a reproducible example and stack trace. However, understanding why this fix works requires knowledge of Django's ORM internals regarding how select_related() with no arguments clears the selection, and how the serializer's only() call conflicts with custom manager's select_related.",django__django-16938,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:41.425489
3,5,3,2,2,2,1,"The task explicitly states the exact solution: add cache clearing to _unregister_lookup() similar to what's already done in register_lookup(). The problem statement includes direct links to the relevant code lines and even references the PR with the fix. This is a simple consistency fix requiring basic Django ORM knowledge, following an existing pattern already in the codebase.",django__django-15569,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:18.935718
1,4,4,3,3,2,1,"The problem clearly describes that the `add` template filter fails when concatenating strings with lazy strings (Django's __proxy__ objects). Fixing this requires understanding Django's lazy evaluation system and the `add` filter implementation. The solution likely involves forcing evaluation of lazy strings before concatenation, which is a known pattern in Django, but requires knowledge of Django internals to implement correctly.",django__django-13794,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:45.102315
2,4,4,2,2,2,1,"The problem clearly describes that DISTINCT support needs to be added to Avg and Sum aggregates by 'setting these classes as allowing DISTINCT', similar to what was done in #28658 (likely for Count). This requires Django ORM internals knowledge about how aggregates work, but the solution pattern is already established in the codebase. The fix is straightforward once you know where to look - just setting a flag on the aggregate classes.",django__django-11603,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:11.103669
3,5,4,4,3,3,0,"The problem description provides an extremely detailed analysis including a truth table of all logical cases and the exact proposed fix code. However, implementing this requires deep understanding of Django admin's field validation internals, how descriptors work, and the interaction between hasattr/getattr and model field access. The logical reasoning is complex due to multiple interacting conditions, but the solution is essentially provided verbatim.",django__django-11551,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:10.978634
1,5,4,3,3,2,1,"The problem is crystal clear with exact STR and expected vs actual behavior. However, fixing it requires deep understanding of Django's WSGI server implementation (WSGIRequestHandler) and HTTP protocol compliance. The solution involves modifying the runserver's request handler to strip response bodies for HEAD requests, which is a known pattern (RFC 2616 compliance) but requires knowledge of Django internals to locate and modify the correct component.",django__django-16502,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:34.882017
1,4,4,4,3,3,0,"This task requires deep understanding of SymPy's set operations, particularly how ImageSet intersections with Reals are computed. The bug involves incorrect intersection logic where the imageset intersect method is returning wrong results. The problem is clear with good examples showing expected vs actual behavior, but finding the fix requires understanding the internal implementation of is_subset and intersection operations for image sets.",sympy__sympy-21596,claude-opus-4-5-20251101,anthropic,2026-01-29T21:59:39.614220
0,5,4,3,3,2,0,"The problem is very clearly described with exact reproduction steps and expected behavior. However, fixing it requires deep understanding of Sphinx's autodoc extension internals, particularly how type hints are processed and how class documentation differs from method documentation. The issue involves understanding why `-> None` return type annotations on `__init__` methods are being incorrectly displayed for the class itself when using the 'description' typehints mode.",sphinx-doc__sphinx-10449,claude-opus-4-5-20251101,anthropic,2026-01-29T21:58:51.564999
2,4,3,2,2,2,1,"The task clearly states making an argument optional, which is a common Python pattern (default parameter value). Requires Django template filter knowledge to locate and modify json_script function. The test names explicitly indicate what needs to pass, and the solution approach (making element_id optional) is directly stated in the problem description.",django__django-15103,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:07.718446
2,5,3,2,2,2,1,"The problem is crystal clear - when calculating distance between points of different dimensions, the 3rd dimension is ignored due to how points are being zipped together. The solution approach is clearly hinted at (need to handle dimension mismatch properly when zipping coordinates). This requires understanding of the sympy geometry module internals but follows a standard pattern of dimension normalization before computation.",sympy__sympy-11618,claude-opus-4-5-20251101,anthropic,2026-01-29T21:59:11.367842
2,4,4,4,4,3,0,"The task requires deep understanding of Django's migration system, specifically how RenameIndex handles unnamed indexes and state management between forward/backward operations. The hints clearly indicate the solution approach (using SchemaEditor._create_index_name()), but implementing it correctly requires understanding the complex interplay between database state and migration state. The bug involves idempotency issues when applying/unapplying migrations, which is a nuanced migration edge case.",django__django-15695,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:20.775803
3,5,3,2,1,2,1,"The task explicitly describes the solution: set the 'disabled' property to True on ReadOnlyPasswordHashField. The problem statement explains the existing mechanism (clean_password), why the change makes sense, and references the exact Django documentation. This requires Django forms knowledge but is a straightforward property change with clear test verification.",django__django-13741,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:44.252167
1,4,4,3,3,2,0,"The task involves a specific regression in Django's migration autodetector where renaming both a model and field simultaneously causes a KeyError. While the traceback clearly shows the issue location (line 823 looking up old_model_name instead of new_model_name), fixing it requires understanding Django's migration internals and the order of operations during migration detection. The test case provided makes verification straightforward, but the fix requires knowledge of how renamed models are tracked.",django__django-15380,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:16.203987
2,4,3,2,2,2,1,"The problem clearly describes that PostgreSQL client returns empty dict instead of None for env, causing os.environ to not be used. The commit that introduced the bug is referenced, making it clear where to look. The fix involves understanding how subprocess.run handles env parameter (None vs empty dict) and ensuring the database client properly falls back to os.environ when no custom environment is needed.",django__django-14315,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:54.624776
3,5,3,2,1,2,1,"The problem statement explicitly provides the exact solution code needed (`batch_size = min(batch_size, max_batch_size) if batch_size else max_batch_size`) and points to the exact line that needs modification, as well as a reference implementation in `bulk_update`. This is a straightforward bug fix requiring Django ORM knowledge but following an established pattern already present in the codebase. The test case is clear and verification is straightforward.",django__django-11951,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:16.186610
1,4,5,4,4,3,0,"This bug requires deep understanding of Django's JSONField implementation, ORM lookup system, and how key transforms work across different database backends (MySQL, Oracle, SQLite). The issue involves understanding how `__in` lookups interact with JSON key transforms, specifically when the list contains a single element or strings. The developer must understand the internal mechanics of Django's lookup resolution and database-specific JSON handling, which is highly specialized knowledge.",django__django-13346,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:36.113014
2,5,3,2,2,2,1,"The problem is crystal clear with exact reproduction steps, error message, and expected behavior. The solution hint is provided in the expected results section suggesting `self.dual_coef_ = sp.csr_matrix([])` for empty support vectors. This is a standard division-by-zero edge case fix pattern, requiring knowledge of scikit-learn's SVM internals but following a common defensive programming approach.",scikit-learn__scikit-learn-14894,claude-opus-4-5-20251101,anthropic,2026-01-29T21:58:43.414674
2,4,3,2,2,2,1,"The task clearly requests adding a --skip-checks option to runserver command, similar to other Django management commands. This requires Django framework knowledge about management command argument handling and system checks, but follows an established pattern already used by other commands. The test name 'test_skip_checks' makes verification straightforward.",django__django-13809,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:45.018908
2,4,4,3,3,2,0,"The problem clearly describes the bug (posify not preserving finite assumption) and the hint explicitly states that other assumptions should be retained when adding positive=True. However, fixing this requires understanding SymPy's Symbol assumptions system and how posify creates new symbols. The solution involves modifying posify to copy/preserve existing assumptions, which requires knowledge of SymPy internals but follows logical reasoning once understood.",sympy__sympy-16450,claude-opus-4-5-20251101,anthropic,2026-01-29T21:59:26.415904
3,5,3,1,1,2,1,"The task explicitly states the exact solution: replace the check-and-convert logic for real_apps with an assertion that it's a set when non-None. This is a simple mechanical change requiring only basic understanding of Django's migration state internals. The test name clearly indicates what needs to pass, and the pattern of adding assertions for type checking is well-established.",django__django-14765,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:03.373989
3,5,3,2,2,2,1,"The hints provide the exact solution - a monkey patch showing exactly what needs to be changed in the `_wrap_in_tex` function (replacing spaces with `\;` and colons with `{:}`). The problem is crystal clear with visual examples and reproduction code. The fix requires understanding matplotlib's date formatting and LaTeX rendering, but the solution is explicitly given in the discussion.",matplotlib__matplotlib-21568,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:48.494111
0,4,4,3,3,2,0,"This task requires understanding Sphinx's internal signature parsing mechanism, specifically how it handles positional-only arguments (Python 3.8+ feature with `/` syntax). The bug is clearly described with reproducible steps, but fixing it requires knowledge of how `signature_from_str` parses function signatures and handles default values for positional-only parameters. The test name directly points to the problematic function, but the actual fix requires understanding the parsing logic.",sphinx-doc__sphinx-7757,claude-opus-4-5-20251101,anthropic,2026-01-29T21:58:56.902654
0,4,4,4,3,3,0,"This bug involves Django's migration autodetector not properly handling cross-app ManyToMany 'through' models, causing string references to not be resolved before accessing _meta. Fixing this requires deep understanding of Django's migration system internals, particularly how model dependencies and lazy references work. The problem is clearly described with traceback and reproduction steps, but the solution requires understanding the autodetector's dependency resolution logic.",django__django-15973,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:25.759095
