instance_id,domain_knowledge_required,dependency_complexity,information_completeness,test_assertion_complexity,solution_hint,fix_localization,expected_behavior_clarity,debugging_complexity,problem_clarity,logical_reasoning_required,testing_infrastructure_quality,codebase_scale,codebase_scope,verification_difficulty,reproduction_clarity
adaptive-rejection-sampler,5,2,4,4,2,4,4,3,4,4,2,1,1,4,4
bn-fit-modify,5,1,4,4,2,5,4,4,4,4,1,1,1,4,3
break-filter-js-from-html,4,2,5,4,1,5,5,4,5,4,4,1,1,3,5
build-cython-ext,3,3,4,4,2,4,4,3,4,3,3,2,4,3,4
build-pmars,3,3,4,3,2,4,4,3,4,3,3,1,2,2,4
build-pov-ray,4,2,3,4,1,5,4,4,4,4,2,1,3,3,4
caffe-cifar-10,4,5,4,4,2,4,5,4,4,3,3,3,3,4,4
cancel-async-tasks,4,1,5,4,1,5,4,3,4,4,2,1,1,4,5
chess-best-move,4,1,3,2,1,5,5,4,4,4,1,1,1,2,3
circuit-fibsqrt,5,1,4,4,1,4,5,5,4,5,2,1,1,3,4
cobol-modernization,3,1,5,3,1,5,5,2,4,3,2,1,1,2,4
code-from-image,4,1,2,2,1,5,4,4,2,4,1,1,1,2,2
compile-compcert,4,5,4,4,2,1,5,3,4,3,2,3,3,3,3
configure-git-webserver,4,2,4,3,2,1,5,3,4,3,1,1,3,4,5
constraints-scheduling,3,1,4,5,2,5,5,3,4,4,2,1,1,4,4
count-dataset-tokens,4,3,3,1,2,5,4,3,3,3,2,1,1,3,3
crack-7z-hash,4,4,3,1,1,5,5,3,3,3,2,4,2,2,3
custom-memory-heap-crash,5,4,3,3,1,5,4,5,4,5,2,4,3,3,5
db-wal-recovery,4,1,3,4,1,5,5,3,4,4,2,1,1,2,3
distribution-search,4,2,5,4,1,5,5,4,4,5,1,1,1,2,4
dna-assembly,5,2,4,5,2,4,4,5,4,4,1,1,1,4,3
dna-insert,5,2,4,4,2,5,4,4,4,4,2,1,1,4,3
extract-elf,4,1,5,4,1,5,4,4,4,4,2,1,1,3,4
extract-moves-from-video,4,2,3,4,1,5,4,4,3,3,1,1,1,3,3
feal-differential-cryptanalysis,5,1,5,3,1,4,5,5,4,5,1,1,2,2,4
feal-linear-cryptanalysis,5,1,3,3,2,4,5,5,3,5,2,1,3,2,3
filter-js-from-html,4,2,4,4,1,5,3,3,4,4,1,1,1,4,4
financial-document-processor,4,1,3,4,2,4,4,4,4,4,1,1,2,4,3
fix-code-vulnerability,3,1,5,3,2,5,5,3,4,3,5,2,1,2,4
fix-git,3,2,2,3,1,4,3,3,3,3,2,2,1,2,2
fix-ocaml-gc,5,3,3,2,1,4,4,4,3,4,4,4,1,3,4
gcode-to-text,5,1,2,1,0,5,2,5,2,5,1,1,1,4,2
git-leak-recovery,3,1,4,4,2,4,5,3,4,3,2,1,1,3,4
git-multibranch,4,2,4,3,2,4,5,3,5,3,2,1,3,4,5
gpt2-codegolf,5,2,3,3,1,5,4,5,4,5,1,1,1,4,4
headless-terminal,4,1,4,3,1,5,5,3,4,3,1,1,1,4,5
hf-model-inference,3,3,5,3,3,4,5,2,5,3,2,1,2,3,4
install-windows-3.11,4,4,4,5,2,4,4,4,4,3,2,1,3,4,4
kv-store-grpc,3,2,5,4,3,5,5,2,5,2,1,1,2,3,5
large-scale-text-editing,4,1,5,4,1,5,5,3,5,4,4,1,1,3,5
largest-eigenval,3,2,5,4,1,5,5,3,4,3,4,1,1,4,5
llm-inference-batching-scheduler,4,1,5,5,2,4,5,4,4,5,3,1,2,4,4
log-summary-date-ranges,2,1,5,3,3,5,5,2,5,3,2,1,1,2,4
mailman,4,3,4,4,2,4,4,4,4,3,4,1,3,4,4
make-doom-for-mips,5,2,2,4,1,4,4,5,3,5,2,2,5,4,3
make-mips-interpreter,5,2,3,4,1,4,4,5,3,5,2,2,5,4,4
mcmc-sampling-stan,5,4,4,4,3,4,5,4,5,4,1,1,2,4,4
merge-diff-arc-agi-task,3,1,3,4,1,5,4,4,3,4,3,1,2,3,4
model-extraction-relu-logits,5,2,4,4,1,5,4,5,3,5,1,1,1,4,3
modernize-scientific-stack,2,2,5,3,3,4,5,1,5,2,1,1,1,2,4
mteb-leaderboard,5,2,3,2,1,5,4,3,4,3,1,1,2,2,3
mteb-retrieve,4,3,4,2,2,5,5,3,4,3,2,1,1,2,4
multi-source-data-merger,3,2,4,3,3,5,5,2,5,3,1,1,1,2,4
nginx-request-logging,3,2,5,3,3,4,5,2,5,3,2,1,3,3,5
openssl-selfsigned-cert,3,1,5,4,3,5,5,2,5,2,2,1,1,2,5
overfull-hbox,3,1,5,4,1,5,5,3,4,4,4,1,2,3,5
password-recovery,4,1,3,2,2,5,4,4,3,4,1,1,2,2,3
path-tracing,5,1,3,4,1,5,4,4,3,5,2,1,1,4,5
path-tracing-reverse,4,2,4,4,1,5,4,4,4,4,2,1,1,3,4
polyglot-c-py,3,1,5,3,1,5,5,3,5,4,1,1,1,2,5
polyglot-rust-c,5,1,5,3,1,5,5,4,5,5,2,1,1,2,5
portfolio-optimization,3,2,5,4,3,4,5,2,5,2,4,1,2,3,5
protein-assembly,5,2,3,4,2,5,4,5,4,4,1,1,3,4,3
prove-plus-comm,4,1,3,3,1,5,5,3,4,3,4,1,1,2,3
pypi-server,3,2,5,3,2,4,5,3,5,3,2,1,3,3,4
pytorch-model-cli,4,2,3,4,1,4,5,3,3,4,1,1,3,3,3
pytorch-model-recovery,4,1,5,4,3,4,5,3,5,3,2,1,1,3,4
qemu-alpine-ssh,4,3,4,2,2,5,5,4,4,3,2,1,3,4,4
qemu-startup,4,2,3,3,2,5,4,3,4,3,2,1,1,4,4
query-optimize,3,1,5,4,1,5,5,2,4,3,3,1,1,4,4
raman-fitting,4,1,3,4,2,5,4,3,3,3,1,1,1,3,3
regex-chess,5,2,5,4,0,5,5,5,4,5,4,1,1,4,5
regex-log,3,1,5,3,2,5,5,4,4,4,1,1,1,3,5
reshard-c4-data,3,1,4,4,1,4,4,3,4,3,2,1,2,3,4
rstan-to-pystan,4,4,4,4,2,5,5,4,4,4,2,1,2,4,4
sam-cell-seg,5,4,4,4,2,4,4,4,4,4,2,1,1,4,4
sanitize-git-repo,2,4,4,3,2,4,4,3,4,3,3,3,3,3,3
schemelike-metacircular-eval,5,1,5,4,1,4,5,4,4,5,2,1,1,4,5
sparql-university,4,1,5,4,2,5,5,3,4,4,1,1,1,3,5
sqlite-db-truncate,4,1,3,3,1,5,4,4,4,4,1,1,1,2,3
sqlite-with-gcov,3,2,4,3,2,4,4,2,4,3,2,4,1,2,4
torch-pipeline-parallelism,5,3,4,5,2,4,4,4,4,4,2,1,1,4,5
torch-tensor-parallelism,4,2,5,4,2,5,5,4,4,4,2,1,1,4,5
train-fasttext,3,2,3,4,1,5,4,3,3,3,1,1,2,3,3
tune-mjcf,5,3,4,4,1,4,5,3,4,3,4,1,1,4,4
video-processing,4,1,3,3,1,5,4,4,3,4,2,1,1,4,4
vulnerable-secret,4,1,3,2,1,5,5,3,3,4,1,1,1,1,3
winning-avg-corewars,5,1,4,4,1,5,5,4,4,4,4,1,1,4,5
write-compressor,5,1,5,3,1,5,5,5,4,5,2,1,2,3,5
