instance_id,dependency_complexity,atypicality,solution_hint,solution_complexity,reproduction_clarity,test_assertion_complexity,codebase_scale,verification_difficulty,logical_reasoning_required,test_comprehensiveness,test_edge_case_coverage,fix_localization,debugging_complexity,information_completeness,similar_issue_likelihood
password-recovery,1,3,1,4,3,2,1,3,3,2,1,5,3,3,1
financial-document-processor,1,4,2,4,3,4,1,4,4,5,3,4,4,3,1
qemu-startup,2,3,2,3,4,3,1,4,3,2,1,5,3,3,1
db-wal-recovery,1,4,1,3,3,4,1,3,4,5,3,5,4,3,0
hf-model-inference,3,2,3,3,4,3,1,3,3,4,3,4,3,5,1
winning-avg-corewars,1,5,1,5,5,4,1,3,4,4,3,5,4,4,0
gpt2-codegolf,2,5,1,5,4,3,1,4,5,2,1,5,5,3,0
sam-cell-seg,4,4,2,4,4,4,1,4,4,5,4,4,4,3,0
path-tracing-reverse,2,4,1,4,4,4,1,3,4,4,3,5,4,3,0
gcode-to-text,1,5,1,5,2,1,1,4,4,2,1,5,4,2,0
chess-best-move,1,5,0,4,3,2,1,4,5,2,1,5,5,3,0
bn-fit-modify,1,4,2,4,3,4,1,4,4,4,3,5,4,3,0
fix-code-vulnerability,1,3,1,3,4,3,2,2,4,4,4,5,3,3,1
caffe-cifar-10,5,3,2,4,3,4,3,4,3,5,4,4,4,4,1
reshard-c4-data,1,4,1,3,4,4,1,4,4,4,3,4,3,3,1
mcmc-sampling-stan,4,3,3,4,4,4,1,4,3,4,2,4,4,4,1
portfolio-optimization,2,2,3,3,4,4,1,3,3,4,3,4,3,4,1
raman-fitting,1,4,2,4,2,4,1,4,3,3,1,5,3,2,1
make-doom-for-mips,2,5,1,5,3,4,2,4,4,4,2,4,4,2,0
break-filter-js-from-html,2,3,1,2,5,4,1,2,4,3,1,5,4,3,1
openssl-selfsigned-cert,1,1,3,3,4,4,1,3,2,4,3,5,2,4,1
sqlite-with-gcov,2,3,2,3,4,3,4,3,3,4,2,4,2,3,1
query-optimize,1,3,1,2,4,4,1,3,4,5,4,5,4,2,1
torch-pipeline-parallelism,3,3,2,4,3,4,1,4,4,4,3,4,4,4,0
build-cython-ext,3,3,2,4,4,4,2,3,4,5,3,4,4,4,1
filter-js-from-html,2,3,1,3,3,5,1,4,4,4,4,5,4,2,1
nginx-request-logging,2,2,3,3,4,3,1,3,3,4,2,4,2,5,1
torch-tensor-parallelism,2,3,2,4,3,4,1,4,3,4,3,5,3,3,1
polyglot-c-py,1,4,1,3,5,3,1,2,4,3,3,5,3,5,1
overfull-hbox,1,4,2,4,3,4,1,2,4,5,4,5,4,3,0
distribution-search,2,4,1,5,4,4,1,3,4,4,3,5,4,4,0
model-extraction-relu-logits,2,5,2,5,3,4,1,4,5,3,2,5,5,3,0
prove-plus-comm,1,4,1,2,3,3,1,1,4,4,2,5,3,3,1
largest-eigenval,2,3,1,2,4,4,1,4,4,4,3,5,4,4,0
kv-store-grpc,2,2,3,3,5,3,1,3,2,4,2,5,2,4,1
llm-inference-batching-scheduler,1,4,2,5,4,4,1,4,4,5,4,4,4,4,0
git-multibranch,2,3,2,4,5,4,1,4,3,3,1,4,4,4,1
headless-terminal,1,3,1,3,3,3,1,4,4,4,3,5,4,2,1
pytorch-model-cli,2,4,1,4,3,4,1,4,4,4,2,4,4,2,0
mteb-retrieve,3,4,2,3,3,2,1,4,3,2,1,5,4,4,0
count-dataset-tokens,3,3,2,3,3,1,1,4,3,1,1,5,3,3,1
tune-mjcf,3,5,1,2,4,4,1,4,4,4,3,4,4,3,0
constraints-scheduling,1,4,2,4,4,5,1,4,4,5,4,5,3,4,0
extract-moves-from-video,2,5,1,4,2,4,1,5,4,3,1,5,5,2,0
cancel-async-tasks,1,3,1,3,4,4,1,4,4,5,4,5,3,3,1
extract-elf,1,4,1,4,4,4,1,3,4,3,2,5,4,2,0
merge-diff-arc-agi-task,1,5,2,4,4,4,1,4,5,4,3,5,4,2,0
modernize-scientific-stack,2,2,3,2,4,3,1,2,2,3,1,4,2,4,1
dna-insert,2,5,2,4,3,4,1,4,5,4,3,5,5,3,0
mteb-leaderboard,2,4,1,4,2,2,1,4,3,2,1,5,4,3,0
install-windows-3.11,4,4,2,4,3,4,1,4,3,4,3,4,4,3,1
feal-differential-cryptanalysis,1,4,2,4,3,3,1,3,5,2,1,4,5,3,0
video-processing,1,4,1,4,4,3,1,4,4,4,3,5,4,3,0
pypi-server,2,3,2,4,4,3,1,3,3,4,3,4,3,4,1
vulnerable-secret,1,3,1,3,2,2,1,2,4,3,1,5,4,2,0
pytorch-model-recovery,1,3,2,3,3,4,1,3,4,4,3,4,3,3,1
mailman,3,4,2,4,3,4,1,4,4,4,2,4,4,3,1
polyglot-rust-c,1,4,1,5,5,3,1,2,4,4,3,5,4,5,1
crack-7z-hash,4,3,1,4,2,1,4,2,3,2,1,5,4,2,1
