instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,fix_localization_reasoning,entry_point_clarity,entry_point_clarity_reasoning,change_blast_radius,change_blast_radius_reasoning,environment_setup_complexity,environment_setup_complexity_reasoning,implementation_language_complexity,implementation_language_complexity_reasoning,testing_infrastructure_quality,testing_infrastructure_quality_reasoning,dependency_complexity,dependency_complexity_reasoning,codebase_scale,codebase_scale_reasoning
password-recovery,2,3,4,4,4,2,0,4,3,4,4,2,3,0,2,2,2,1,4,2,2026-03-07T23:26:03.159856,claude-opus-4-6,anthropic,password-recovery,5,The task is a forensic recovery exercise and the actionable work is effectively confined to inspecting a single disk-image-like artifact under /app/varsea/disks rather than modifying many code locations.,4,The prompt clearly points to /app and a deleted file named launchcode.txt; a short directory exploration quickly reveals the only meaningful artifact is the 4MB file in varsea/disks.,1,There are no meaningful code changes required; recovery is isolated to analysis and writing the result to one output file with no downstream component impact.,1,"The environment is a simple ready-to-use filesystem with standard shell/Python tools and no service orchestration, build, or multi-container setup needed.",2,Work is mostly shell plus a bit of Python for byte-level inspection and ZIP/header parsing; no compiled or framework-heavy stack is involved.,1,There is no explicit test suite or validation harness visible; verification relies on manual artifact inspection and writing guesses to the requested file.,1,"The task depends only on standard command-line utilities and Python standard library functionality, with no external package ecosystem apparent.",1,"The environment is tiny: roughly a dozen files total, with one principal 4MB artifact and a few small dummy files/logs."
financial-document-processor,2,4,4,4,4,4,0,4,3,4,4,2,3,1,2,4,4,3,4,3,2026-03-07T23:25:56.615886,claude-opus-4-6,anthropic,financial-document-processor,4,"The task appears to be handled by a single-purpose script operating over /app/documents with outputs to /app/invoices and /app/other, so the likely solution is confined to one or two closely related files.",5,"The problem statement is explicit about the directories, required classification, extraction rules, and CSV output, giving a very clear operational entry point.",1,"Changes would be isolated to the document-processing workflow and output generation, with little evidence of downstream coupling to other components.",2,"The environment is very small and sandboxed, but it lacks common OCR/PDF utilities and Python packages, so some custom handling is needed despite the simple layout.",2,"A solution would likely be straightforward Python or shell scripting, though PDF parsing and possible image-text handling add minor complexity beyond trivial scripting.",1,"No tests, harness, config files, or validation scripts were found; verification appears to rely entirely on manual inspection of moved files and generated CSV.",1,"There is no visible project dependency manifest and no installed third-party Python libraries detected, implying minimal formal dependency complexity.",1,This is effectively a tiny task environment with 17 input documents and no surrounding application code or multi-module repository structure.
qemu-startup,2,4,4,3,3,4,1,4,4,4,3,1,3,1,3,3,3,1,3,4,2026-03-07T23:26:09.545297,claude-opus-4-6,anthropic,qemu-startup,5,The task is operational rather than code-fixing; the likely solution is a single QEMU invocation/script with no code changes across files.,5,The user request is explicit: boot /app/alpine.iso in QEMU and expose a telnet-accessible login prompt on 127.0.0.1:6665.,1,Starting the VM is isolated and has essentially no downstream impact on other components in the environment.,2,"The environment is simple: a small /app directory with an Alpine ISO, a qcow2 disk, and QEMU already installed; some VM boot parameter experimentation may be needed.",1,No implementation language complexity is involved beyond straightforward shell/QEMU command usage.,2,"There is no formal test suite, but validation is possible with direct runtime checks like port probing and telnet connection attempts.",2,"Dependencies are limited to standard system tools such as qemu-system-x86_64, telnet, and nc, with no large application dependency graph.",1,There is effectively no codebase to inspect—just two files in /app (ISO and qcow2 image).
db-wal-recovery,1,4,4,4,4,2,0,4,3,5,3,1,3,0,2,5,4,4,3,2,2026-03-07T23:25:48.198071,claude-opus-4-6,anthropic,db-wal-recovery,5,"The task is data recovery on a single database/WAL artifact in /app, not a multi-file code change.",5,The prompt directly names /app and the WAL/database files as the target and describes the failure mode clearly.,1,Actions are isolated to reading/fixing one SQLite WAL/database and writing one output JSON file; no broader system impact.,1,"Very simple sandbox: one directory with one SQLite DB file and standard CLI tools, no services or build setup.",2,"Likely solvable with shell/Python and SQLite internals knowledge, but no compiled language or large framework involved.",2,There is no visible local test suite; validation is mainly via inspecting SQLite output and producing recovered.json.,1,No project dependencies or package manifests are present; only built-in tools like sqlite3/python are relevant.,1,This is not a codebase in practice—just a tiny environment with a single database artifact.
hf-model-inference,3,5,3,3,2,3,1,5,4,5,2,2,5,1,3,4,3,3,3,3,2026-03-07T23:25:56.844321,claude-opus-4-6,anthropic,hf-model-inference,4,Likely solution is limited to one small Flask app file plus cached model artifacts in a single directory.,5,"The prompt explicitly specifies the service behavior, endpoint, model, port, and storage path, so the implementation entry point is very clear.",1,Changes are isolated to a standalone local inference service with little to no interaction with other components.,2,"Environment is mostly empty but ready-to-use; required Python packages are preinstalled and only minor setup is needed to create directories, download model files, and run Flask.",2,This is straightforward Python using Flask and Hugging Face Transformers with simple request handling and inference logic.,2,"There is no formal test suite, but the API can be validated easily with direct HTTP requests and clear JSON responses.",3,"The task depends on several substantial ML/runtime packages such as transformers, torch, flask, and Hugging Face tooling, though they are standard and already installed.",1,"The working directory starts essentially empty, so the relevant codebase is tiny and task-scoped rather than a large existing project."
winning-avg-corewars,1,4,5,4,5,4,0,5,5,5,4,1,4,0,1,4,4,3,5,3,2026-03-07T23:26:15.728425,claude-opus-4-6,anthropic,winning-avg-corewars,5,"The task asks for writing a single Redcode file, `my_warrior.red`; no other project files need modification.",5,The problem statement explicitly names the required output file and exact batch command used for evaluation against each opponent.,1,Changes are isolated to one standalone warrior program and do not affect simulator source or opponent files.,2,"pMARS is already installed and configured, but the environment includes an external simulator plus bundled source/docs to understand Redcode behavior.",3,"The solution is in Redcode/CoreWars assembly, a niche low-level language requiring specialized knowledge but no heavy multi-language build stack.",4,"Validation is clear and easy to run with deterministic `pmars -b -r 100 -f` commands and explicit win-rate thresholds, though there is no unit-test harness.",1,There are essentially no runtime dependencies beyond the preinstalled `pmars` binary and simple warrior source files.,1,"The relevant task surface is tiny: five opponent `.red` files plus one output warrior, even though pMARS source is vendored separately and mostly irrelevant."
gpt2-codegolf,1,4,5,5,5,4,0,4,4,4,5,1,3,0,2,2,3,1,5,3,2026-03-07T23:25:55.675706,claude-opus-4-6,anthropic,gpt2-codegolf,5,"The environment only contains two data files and the requested work is to create a single new C source file (/app/gpt2.c), so the solution is effectively localized to one file/program.",5,"The user specifies the exact executable interface, file path, inputs, and behavior, making the implementation entry point completely clear.",1,There is no existing codebase to modify; adding one standalone C file has essentially no downstream impact on other components.,1,"The workspace is minimal and ready to use: only a checkpoint and BPE file are present, and compilation is a single gcc command with libm.",4,"Although it is a single-file task, implementing GPT-2 inference and BPE loading in dependency-free C under a tight size limit is substantially harder than typical scripting tasks.",1,"No tests, harness, or validation scripts are present; verification appears to rely on manual compilation and output checking against expected model behavior.",2,"External software dependencies are minimal, but the task depends on understanding/interpreting a large TensorFlow checkpoint and GPT-2 BPE assets correctly.",1,The available environment is tiny: only two files are present and there is no broader repository or module structure to navigate.
sam-cell-seg,2,4,5,4,4,4,0,4,4,4,4,1,4,0,2,5,4,4,5,4,2026-03-07T23:26:11.529590,claude-opus-4-6,anthropic,sam-cell-seg,4,"The requested work is a single new script, /app/convert_masks.py, with no existing application code to modify; most logic should live in one file with perhaps a few helper functions.",5,"The problem statement explicitly names the required deliverable, arguments, data files, model family, and output format, so the implementation entry point is very clear.",1,Changes are isolated to creating one standalone script that reads inputs and writes a CSV; there is essentially no surrounding codebase whose behavior could be impacted.,3,"Although the task is packaged as a single-script CLI, it depends on running MobileSAM on CPU, reading image/CSV data, and handling model weights supplied at runtime, which is more involved than a trivial script.",3,"Primary implementation is Python, but it requires coordinating torch/mobile_sam inference, image processing, polygon handling, and non-overlap/postprocessing logic rather than only basic scripting.",2,"There are demo inputs and a precise output contract, but no visible test suite or runner in the environment; validation appears to rely mainly on hidden tests and manual inspection.",4,"The allowed stack includes torch, torchvision, OpenCV, Pillow, pandas/numpy, and mobile_sam; the key dependency is a specialized vision model with external weights and CPU execution constraints.",1,The visible workspace is tiny: only two demo files are present and there is no broader repository/application structure to navigate.
path-tracing-reverse,1,4,4,4,4,3,0,4,4,4,4,1,4,0,2,4,4,2,4,3,2026-03-07T23:26:03.536279,claude-opus-4-6,anthropic,path-tracing-reverse,5,The binary exposes a single main entry plus a handful of helper functions for one self-contained raytracing program; reproducing behavior likely lives in one source file.,5,"The prompt explicitly points to /app/mystery, and symbols/disassembly show a clear main function with descriptive helper names like write_image and trace.",1,There is no broader repo or multi-module app; the task is isolated to recreating one executable’s behavior with minimal downstream impact.,2,"The environment is very small and already runnable, but binary-reversing requires using ELF tooling and static compilation constraints rather than a normal edit-run loop.",4,"The target behavior is a compiled C program using floating-point math and image generation/raytracing logic, which is materially harder than scripting or plain Python.",2,"There is no formal test suite; validation is by manually running the binary, comparing stderr progress/messages, and inspecting generated output files.",2,The delivered solution is expected to be standalone C with libm at most; the binary itself is statically linked and not dependent on a large package ecosystem.,1,"The visible environment contains only one executable in /app, so the effective codebase to inspect is tiny even though the binary includes static libc code."
gcode-to-text,0,2,5,5,5,4,0,2,2,2,5,1,2,0,3,2,1,1,5,4,2026-03-07T23:25:55.692064,claude-opus-4-6,anthropic,gcode-to-text,5,The task is contained to inspecting a single G-code file and extracting the object label; no multi-file code changes are involved.,5,"The prompt directly points to text.gcode, and the relevant object names are clearly exposed near the top via M486 object annotations.",1,"Any action is isolated to reading the one provided file and writing one output file, with essentially no downstream coupling.",1,"The environment is a minimal sandbox with one G-code input file and no build, services, or setup steps required.",1,"This is primarily simple terminal text inspection/parsing of G-code, not a complex programming language or toolchain task.",1,There is no visible test harness or validation suite; correctness must be inferred manually from the file contents and prompt.,1,There are no project dependencies or package manifests present; standard shell tools are sufficient.,1,"The workspace contains only two files total, with the main artifact being a single ~98k-line G-code file rather than a multi-module codebase."
