solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,entry_point_clarity,fix_localization,change_blast_radius,instance_id
3,5,3,2,2,2,1,4,4,5,2,1,5,1,2,2,2,1,1,2,django__django-11880,2026-03-06T22:05:15.231808,gpt-5.4-2026-03-05,openai,5,5,2,django__django-11880
3,5,3,2,2,2,1,4,5,5,2,2,5,1,2,4,2,4,2,3,django__django-12039,2026-03-06T22:05:14.499057,gpt-5.4-2026-03-05,openai,5,5,2,django__django-12039
3,5,3,2,2,2,1,4,3,4,2,2,4,1,2,4,2,3,1,2,django__django-12193,2026-03-06T22:05:17.134526,gpt-5.4-2026-03-05,openai,5,5,2,django__django-12193
2,5,4,4,4,3,0,5,5,4,4,2,5,1,3,3,2,3,2,3,astropy__astropy-14598,2026-03-06T22:05:00.359876,gpt-5.4-2026-03-05,openai,4,4,2,astropy__astropy-14598
2,4,4,3,4,2,1,5,5,4,3,2,5,1,3,3,2,2,2,3,django__django-13297,2026-03-06T22:05:27.162917,gpt-5.4-2026-03-05,openai,5,4,2,django__django-13297
3,5,3,2,2,2,1,4,5,4,2,2,5,1,2,4,2,3,1,2,sympy__sympy-21847,2026-03-06T22:07:06.353630,gpt-5.4-2026-03-05,openai,5,5,2,sympy__sympy-21847
1,5,4,3,3,2,0,4,5,4,2,1,5,1,2,4,3,3,2,3,matplotlib__matplotlib-20676,2026-03-06T22:06:07.377921,gpt-5.4-2026-03-05,openai,4,4,2,matplotlib__matplotlib-20676
2,4,3,2,2,2,1,4,3,4,2,1,4,1,2,4,2,3,2,2,django__django-14155,2026-03-06T22:05:30.616471,gpt-5.4-2026-03-05,openai,5,5,2,django__django-14155
1,5,4,2,3,2,1,4,5,4,3,1,5,1,2,2,3,1,2,3,sphinx-doc__sphinx-9591,2026-03-06T22:06:52.918150,gpt-5.4-2026-03-05,openai,4,4,2,sphinx-doc__sphinx-9591
3,5,4,4,4,3,0,5,4,4,4,2,5,0,3,4,3,4,4,4,django__django-11087,2026-03-06T22:05:01.476272,gpt-5.4-2026-03-05,openai,4,4,2,django__django-11087
3,5,4,2,3,2,1,5,5,3,2,2,5,1,2,4,3,3,2,3,django__django-16938,2026-03-06T22:05:58.030648,gpt-5.4-2026-03-05,openai,4,4,2,django__django-16938
3,5,4,2,2,2,1,4,4,5,2,2,5,1,2,3,2,2,1,3,django__django-15569,2026-03-06T22:05:48.765101,gpt-5.4-2026-03-05,openai,5,5,2,django__django-15569
1,4,4,2,3,2,1,5,4,4,2,2,4,1,3,3,2,2,2,3,django__django-13794,2026-03-06T22:05:28.830316,gpt-5.4-2026-03-05,openai,5,5,2,django__django-13794
3,5,3,2,1,1,1,4,3,5,1,1,4,1,2,3,2,2,1,2,django__django-11603,2026-03-06T22:05:13.365185,gpt-5.4-2026-03-05,openai,5,5,2,django__django-11603
3,5,4,4,4,3,0,5,5,5,2,1,5,1,3,2,2,2,2,3,django__django-11551,2026-03-06T22:05:14.802011,gpt-5.4-2026-03-05,openai,5,5,2,django__django-11551
2,5,4,4,3,3,1,5,5,5,2,2,5,1,3,4,3,3,3,4,django__django-16502,2026-03-06T22:05:55.843044,gpt-5.4-2026-03-05,openai,4,5,2,django__django-16502
1,4,4,4,4,3,0,4,5,5,4,2,4,0,3,4,3,4,3,4,sympy__sympy-21596,2026-03-06T22:07:05.723499,gpt-5.4-2026-03-05,openai,4,5,2,sympy__sympy-21596
1,5,4,3,3,2,1,4,5,4,3,2,5,1,2,3,2,2,2,3,sphinx-doc__sphinx-10449,2026-03-06T22:06:39.497784,gpt-5.4-2026-03-05,openai,4,4,2,sphinx-doc__sphinx-10449
2,4,2,2,2,2,1,4,3,4,2,2,4,1,2,3,2,2,2,2,django__django-15103,2026-03-06T22:05:42.269727,gpt-5.4-2026-03-05,openai,5,4,2,django__django-15103
2,4,2,3,2,2,1,4,5,5,2,1,5,1,3,2,1,2,2,2,sympy__sympy-11618,2026-03-06T22:06:51.871245,gpt-5.4-2026-03-05,openai,5,4,2,sympy__sympy-11618
2,4,4,3,3,2,1,5,4,4,3,2,5,1,2,3,2,3,2,3,django__django-15695,2026-03-06T22:05:52.952791,gpt-5.4-2026-03-05,openai,5,5,2,django__django-15695
3,5,3,2,2,2,1,4,3,5,1,1,4,1,2,2,1,2,2,3,django__django-13741,2026-03-06T22:05:28.542669,gpt-5.4-2026-03-05,openai,5,5,2,django__django-13741
1,4,4,3,3,2,1,5,4,4,3,1,5,1,2,2,3,2,1,3,django__django-15380,2026-03-06T22:05:43.551769,gpt-5.4-2026-03-05,openai,5,5,2,django__django-15380
3,5,2,2,2,2,1,4,3,4,2,2,4,1,2,4,3,4,2,3,django__django-14315,2026-03-06T22:05:35.541303,gpt-5.4-2026-03-05,openai,5,5,2,django__django-14315
3,5,3,2,2,2,1,4,3,5,1,1,4,1,2,3,2,3,1,2,django__django-11951,2026-03-06T22:05:14.790640,gpt-5.4-2026-03-05,openai,5,5,2,django__django-11951
1,4,4,4,4,4,0,4,4,4,4,2,5,1,3,4,2,4,3,4,django__django-13346,2026-03-06T22:05:27.147344,gpt-5.4-2026-03-05,openai,4,5,2,django__django-13346
2,5,4,2,3,2,1,5,5,4,2,1,5,1,2,2,2,3,2,2,scikit-learn__scikit-learn-14894,2026-03-06T22:06:38.828551,gpt-5.4-2026-03-05,openai,5,5,2,scikit-learn__scikit-learn-14894
2,4,3,2,2,2,1,3,3,5,2,2,4,1,2,3,4,2,2,2,django__django-13809,2026-03-06T22:05:29.533226,gpt-5.4-2026-03-05,openai,5,5,2,django__django-13809
