solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,integration_complexity,reasoning,_task_id,_model,_provider,_extracted_at,num_files_modified,num_hunks,num_lines_changed,log_lines_changed
1,3,4,4,3,4,4,0,4,"The problem statement describes a heartbeat timestamp issue but the gold patch shows extensive changes across multiple files related to audit logging, session streaming, and file uploads - a significant mismatch. The solution requires deep knowledge of Teleport's internals including audit logs, streaming protocols, and multipart uploads. The changes span 10+ files with modifications to concurrency handling, error checking, and upload state management, making verification and integration complex.",gravitational__teleport-c1b1c6a1541c478d7777a48fca993cc8206c73b9,claude-opus-4-5-20251101,anthropic,2026-01-24T15:49:09.508843,9,24,112,2.0530784434834195
2,4,4,4,3,3,3,1,4,"This task requires refactoring JWT token handling across multiple files to separate artwork ID from size parameter. The solution involves understanding JWT authentication patterns, Go's HTTP middleware, and the existing artwork system architecture. Changes span 7 files including core artwork logic, public endpoints, server configuration, and multiple subsonic API handlers, requiring deep integration with the existing codebase.",navidrome__navidrome-69e0a266f48bae24a11312e9efbe495a337e4c84,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:22.184273,7,19,147,2.1702617153949575
1,4,3,4,3,2,2,1,4,"The problem clearly describes the version parsing issue but doesn't hint at the solution. The fix requires understanding the codebase structure across multiple files (config/os.go, oval/oval.go, oval/util.go, scanner/redhatbase.go) and involves adding a utility function call (util.Major) to extract the major version consistently. Domain knowledge of the Vuls vulnerability scanner internals and Amazon Linux version patterns is essential, but the pattern of extracting major versions from version strings is standard.",future-architect__vuls-e1df74cbc1a1d1889428b3333a3b2405c4651993,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:21.788724,4,7,56,1.7558748556724917
2,4,4,4,4,3,3,0,4,"This task requires deep understanding of qutebrowser's Qt wrapper initialization system and early startup sequence. The solution involves coordinating changes across three files (earlyinit.py, machinery.py, qutebrowser.py), adding new exception types, modifying initialization flow to happen earlier, changing return types, and improving error reporting. The problem description clearly outlines expected behavior but implementing it requires understanding the interplay between implicit/explicit initialization, wrapper selection, and error propagation.",qutebrowser__qutebrowser-322834d0e6bf17e5661145c9f085b41215c280e8,claude-opus-4-5-20251101,anthropic,2026-01-24T15:49:45.686540,3,15,87,1.944482672150169
2,3,4,4,3,3,3,1,4,"This task requires implementing a new FixedRollingArray data structure and integrating it across multiple files (VoiceRecording.ts, RecorderWorklet.ts, consts.ts). It demands understanding of Web Audio API concepts (AudioWorklet, FFT analysis) and how the voice recording pipeline works. The solution involves replacing FFT-based frequency analysis with amplitude-based waveform tracking, requiring changes to the worklet's timing logic and the main recording class's data flow.",element-hq__element-web-ec0f940ef0e8e3b61078f145f34dc40d1938e6c5,claude-opus-4-5-20251101,anthropic,2026-01-24T15:49:35.237341,4,12,132,2.123851640967086
2,4,3,4,3,2,2,1,3,"The problem clearly describes the need to add encoding validation to FormatString similar to String types. The solution requires understanding qutebrowser's config type system, refactoring an existing validation method into a module-level function, adding an encoding parameter to FormatString, and updating configuration YAML files. While the pattern exists in the String class, the developer needs to understand the config type hierarchy and coordinate changes across multiple files.",qutebrowser__qutebrowser-996487c43e4fcc265b541f9eca1e7930e3c5cf05,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:47.911217,2,9,43,1.6434526764861874
1,2,4,4,3,3,3,0,5,"This task involves a massive refactoring of import paths across dozens of files to reorganize calendar-related modules into domain-specific folders. The problem statement describes the goal vaguely (better separation of concerns) without specifying exact file movements. The solution requires deep understanding of the codebase structure, affects over 50 files across multiple applications (calendar, mail, drive, components), and requires tracing all import dependencies to ensure nothing breaks.",protonmail__webclients-caf10ba9ab2677761c88522d1ba8ad025779c492,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:03.116597,84,97,541,2.733999286538387
1,4,4,5,4,3,4,0,4,"This task requires deep knowledge of AWS ECR authentication mechanisms, distinguishing between public and private registries, and implementing credential caching with expiration handling. The solution involves creating new client abstractions for both public and private ECR, implementing a credentials store with caching, and integrating with the existing OCI authentication system. The domain knowledge required is highly specialized (AWS ECR APIs, ORAS authentication patterns) and the integration touches multiple files with careful coordination.",flipt-io__flipt-96820c3ad10b0b2305e8877b6b303f7fafdf815f,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:20.685106,9,32,360,2.5575072019056577
2,4,3,4,3,2,2,1,4,"This task requires implementing REST API endpoints for group invitation management across multiple layers (routes, controllers, API logic, OpenAPI docs, and client-side code). The solution follows standard patterns for Node.js/Express API development but requires deep understanding of the NodeBB codebase architecture, including how routes, controllers, API modules, and socket handlers interact. The problem statement clearly describes what needs to be achieved (API endpoints for invitations) though doesn't specify exact implementation details.",NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:44.236519,8,12,256,2.4099331233312946
2,4,4,4,3,3,3,0,5,"The problem statement clearly describes changing 'members' to 'email addresses' but the gold patch reveals extensive refactoring across 13+ files, moving components between packages, adding new props for compose functionality, and restructuring modal interactions. This requires deep knowledge of the Proton components architecture and how contact groups, modals, and recipients integrate across the mail and components packages. The integration is pervasive, touching drawer views, modal headers, contact hooks, and multiple view components.",protonmail__webclients-32ff10999a06455cb2147f6873d627456924ae13,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:48.817214,12,36,272,2.436162647040756
