instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,entry_point_clarity,change_blast_radius,fix_localization
django__django-11880,2,5,3,2,1,2,1,4,3,4,2,1,4,1,1,2,2,1,1,2,2026-03-07T02:09:33.029201,claude-sonnet-4-6,anthropic,django__django-11880,5,2,5
django__django-12039,3,5,3,2,1,2,1,5,5,5,2,1,5,1,1,4,2,3,2,2,2026-03-07T02:09:33.117079,claude-sonnet-4-6,anthropic,django__django-12039,5,2,5
django__django-12193,2,5,3,2,2,2,1,5,4,4,2,1,5,1,1,4,2,3,1,2,2026-03-07T02:09:33.642605,claude-sonnet-4-6,anthropic,django__django-12193,5,2,5
astropy__astropy-14598,1,4,4,4,3,2,0,4,5,4,4,2,5,1,2,3,2,3,2,3,2026-03-07T02:05:36.387137,claude-sonnet-4-6,anthropic,astropy__astropy-14598,4,2,4
django__django-13297,1,4,4,3,3,2,0,4,5,4,3,2,5,1,3,2,2,2,2,3,2026-03-07T02:09:42.936035,claude-sonnet-4-6,anthropic,django__django-13297,5,2,4
sympy__sympy-21847,3,5,2,2,1,2,1,4,5,4,2,1,5,1,2,4,2,3,1,2,2026-03-07T02:13:16.255794,claude-sonnet-4-6,anthropic,sympy__sympy-21847,5,2,5
matplotlib__matplotlib-20676,1,4,4,3,3,2,0,4,5,4,3,2,5,1,2,4,3,3,2,3,2026-03-07T02:10:19.843087,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-20676,4,2,4
django__django-14155,3,5,3,2,2,2,1,3,3,4,2,1,4,1,2,4,3,3,2,2,2026-03-07T02:09:51.992061,claude-sonnet-4-6,anthropic,django__django-14155,5,2,5
sphinx-doc__sphinx-9591,1,4,4,3,3,2,1,3,5,4,3,2,5,1,2,2,3,1,2,3,2026-03-07T02:11:06.316891,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9591,4,2,4
django__django-11087,2,4,4,4,3,3,0,5,4,4,4,3,5,1,3,4,3,3,3,4,2026-03-07T02:05:36.517399,claude-sonnet-4-6,anthropic,django__django-11087,4,2,4
django__django-16938,3,5,4,3,3,2,0,5,5,3,3,2,5,1,2,4,3,2,1,2,2026-03-07T02:10:16.693753,claude-sonnet-4-6,anthropic,django__django-16938,4,2,4
django__django-15569,3,5,3,2,1,2,1,4,3,5,1,1,4,1,2,3,2,2,1,2,2026-03-07T02:10:04.841156,claude-sonnet-4-6,anthropic,django__django-15569,5,2,5
django__django-13794,2,4,4,3,2,2,1,5,4,4,2,1,4,1,2,3,2,2,1,2,2026-03-07T02:09:48.625243,claude-sonnet-4-6,anthropic,django__django-13794,5,2,5
django__django-11603,3,5,3,1,1,1,1,3,3,4,1,1,4,1,2,3,2,2,1,2,2026-03-07T02:09:27.877386,claude-sonnet-4-6,anthropic,django__django-11603,5,2,5
django__django-11551,3,5,3,3,2,2,1,5,5,5,3,1,5,1,2,2,3,2,3,2,2026-03-07T02:09:28.997657,claude-sonnet-4-6,anthropic,django__django-11551,5,2,5
django__django-16502,1,4,5,4,4,3,0,4,5,5,4,2,5,1,2,4,3,3,3,3,2026-03-07T02:10:13.661026,claude-sonnet-4-6,anthropic,django__django-16502,4,2,5
sympy__sympy-21596,1,4,5,4,4,3,0,4,5,5,4,2,5,0,3,4,3,4,4,4,2026-03-07T02:13:14.728786,claude-sonnet-4-6,anthropic,sympy__sympy-21596,4,2,5
sphinx-doc__sphinx-10449,0,5,4,3,2,2,0,4,5,5,3,2,5,1,2,2,2,1,2,3,2026-03-07T02:12:45.338218,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-10449,4,2,4
django__django-15103,2,5,2,2,1,2,1,3,3,4,1,2,3,1,2,3,1,2,2,2,2026-03-07T02:10:00.503222,claude-sonnet-4-6,anthropic,django__django-15103,5,2,4
sympy__sympy-11618,1,4,3,3,2,2,1,4,5,5,2,1,5,1,2,1,1,1,3,2,2026-03-07T02:19:58.423983,claude-sonnet-4-6,anthropic,sympy__sympy-11618,5,2,4
django__django-15695,2,4,4,3,3,2,0,5,5,4,3,2,5,1,2,2,2,2,1,3,2026-03-07T02:10:08.288689,claude-sonnet-4-6,anthropic,django__django-15695,5,2,5
django__django-13741,2,4,3,2,1,2,1,3,2,4,1,1,4,1,3,2,1,2,1,3,2026-03-07T02:09:47.335846,claude-sonnet-4-6,anthropic,django__django-13741,5,2,5
django__django-15380,1,4,4,3,3,2,0,5,4,3,2,1,4,1,1,2,3,2,1,3,2026-03-07T02:10:03.948604,claude-sonnet-4-6,anthropic,django__django-15380,5,2,5
django__django-14315,2,4,3,2,2,2,1,4,2,4,2,2,4,1,2,4,4,3,1,2,2026-03-07T02:09:53.179068,claude-sonnet-4-6,anthropic,django__django-14315,5,2,5
django__django-11951,3,5,3,2,1,2,1,4,3,5,1,1,5,1,2,2,2,2,1,2,2026-03-07T02:09:32.998068,claude-sonnet-4-6,anthropic,django__django-11951,5,2,5
django__django-13346,0,4,5,4,4,3,0,3,4,4,4,2,4,0,2,4,3,4,4,4,2026-03-07T02:09:42.891013,claude-sonnet-4-6,anthropic,django__django-13346,4,2,5
scikit-learn__scikit-learn-14894,2,5,3,2,2,2,1,5,5,4,2,1,5,1,1,2,2,2,2,2,2026-03-07T02:10:50.845628,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-14894,5,2,5
django__django-13809,2,4,3,2,1,2,1,3,2,4,1,1,3,1,2,4,4,3,1,2,2026-03-07T02:09:48.166661,claude-sonnet-4-6,anthropic,django__django-13809,5,2,5
sympy__sympy-16450,2,4,3,2,2,2,1,4,5,4,2,1,5,1,3,2,2,1,1,2,2026-03-07T02:13:08.269338,claude-sonnet-4-6,anthropic,sympy__sympy-16450,5,2,5
django__django-14765,3,5,2,1,2,1,1,4,3,5,1,1,4,1,2,1,1,2,1,2,2026-03-07T02:09:57.303983,claude-sonnet-4-6,anthropic,django__django-14765,5,2,5
matplotlib__matplotlib-21568,3,5,3,2,2,2,1,3,5,4,2,1,5,1,2,4,2,3,2,2,2026-03-07T02:10:20.465539,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-21568,4,2,5
sphinx-doc__sphinx-7757,0,4,4,4,3,2,0,3,5,4,4,2,4,1,2,3,2,2,3,3,2026-03-07T02:10:56.868693,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7757,4,2,5
