instance_id,codebase_scope,logical_reasoning_required,atypicality,test_edge_case_coverage,solution_complexity,debugging_complexity,domain_knowledge_required,side_effect_risk,codebase_scale,test_comprehensiveness,error_specificity,expected_behavior_clarity,information_completeness,solution_hint,integration_complexity
numpy__numpy-7853cbc,1,4,4,3,4,2,5,3,4.0,4,3,3,4,2,4
huggingface__tokenizers-076319d,2,4,3,3,4,2,4,4,5.0,3,3,3,4,3,4
huggingface__datasets-ef3b5dd,5,4,4,2,5,4,4,4,4.0,3,3,3,4,3,5
numpy__numpy-8dd6761,4,4,4,3,4,2,5,2,4.0,3,3,3,4,2,4
numpy__numpy-ac5c664,4,4,4,3,5,2,5,3,4.0,4,3,3,4,3,4
huggingface__tokenizers-c893204,1,4,4,2,4,3,4,3,3.0,3,3,3,4,1,3
huggingface__datasets-5994036,3,4,3,1,3,2,4,3,4.0,3,3,3,4,1,4
pandas-dev__pandas-f298507,4,3,3,2,4,2,4,3,4.0,3,3,3,5,2,4
pandas-dev__pandas-45f0705,3,3,3,2,3,2,4,3,4.0,3,3,3,4,1,3
numpy__numpy-09db9c7,4,4,4,4,4,2,5,3,4.0,4,3,3,4,3,4
python-pillow__Pillow-f854676,1,3,3,1,3,2,4,3,4.0,2,3,3,4,2,4
uploadcare__pillow-simd-d970a39,1,3,3,2,3,2,5,2,4.0,3,3,3,5,3,3
pandas-dev__pandas-2278923,2,4,3,1,4,3,4,3,4.0,2,4,3,5,2,4
numpy__numpy-330057f,2,4,4,4,3,3,5,1,4.0,4,3,3,4,3,3
numpy__numpy-b862e4f,3,3,4,2,3,2,5,3,4.0,2,4,3,5,3,4
numpy__numpy-893db31,4,4,4,2,4,2,5,3,4.0,3,3,3,4,3,4
pandas-dev__pandas-fd43d4b,3,3,3,1,3,2,4,3,4.0,2,4,3,5,3,4
pandas-dev__pandas-84aca21,3,4,3,4,3,2,4,3,4.0,4,3,3,5,2,3
pandas-dev__pandas-d377cc9,2,4,3,1,4,3,4,3,4.0,2,3,3,5,1,4
numpy__numpy-11a7e2d,3,4,4,3,4,2,5,3,4.0,3,4,4,5,3,4
uploadcare__pillow-simd-b4045cf,2,4,4,2,5,2,5,3,4.0,3,3,3,5,3,4
pandas-dev__pandas-191557d,2,3,3,1,3,2,4,3,5.0,2,3,3,4,1,3
uploadcare__pillow-simd-0514e20,1,4,4,2,5,1,5,3,4.0,2,3,3,5,3,2
pandas-dev__pandas-ccca5df,5,4,3,1,5,2,5,4,4.0,2,3,3,5,3,5
pandas-dev__pandas-e7e3676,3,4,4,1,4,3,5,4,4.0,2,3,3,4,2,4
