solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,integration_complexity,reasoning,_task_id,_model,_provider,_extracted_at,num_files_modified,num_hunks,num_lines_changed,log_lines_changed
2,4,1,3,2,2,2,1,2,"The problem clearly describes the issue with shallow copy of error_messages dictionary and points to the exact method. The solution is a trivial one-liner adding `.copy()` for the error_messages dict, following the same pattern already used for validators. Requires understanding of Python's copy semantics and Django forms internals, but the fix pattern is standard.",django__django-11880,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:22.196724,1,1,1,0.3010299956639812
2,4,2,4,2,2,2,1,3,"The problem clearly identifies the whitespace formatting issue and even points to the exact line causing the bug (ddl_references.py#L87). The fix requires understanding Django's DDL reference classes and how col_suffixes are handled, but the actual code change is straightforward - just checking if suffix is non-empty before appending with a space. The solution follows a common pattern of conditional string formatting.",django__django-12039,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:24.226454,1,2,12,1.1139433523068367
2,4,1,3,2,2,2,1,2,"The problem statement clearly identifies the root cause (CheckboxInput mutating the attrs dict) and even links to the exact line of code. The fix is a simple one-liner that creates a new dict instead of mutating the input dict - a well-known Python pattern for avoiding side effects. The main challenge is understanding Django's widget system, but the solution itself is trivial once the problem is understood.",django__django-12193,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:27.076145,1,1,4,0.6989700043360189
0,4,3,4,4,3,3,0,3,"The fix requires understanding FITS card parsing internals, specifically regex patterns for string matching and quote handling in multi-line CONTINUE cards. The solution involves two subtle changes: adding a $ anchor to a regex to prevent greedy matching, and removing premature quote replacement in the _split method. This requires deep knowledge of FITS format specifications and the library's internal parsing logic.",astropy__astropy-14598,claude-opus-4-5-20251101,anthropic,2026-01-24T15:43:57.743400,1,2,4,0.6989700043360189
1,4,3,4,3,4,3,0,3,"The task requires understanding Django's lazy evaluation mechanisms (SimpleLazyObject vs lazy function) and why SimpleLazyObject doesn't work with database filtering while lazy() with proper type preservation does. The solution involves replacing @SimpleLazyObject decorator with lazy(access_value, type(value))() to preserve the original value's type, which is a subtle distinction requiring deep Django internals knowledge. The hints point to the regression commit but don't explain the actual fix needed.",django__django-13297,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:43.180453,1,3,5,0.7781512503836436
3,5,1,3,2,1,2,1,1,"The hints section provides the exact diff needed to fix the issue, making this extremely straightforward. The bug is a simple logic error where `max()` was used instead of `sum()` to check total degree - a trivial one-line change in two places. The problem is clearly explained with examples, and verification is straightforward through the test case.",sympy__sympy-21847,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:49.241584,1,2,4,0.6989700043360189
0,4,2,4,3,3,2,0,3,"The bug is clearly described with reproduction steps, but the solution requires understanding Matplotlib's widget internals, specifically how SpanSelector initializes edge handles and how extents vs axis bounds differ. The fix itself is simple (using get_xbound/get_ybound instead of extents for initial position), but finding this requires deep knowledge of the ToolLineHandles initialization and how it affects axis limits.",matplotlib__matplotlib-20676,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:55.082820,1,1,7,0.9030899869919435
2,4,2,3,2,2,2,1,2,The problem statement clearly identifies the issue (functools.partial not displaying nicely in __repr__) and even hints at the solution approach (unwrapping partial objects). The fix is straightforward - add a conditional check for functools.partial and use repr() instead of _func_path. The solution requires Django-specific knowledge about ResolverMatch but follows standard Python patterns for handling partial functions.,django__django-14155,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:01.967568,1,1,13,1.146128035678238
0,4,2,4,3,3,2,1,3,"The fix requires understanding Sphinx's internal domain handling and how type annotations are parsed and rendered. The solution involves using `_parse_annotation()` to convert type strings into cross-referenceable nodes, which is a pattern already used elsewhere in the codebase. The problem is clearly described but gives no hints about the solution, requiring familiarity with Sphinx's Python domain implementation.",sphinx-doc__sphinx-9591,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:17.636107,1,1,3,0.6020599913279624
2,4,3,4,4,3,3,0,4,"The task requires deep understanding of Django's ORM deletion collector mechanism and how related objects are fetched during cascade deletes. The solution involves modifying the collect() method to defer non-referenced fields only when signals aren't connected, requiring careful reasoning about when the optimization is safe. The hints provide direction toward using only() on related object queries, but the implementation details for determining which fields are actually needed (foreign key related fields) requires significant framework internals knowledge.",django__django-11087,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:03.772077,1,4,30,1.4913616938342726
3,4,1,4,3,3,2,1,2,"The hints section provides the exact solution: calling `select_related()` without arguments to clear the select_related before calling `only('pk')`. The fix is trivial (adding `.select_related()` in two files), but understanding WHY this works requires deep Django ORM knowledge about how select_related() without arguments clears previous select_related calls, and how this interacts with only(). The problem is clearly described with a reproducible example and traceback.",django__django-16938,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:50.442195,2,2,8,0.9542425094393249
