solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
1,4,5,4,4,4,0,5,5,4,4,2,5,1,4,3,3,3,5,5,numpy__numpy-7853cbc,2026-03-06T22:04:20.827087,gpt-5.4-2026-03-05,openai,numpy__numpy-7853cbc,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,3,3,3,5,1,4,3,3,2,4,4,huggingface__tokenizers-076319d,2026-03-06T22:05:13.462699,gpt-5.4-2026-03-05,openai,huggingface__tokenizers-076319d,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0
2,3,4,4,4,4,0,3,5,4,4,4,5,1,4,4,2,3,5,5,huggingface__datasets-ef3b5dd,2026-03-06T22:04:20.190663,gpt-5.4-2026-03-05,openai,huggingface__datasets-ef3b5dd,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0
2,4,5,4,4,4,1,3,5,4,4,4,5,1,3,2,3,3,5,4,numpy__numpy-8dd6761,2026-03-06T22:05:01.573264,gpt-5.4-2026-03-05,openai,numpy__numpy-8dd6761,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,5,4,4,4,1,4,5,3,4,4,5,1,4,4,4,4,5,5,numpy__numpy-ac5c664,2026-03-06T22:05:00.001614,gpt-5.4-2026-03-05,openai,numpy__numpy-ac5c664,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,4,4,0,3,5,3,2,2,5,1,4,2,1,1,4,4,huggingface__tokenizers-c893204,2026-03-06T22:05:13.628283,gpt-5.4-2026-03-05,openai,huggingface__tokenizers-c893204,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
2,4,4,4,2,3,1,4,5,4,2,3,5,1,3,4,3,4,4,4,huggingface__datasets-5994036,2026-03-06T22:04:21.416294,gpt-5.4-2026-03-05,openai,huggingface__datasets-5994036,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,3,3,5,1,3,2,3,2,4,4,pandas-dev__pandas-f298507,2026-03-06T22:05:01.135616,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-f298507,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1,4,4,3,3,3,1,4,5,4,3,3,5,1,3,2,3,1,2,3,pandas-dev__pandas-45f0705,2026-03-06T22:05:02.282843,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-45f0705,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,3,5,4,4,4,5,1,4,3,2,3,5,5,numpy__numpy-09db9c7,2026-03-06T22:04:59.172999,gpt-5.4-2026-03-05,openai,numpy__numpy-09db9c7,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,3,2,5,1,4,2,2,1,3,4,python-pillow__Pillow-f854676,2026-03-06T22:05:12.298848,gpt-5.4-2026-03-05,openai,python-pillow__Pillow-f854676,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0
2,4,5,4,3,4,1,3,5,3,3,2,5,1,3,2,2,2,4,3,uploadcare__pillow-simd-d970a39,2026-03-06T22:05:12.887745,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-d970a39,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,3,2,5,1,4,1,1,1,4,4,pandas-dev__pandas-2278923,2026-03-06T22:05:11.533417,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-2278923,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
1,4,5,4,3,4,1,4,5,4,4,3,5,1,3,4,3,4,4,4,numpy__numpy-330057f,2026-03-06T22:04:59.758794,gpt-5.4-2026-03-05,openai,numpy__numpy-330057f,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
1,4,5,4,4,4,0,4,5,4,4,3,5,1,3,3,3,2,4,4,numpy__numpy-b862e4f,2026-03-06T22:04:20.677340,gpt-5.4-2026-03-05,openai,numpy__numpy-b862e4f,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
