localization_strategy,hypothesis_testing,incremental_vs_big_bang,error_recovery,verification_approach,exploration_depth,edit_precision,iteration_count,test_creation,context_gathering,brief_summary,task_id,agent,resolved,original_steps,filtered_steps,error,raw_response
2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,"Agent quickly found the issue in get_admin_url method using a simple search and made a targeted fix by adding current_app parameter, but struggled with test setup and execution.",django__django-14855,20240728_sweagent_gpt4o,True,68,64,,
1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,"The agent jumped directly to the correct file and method without visible search, made a focused fix to pass autoescape parameter, then created a reproduction test to verify the fix works.",django__django-11119,20240728_sweagent_gpt4o,True,24,18,,
2.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,"Agent created a reproduction script, used error message to locate the bug via simple search, then iteratively fixed the array comparison issue through trial and error with different numpy comparison approaches.",astropy__astropy-14539,20240728_sweagent_gpt4o,True,12,9,,
2.0,1.0,5.0,3.0,2.0,1.0,5.0,4.0,1.0,2.0,"Agent found the bug location via direct file search, made a surgical regex escape fix, then created a reproduction script to verify the fix works.",django__django-12143,20240728_sweagent_gpt4o,True,52,46,,
1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,"Agent immediately jumped to a specific file and line to make a change, then spent most time struggling with test setup rather than verifying the fix worked properly.",django__django-11951,20240728_sweagent_gpt4o,True,55,53,,
,,,,,,,,,,,django__django-11880,20240728_sweagent_gpt4o,True,8,6,"JSON parse error: Expecting ',' delimiter: line 12 column 5 (char 288)","{
    ""localization_strategy"": 2,
    ""hypothesis_testing"": 2,
    ""incremental_vs_big_bang"": 1,
    ""error_recovery"": 0,
    ""verification_approach"": 2,
    ""exploration_depth"": 1,
    ""edit_precision"": 4,
    ""iteration_count"": 1,
    ""test_creation"": 1,
    ""context_gathering"": 2
    ""brief_summary"": ""Agent used simple file search to locate the target file, made a single focused edit to add error_messages deepcopy, and created a reproduction script to verify the fix.""
}"
3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,"Agent created a reproduction script to verify the memoryview bug, then located the HttpResponse class and fixed the content setter with a targeted edit to handle memoryview objects.",django__django-11133,20240728_sweagent_gpt4o,True,15,12,,
2.0,1.0,4.0,2.0,2.0,1.0,5.0,3.0,1.0,2.0,"Agent used simple file search to locate validators, made precise regex changes to prevent newline acceptance, and created a reproduction script to verify the fix worked correctly.",django__django-11099,20240728_sweagent_gpt4o,True,12,9,,
1.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,"Agent directly opened the target file and added a __reversed__ method to OrderedSet with minimal exploration, then created a simple test script to verify the implementation works.",django__django-14089,20240728_sweagent_gpt4o,True,14,11,,
1.0,0.0,4.0,2.0,2.0,1.0,4.0,5.0,1.0,2.0,"Agent directly opened the admin options.py file and made targeted edits to add a get_inlines method and modify get_inline_instances, with multiple test attempts and minor adjustments when encountering syntax errors.",django__django-11095,20240728_sweagent_gpt4o,True,68,44,,
