instance_id,codebase_scope,test_comprehensiveness,environment_setup_complexity,debugging_complexity,atypicality,side_effect_risk,similar_issue_likelihood,problem_clarity,fix_localization,information_completeness,solution_hint,implementation_language_complexity,solution_complexity,standard_pattern_available,error_specificity
astropy__astropy-12907,1,4,2,3,4,3,1,4,4,5,1,2,1,0,4
astropy__astropy-13033,1,3,3,1,1,1,1,5,4,5,3,2,2,1,5
astropy__astropy-13236,1,4,3,1,2,3,1,5,4,5,3,3,1,1,4
astropy__astropy-13398,4,4,3,4,4,4,0,4,4,5,3,2,4,0,3
astropy__astropy-13453,1,2,3,2,2,2,1,5,4,5,3,3,2,1,4
astropy__astropy-13579,1,2,3,2,3,3,1,5,4,5,3,2,3,0,4
astropy__astropy-13977,1,4,3,3,3,4,1,4,4,5,2,3,3,0,5
astropy__astropy-14096,1,2,2,2,3,3,1,5,4,5,2,2,1,1,5
astropy__astropy-14182,1,3,3,2,3,3,1,4,4,5,1,2,3,0,5
astropy__astropy-14309,1,2,3,1,1,2,1,5,4,5,2,2,1,1,5
astropy__astropy-14365,1,3,3,1,1,1,1,5,5,5,3,2,1,1,5
astropy__astropy-14369,1,4,2,3,3,3,1,5,4,5,2,2,3,0,4
astropy__astropy-14508,1,3,3,1,2,3,1,5,4,5,3,3,2,1,5
astropy__astropy-14539,1,4,3,1,2,1,1,5,4,5,3,2,1,1,5
astropy__astropy-14598,1,3,3,4,4,3,1,5,4,5,1,3,3,0,5
astropy__astropy-14995,1,4,3,1,2,2,1,5,4,5,3,2,1,1,5
astropy__astropy-7166,1,2,3,1,2,2,1,5,4,4,3,2,1,1,4
astropy__astropy-7336,1,3,2,1,1,1,1,5,5,5,2,2,1,1,5
astropy__astropy-7606,1,3,3,2,2,3,1,5,5,5,1,3,2,1,5
astropy__astropy-7671,1,3,2,1,2,2,1,5,4,5,3,2,2,1,5
astropy__astropy-8707,2,3,3,2,2,2,1,4,4,4,2,2,3,1,4
astropy__astropy-8872,1,2,3,2,3,3,1,5,4,5,3,3,2,0,5
django__django-10097,1,4,2,2,2,3,1,5,4,5,3,2,1,1,4
django__django-10554,2,4,2,4,4,3,1,4,4,4,1,2,3,0,5
django__django-10880,1,2,2,1,1,2,1,5,4,4,3,2,1,1,4
