instance_id,domain_knowledge_required,atypicality,problem_clarity,standard_pattern_available,reproduction_clarity,solution_hint,debugging_complexity,information_completeness,verification_difficulty,side_effect_risk,error_specificity,logical_reasoning_required,codebase_scope,expected_behavior_clarity,similar_issue_likelihood
abetlen__llama-cpp-python-218d361,4,3,2,0,2,0,3,1,4,2,3,3,1,2,1
abetlen__llama-cpp-python-2bc1d97,4,4,2,0,2,0,3,2,4,2,3,3,1,2,1
huggingface__datasets-5994036,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
huggingface__datasets-c5464b3,4,3,2,0,2,0,2,2,3,3,3,3,2,3,1
huggingface__datasets-ef3b5dd,4,3,2,0,2,0,3,2,4,3,3,3,3,2,1
huggingface__tokenizers-076319d,4,3,2,0,2,0,3,2,3,2,3,4,3,2,1
huggingface__tokenizers-bfd9cde,4,3,2,0,2,0,3,2,4,2,3,4,3,2,1
huggingface__tokenizers-c893204,4,4,2,0,2,0,3,2,4,3,3,4,2,2,1
huggingface__tokenizers-fc76ad4,5,4,2,0,2,0,4,2,4,2,3,4,3,2,1
huggingface__transformers-211f93a,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
huggingface__transformers-253f9a3,4,3,2,1,2,0,2,2,4,2,3,3,1,2,1
huggingface__transformers-63b90a5,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
huggingface__transformers-d51b589,4,3,2,0,3,0,3,2,4,3,3,4,2,2,1
numpy__numpy-09db9c7,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-11a7e2d,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
numpy__numpy-19bfa3f,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-1b861a2,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-1fcda82,5,4,2,0,2,0,3,2,4,2,3,4,3,2,1
numpy__numpy-22ab9aa,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-248c60e,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-2540554,4,3,3,0,2,0,2,2,3,3,3,4,1,2,1
numpy__numpy-28706af,4,3,3,0,2,0,3,2,3,3,3,4,3,2,1
numpy__numpy-2dfd21e,5,4,2,0,2,0,3,1,4,2,3,4,2,2,1
numpy__numpy-330057f,4,3,2,0,2,0,3,1,3,3,3,4,3,2,1
numpy__numpy-382b3ff,4,4,2,0,2,0,3,1,4,2,3,4,2,2,1
numpy__numpy-567b57d,4,3,2,0,2,0,2,2,3,3,3,3,1,2,1
numpy__numpy-5f94eb8,5,4,2,0,2,0,3,2,4,2,3,4,2,2,1
numpy__numpy-68eead8,4,4,2,0,2,0,3,2,3,3,3,4,2,2,1
numpy__numpy-728fedc,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
numpy__numpy-780799b,4,3,2,0,2,0,3,2,3,3,3,4,2,2,1
numpy__numpy-7853cbc,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-794f474,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-7ff7ec7,3,2,2,1,2,0,2,2,3,3,3,3,1,2,1
numpy__numpy-83c780d,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-893db31,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-8dd6761,5,4,2,0,2,0,3,1,4,3,3,4,3,2,1
numpy__numpy-905d37e,4,3,2,0,2,0,2,2,3,2,3,4,2,2,1
numpy__numpy-ac5c664,5,4,2,0,2,0,3,2,4,3,3,4,2,2,1
numpy__numpy-b862e4f,5,4,2,0,2,0,4,1,4,2,3,4,4,2,1
numpy__numpy-ba89ef9,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-be52f19,5,4,2,0,2,0,3,1,4,2,3,4,3,2,1
numpy__numpy-cb0d7cd,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-cb461ba,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-cedba62,4,3,2,1,2,0,2,2,3,3,3,4,1,2,1
numpy__numpy-e801e7a,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-eb21b25,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-ec52363,4,4,2,0,2,0,3,2,4,2,3,4,2,2,1
numpy__numpy-ee75c87,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-ef5e545,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-061c2e9,4,3,2,0,2,0,3,2,3,2,3,3,2,2,1
pandas-dev__pandas-191557d,4,3,2,0,2,0,3,2,4,3,3,4,2,2,1
pandas-dev__pandas-1c2ad16,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-2278923,4,3,2,0,1,0,3,1,4,3,3,4,2,2,1
pandas-dev__pandas-233bd83,4,3,2,0,2,0,3,2,3,3,3,3,3,2,1
pandas-dev__pandas-235113e,4,2,3,1,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-2421931,4,3,2,0,2,0,3,2,3,3,3,3,3,2,1
pandas-dev__pandas-2a08b05,4,3,2,0,1,0,2,1,3,3,3,3,1,2,1
pandas-dev__pandas-2cdca01,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-2f4c93e,4,3,2,0,2,0,3,2,3,2,3,4,2,2,1
pandas-dev__pandas-37e9e06,4,3,2,1,2,0,2,2,3,1,3,3,1,2,1
pandas-dev__pandas-438b957,4,3,3,0,2,0,3,2,3,3,3,3,2,2,1
