localization_strategy,hypothesis_testing,incremental_vs_big_bang,error_recovery,verification_approach,exploration_depth,edit_precision,iteration_count,test_creation,context_gathering,brief_summary,task_id,agent,resolved,original_steps,filtered_steps
1,1,2,0,2,1,4,2,1,2,"Agent created a reproduction script, jumped directly to a specific line in python.py to remove a string replacement, but the fix didn't work and they created a fake test script instead of continuing to debug.",pytest-dev__pytest-6202,20240402_sweagent_gpt4,True,14,9
3,1,4,3,2,2,4,4,1,3,"Agent created a reproduction script to understand the problem, then searched for and modified the Django admin checks code to fix the list_display validation logic.",django__django-11551,20240402_sweagent_gpt4,True,17,15
3,1,3,2,2,2,4,2,1,3,"Agent created a reproduction script to identify the bug, located the problematic code using the error traceback and find command, then applied a focused fix with basic verification.",astropy__astropy-7336,20240402_sweagent_gpt4,True,13,11
2,1,4,3,2,1,2,4,1,2,"Agent created a reproduction script, then directly navigated to the IsolationForest file and made several targeted edits to fix feature name validation, recovering from errors by simplifying the approach.",scikit-learn__scikit-learn-25931,20240402_sweagent_gpt4,True,17,15
2,2,3,2,2,1,4,3,1,2,"The agent created a reproduction script to understand the bug, then found and fixed the AutoField metaclass by adding BigAutoField to the _subclasses list.",django__django-14238,20240402_sweagent_gpt4,True,26,23
2,1,3,3,2,1,3,5,1,2,"Agent found the runserver command file using a simple search, added the --skip-checks argument and modified the system check logic, then created a reproduction script that eventually ran but timed out during execution.",django__django-13809,20240402_sweagent_gpt4,True,19,18
3,2,4,3,2,2,5,2,1,3,"Agent created a reproduction script to verify the issue, then used targeted search to find the specific 'y' method in dateformat.py and made a precise fix to handle 2-digit year formatting correctly.",django__django-13670,20240402_sweagent_gpt4,True,13,11
1,1,1,0,3,1,5,1,2,3,"The agent jumped directly to the correct file and made a surgical fix to the trim_docstring function, then created comprehensive tests to verify the solution.",django__django-12155,20240402_sweagent_gpt4,True,10,8
1,1,2,2,2,1,4,3,1,1,"Agent directly opened auth backends file and made a targeted fix to add null checks for username/password, then created a test script to verify the fix works.",django__django-11451,20240402_sweagent_gpt4,True,21,18
2,1,4,2,2,1,4,4,1,2,"The agent created a reproduction script to test overflow scenarios and found the bug location using a simple search, then applied a single targeted fix to prevent numerical overflow.",scikit-learn__scikit-learn-10844,20240402_sweagent_gpt4,True,20,18
3,1,2,2,2,2,2,2,1,3,"The agent created a reproduction script, located the symbols function through targeted search, attempted a fix with Function class detection but made a syntax error, then corrected it with a different approach using class name comparison.",sympy__sympy-23534,20240402_sweagent_gpt4,False,15,12
4,2,4,0,2,2,4,2,1,3,"Agent created a reproduction script, navigated directly to the ROC curve implementation, made a targeted fix to ensure thresholds stay within [0,1] bounds, and verified the change with testing.",scikit-learn__scikit-learn-26194,20240402_sweagent_gpt4,False,10,9
2,0,4,3,0,1,4,2,0,3,"Agent directly located the target file with a simple search, made a focused edit that failed due to scope issues, then successfully applied an alternative approach in the __init__ method.",django__django-11790,20240402_sweagent_gpt4,False,6,5
3,1,2,0,0,2,4,1,0,3,"Agent created test files and configuration, then explored autodoc module using targeted searches for 'autodoc_type_aliases' and 'autodoc_typehints' to understand the codebase structure.",sphinx-doc__sphinx-8459,20240402_sweagent_gpt4,False,24,20
2,1,1,0,1,1,2,1,1,2,"Agent created a reproduction script, ran it to trigger an error, then jumped directly to adapters.py and made a single edit adding logging to proxy_headers method without testing the fix.",psf__requests-6028,20240402_sweagent_gpt4,False,10,8
4,1,2,2,1,3,2,1,1,4,"The agent systematically explored Django's SQL compiler code by following import chains and searching for relevant functions like get_combinator_sql and get_order_by, identifying the specific error location where ORDER BY restrictions are enforced in compound statements. However, the agent only created a reproduction script and didn't implement an actual fix.",django__django-10554,20240402_sweagent_gpt4,False,24,23
3,2,4,2,2,2,1,2,1,3,"Agent created a reproduction script to verify the issue, then located the quantity.py file and examined the multiplication logic, but only added a comment rather than implementing a fix.",astropy__astropy-8872,20240402_sweagent_gpt4,False,16,13
1,1,3,3,2,1,3,4,1,2,"Agent directly opened the correct file without visible search, made several attempts to fix year parsing logic with iterative adjustments to both regex patterns and parsing logic.",django__django-11848,20240402_sweagent_gpt4,False,27,23
1,1,4,2,2,1,4,2,1,2,"Agent jumped directly to the autoreload.py file, made a targeted fix to change __spec__.parent to __spec__.name on line 227, then attempted to create a reproduction script but encountered Django configuration issues.",django__django-14311,20240402_sweagent_gpt4,False,14,12
1,1,1,2,2,1,4,2,1,2,"Agent jumped directly to a specific file and made a single line edit without exploration, then created a reproduction script to verify the fix worked.",django__django-14534,20240402_sweagent_gpt4,False,14,10
