instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
password-recovery,2,3,4,4,4,2,0,4,3,4,4,2,3,0,2,2,2,1,4,2,2026-03-07T23:26:03.159856,claude-opus-4-6,anthropic,password-recovery
financial-document-processor,2,4,4,4,4,4,0,4,3,4,4,2,3,1,2,4,4,3,4,3,2026-03-07T23:25:56.615886,claude-opus-4-6,anthropic,financial-document-processor
qemu-startup,2,4,4,3,3,4,1,4,4,4,3,1,3,1,3,3,3,1,3,4,2026-03-07T23:26:09.545297,claude-opus-4-6,anthropic,qemu-startup
db-wal-recovery,1,4,4,4,4,2,0,4,3,5,3,1,3,0,2,5,4,4,3,2,2026-03-07T23:25:48.198071,claude-opus-4-6,anthropic,db-wal-recovery
hf-model-inference,3,5,3,3,2,3,1,5,4,5,2,2,5,1,3,4,3,3,3,3,2026-03-07T23:25:56.844321,claude-opus-4-6,anthropic,hf-model-inference
winning-avg-corewars,1,4,5,4,5,4,0,5,5,5,4,1,4,0,1,4,4,3,5,3,2026-03-07T23:26:15.728425,claude-opus-4-6,anthropic,winning-avg-corewars
gpt2-codegolf,1,4,5,5,5,4,0,4,4,4,5,1,3,0,2,2,3,1,5,3,2026-03-07T23:25:55.675706,claude-opus-4-6,anthropic,gpt2-codegolf
sam-cell-seg,2,4,5,4,4,4,0,4,4,4,4,1,4,0,2,5,4,4,5,4,2026-03-07T23:26:11.529590,claude-opus-4-6,anthropic,sam-cell-seg
path-tracing-reverse,1,4,4,4,4,3,0,4,4,4,4,1,4,0,2,4,4,2,4,3,2026-03-07T23:26:03.536279,claude-opus-4-6,anthropic,path-tracing-reverse
gcode-to-text,0,2,5,5,5,4,0,2,2,2,5,1,2,0,3,2,1,1,5,4,2026-03-07T23:25:55.692064,claude-opus-4-6,anthropic,gcode-to-text
chess-best-move,1,4,4,4,4,2,0,4,3,5,4,1,3,0,3,2,2,1,4,4,2026-03-07T23:25:49.263524,claude-opus-4-6,anthropic,chess-best-move
