instance_id,atypicality,logical_reasoning_required,solution_complexity,verification_difficulty,dependency_complexity,information_completeness,codebase_scope,problem_clarity,test_edge_case_coverage,test_assertion_complexity,standard_pattern_available,fix_localization,solution_hint,error_specificity,testing_infrastructure_quality
password-recovery,4,3,4,2,1,4,2,4,1,1,0,5,1,4,1
financial-document-processor,4,4,5,3,1,3,2,4,3,4,0,4,2,4,1
qemu-startup,3,3,3,3,2,4,1,4,1,2,1,5,2,4,2
db-wal-recovery,5,4,4,2,1,3,2,4,3,3,0,5,1,4,2
hf-model-inference,2,2,3,2,3,5,2,5,3,3,1,4,3,5,2
winning-avg-corewars,5,4,5,2,1,4,2,4,3,3,0,5,1,5,4
gpt2-codegolf,5,5,5,4,2,3,1,4,1,2,0,5,1,4,1
sam-cell-seg,5,4,5,4,4,4,2,4,3,4,0,4,2,4,2
path-tracing-reverse,4,4,5,3,2,3,1,4,3,4,0,5,1,4,2
gcode-to-text,5,4,5,3,1,3,1,4,1,1,0,5,0,4,1
chess-best-move,5,4,5,3,1,3,1,4,1,2,0,5,1,4,1
bn-fit-modify,4,4,4,4,1,3,2,4,2,4,0,5,2,4,1
fix-code-vulnerability,3,4,3,2,1,4,2,4,4,3,1,5,2,4,5
caffe-cifar-10,4,4,4,4,5,4,3,4,4,4,1,4,2,5,3
reshard-c4-data,4,4,4,4,1,3,2,3,3,4,0,4,1,4,2
mcmc-sampling-stan,4,3,4,3,4,4,2,5,2,4,1,4,3,5,1
portfolio-optimization,3,3,3,3,2,4,3,4,3,4,1,4,2,4,4
raman-fitting,4,4,3,3,1,2,1,4,1,3,0,5,1,4,1
make-doom-for-mips,5,4,5,4,2,3,3,3,2,4,0,4,1,3,2
break-filter-js-from-html,4,4,2,2,2,3,2,4,2,4,1,5,1,4,4
openssl-selfsigned-cert,2,2,3,3,1,5,1,5,3,3,1,5,2,5,2
sqlite-with-gcov,3,3,3,2,2,4,2,4,3,3,1,4,2,4,2
query-optimize,3,4,3,3,1,3,1,3,4,4,1,5,0,3,3
torch-pipeline-parallelism,4,4,5,4,3,4,2,4,3,4,0,4,2,4,2
build-cython-ext,4,4,4,2,3,4,3,4,3,4,0,4,1,4,3
filter-js-from-html,3,4,3,4,2,3,1,3,5,4,1,5,1,3,1
nginx-request-logging,2,2,3,2,2,5,3,5,3,3,1,4,3,5,2
torch-tensor-parallelism,4,4,4,4,2,4,1,4,3,3,1,5,2,4,2
polyglot-c-py,5,4,4,2,1,5,1,5,3,3,0,5,1,5,1
overfull-hbox,5,4,4,2,1,3,2,4,4,4,0,5,1,4,4
distribution-search,5,5,5,2,2,4,1,4,3,4,0,5,1,5,1
model-extraction-relu-logits,5,5,5,3,2,3,2,4,2,4,0,5,1,4,1
prove-plus-comm,4,4,2,2,1,3,1,4,2,3,1,5,1,4,4
largest-eigenval,4,4,3,4,2,4,2,4,3,4,0,5,1,4,4
kv-store-grpc,3,3,3,2,2,4,2,5,3,3,1,5,3,4,1
llm-inference-batching-scheduler,5,5,5,3,1,4,3,4,4,4,0,4,1,5,3
git-multibranch,3,3,4,3,2,4,3,5,2,3,1,4,2,5,2
headless-terminal,4,4,4,4,1,2,2,3,3,2,1,5,1,3,1
pytorch-model-cli,4,4,5,3,2,3,3,4,2,3,0,4,1,4,1
mteb-retrieve,4,3,3,3,3,5,1,4,1,1,0,5,2,5,2
count-dataset-tokens,4,3,3,3,3,4,1,4,1,1,0,5,2,4,2
tune-mjcf,5,4,3,3,3,4,2,4,3,4,0,4,1,5,4
constraints-scheduling,3,4,3,3,1,4,2,4,4,5,0,5,1,5,2
extract-moves-from-video,5,3,5,4,2,3,1,4,2,4,0,5,1,4,1
cancel-async-tasks,3,4,3,4,1,4,1,4,5,4,1,5,1,4,2
extract-elf,4,4,4,3,1,3,1,4,2,4,0,5,1,4,2
merge-diff-arc-agi-task,5,5,4,4,1,3,2,4,2,3,0,5,1,4,3
modernize-scientific-stack,2,2,2,2,2,4,2,5,2,3,1,4,3,5,1
dna-insert,5,5,4,4,2,4,2,4,3,4,0,5,1,5,2
mteb-leaderboard,4,2,4,3,2,3,1,4,1,1,0,5,1,4,1
install-windows-3.11,5,4,4,4,4,4,3,4,3,4,0,4,2,4,2
feal-differential-cryptanalysis,5,5,5,2,1,3,2,3,1,2,0,4,2,4,1
video-processing,4,4,4,4,1,3,1,4,2,3,0,5,1,4,2
pypi-server,3,3,4,2,2,5,3,5,3,3,1,4,1,5,2
vulnerable-secret,2,3,3,1,1,2,1,3,2,2,1,5,1,3,1
pytorch-model-recovery,3,4,4,3,1,4,2,4,2,3,1,4,2,5,2
mailman,4,4,5,4,3,4,4,4,2,4,0,4,2,4,4
polyglot-rust-c,5,5,5,2,1,5,1,4,3,3,0,5,0,5,2
crack-7z-hash,3,3,3,2,4,3,1,4,1,1,1,5,1,4,2
dna-assembly,5,5,5,5,2,3,2,4,4,5,0,4,1,4,1
build-pov-ray,4,3,5,2,2,4,3,4,3,4,0,5,2,4,2
cobol-modernization,4,4,3,3,1,3,2,4,2,3,0,5,1,4,2
fix-ocaml-gc,5,5,4,3,3,3,4,3,2,1,0,4,1,4,4
write-compressor,4,4,5,2,1,3,2,4,3,3,0,5,1,4,2
rstan-to-pystan,4,4,4,4,4,4,2,4,3,4,0,5,2,4,2
protein-assembly,5,5,5,5,2,3,3,4,3,4,0,5,1,5,1
path-tracing,5,5,5,4,1,3,1,4,4,4,0,5,1,5,2
large-scale-text-editing,5,4,4,3,1,3,1,4,4,4,0,5,2,5,4
train-fasttext,3,3,3,3,2,3,2,3,2,3,1,5,1,4,1
multi-source-data-merger,2,3,3,3,2,4,2,5,2,3,1,5,2,5,1
regex-chess,5,5,5,4,2,4,1,4,5,5,0,5,1,5,4
schemelike-metacircular-eval,5,5,5,4,1,3,3,4,3,3,0,4,1,4,2
sanitize-git-repo,3,4,3,4,4,3,4,3,4,4,1,4,1,4,3
fix-git,2,3,3,3,2,2,2,3,1,2,1,4,1,2,2
configure-git-webserver,3,3,4,3,2,3,3,4,2,3,1,1,1,4,1
git-leak-recovery,3,3,3,3,1,4,2,4,4,4,1,4,1,4,2
circuit-fibsqrt,5,5,5,2,1,5,2,4,4,3,0,4,1,5,2
regex-log,3,4,4,4,1,4,1,4,5,3,0,5,2,5,1
custom-memory-heap-crash,5,5,5,4,4,4,3,3,4,3,0,5,1,4,2
sparql-university,3,4,4,4,1,4,1,4,3,3,1,5,2,5,1
compile-compcert,4,3,4,2,5,4,3,4,4,4,1,1,1,4,2
build-pmars,4,3,3,3,3,4,2,4,3,3,0,4,2,4,3
log-summary-date-ranges,2,3,3,2,1,4,1,5,2,3,1,5,1,5,2
code-from-image,4,4,4,2,1,3,1,3,1,2,0,5,1,4,1
qemu-alpine-ssh,3,3,5,2,3,4,2,4,1,2,1,5,1,4,2
feal-linear-cryptanalysis,5,5,5,2,1,4,3,4,1,2,0,4,2,4,2
make-mips-interpreter,5,5,5,3,2,3,5,3,2,4,0,4,1,3,2
adaptive-rejection-sampler,4,5,5,4,2,4,2,4,4,3,0,4,2,4,2
sqlite-db-truncate,5,5,4,3,1,3,1,4,2,3,0,5,1,4,1
