localization_strategy,hypothesis_testing,incremental_vs_big_bang,error_recovery,verification_approach,exploration_depth,edit_precision,iteration_count,test_creation,context_gathering,brief_summary,task_id,agent,resolved,original_steps,filtered_steps,error,raw_response
3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,"Agent systematically explored management utility files, identified the null argv[0] issue through reproduction, and applied two clean fixes to handle None values.",django__django-13658,20240402_sweagent_claude3opus,True,22,17,,
3.0,1.0,2.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,"Agent created a reproduction script, found the error location through traceback and search, then made a focused fix to handle None comparison.",astropy__astropy-7606,20240402_sweagent_claude3opus,True,11,9,,
2.0,1.0,2.0,1.0,0.0,2.0,4.0,2.0,1.0,3.0,"Agent directly opened ImageField-related files, made a focused edit to add an abstract model check in contribute_to_class, but struggled with creating a working test script and never verified the fix.",django__django-16801,20240402_sweagent_claude3opus,True,23,19,,
2.0,1.0,5.0,3.0,2.0,2.0,5.0,4.0,1.0,2.0,"Agent created a reproduction script first, then after encountering the timezone error, located the timesince.py file and made a surgical fix by adding tzinfo=d.tzinfo to the pivot datetime construction.",django__django-16429,20240402_sweagent_claude3opus,True,24,23,,
2.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,"Agent created a reproduction script, found the target file with a simple search, then made several small edits to fix the as_expr method, recovering from a broken intermediate state.",sympy__sympy-24539,20240402_sweagent_claude3opus,True,12,10,,
1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,0.0,2.0,"Agent directly opened django/utils/html.py and made changes to use html.escape() instead of a custom implementation, with several failed attempts due to syntax errors before succeeding.",django__django-11276,20240402_sweagent_claude3opus,True,21,13,,
3.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,1.0,4.0,"Agent created a reproduction test, used targeted search to find the logging module, examined the LogCaptureFixture class structure, and made a precise one-line fix to restore handler level in the _finalize method.",pytest-dev__pytest-7571,20240402_sweagent_claude3opus,True,14,12,,
1.0,1.0,4.0,0.0,2.0,1.0,5.0,2.0,1.0,2.0,"Agent directly opened the auth validators file and made precise regex changes from ^ and $ to \A and \Z, then created a reproduction script to verify the fix worked.",django__django-11099,20240402_sweagent_claude3opus,True,9,6,,
2.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,2.0,"Agent created a reproduction script to identify the issue, then used a simple keyword search to find the relevant merge function and made a single precise edit to fix the shared reference problem.",pydata__xarray-4629,20240402_sweagent_claude3opus,True,9,7,,
3.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,"Agent created a reproduction script, traced errors through multiple iterations, and made targeted fixes to both __mul__ and __add__ methods in the Vector class.",sympy__sympy-14711,20240402_sweagent_claude3opus,True,17,15,,
2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,"Agent created a reproduction script, found the issue with a simple search, and attempted to fix pandas output handling in the column transformer with minimal exploration.",scikit-learn__scikit-learn-26323,20240402_sweagent_claude3opus,False,10,8,,
1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,The agent created a test file to reproduce the issue but got stuck repeatedly trying the same failed edit command without understanding the line range syntax error.,django__django-11885,20240402_sweagent_claude3opus,False,25,23,,
2.0,0.0,2.0,3.0,0.0,1.0,4.0,3.0,0.0,2.0,"Agent directly opened the linkcheck.py file, used a simple search to find the HEAD request code, then attempted multiple edits to fix an exception handling issue, recovering from indentation errors.",sphinx-doc__sphinx-8475,20240402_sweagent_claude3opus,False,8,6,,
2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,"Agent created a reproduction script and fixed pandas compatibility issues by removing deprecated option context usage, testing the fixes incrementally.",mwaskom__seaborn-3069,20240402_sweagent_claude3opus,False,21,18,,
1.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,"The agent created reproduction scripts to test Django queryset behavior but never located or fixed the actual bug in Django's codebase, only setting up test infrastructure.",django__django-10554,20240402_sweagent_claude3opus,False,23,19,,
3.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,"Agent created a reproduction script, located the dtype handling issue in quantity.py, and made incremental changes to preserve original dtype instead of forcing float conversion.",astropy__astropy-8872,20240402_sweagent_claude3opus,False,20,17,,
3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,"Agent created a test app to reproduce an issue, then systematically located the Django's get_FIELD_display method through file searching after setting up a working test environment.",django__django-11999,20240402_sweagent_claude3opus,False,28,18,,
