instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
password-recovery,1,4,4,3,3,3,1,4,3,4,3,1,3,1,2,2,2,1,4,3,2026-03-08T00:33:34.481161,claude-opus-4-6,anthropic,password-recovery,5,4,1,1,2,1,1,1
financial-document-processor,2,4,4,4,4,4,0,4,3,4,4,2,3,1,2,5,4,3,4,4,2026-03-08T00:33:23.291107,claude-opus-4-6,anthropic,financial-document-processor,4,5,1,2,2,1,1,1
qemu-startup,2,4,4,3,3,4,1,4,4,4,3,1,3,1,3,2,3,1,3,4,2026-03-08T00:33:43.291190,claude-opus-4-6,anthropic,qemu-startup,5,5,1,2,1,2,2,1
db-wal-recovery,1,4,4,4,4,3,0,4,3,4,4,1,3,0,2,5,4,3,3,2,2026-03-08T00:33:12.907187,claude-opus-4-6,anthropic,db-wal-recovery,5,5,1,1,2,2,1,1
hf-model-inference,3,5,3,3,2,3,1,5,4,5,3,2,5,1,3,4,3,3,3,3,2026-03-08T00:33:23.944655,claude-opus-4-6,anthropic,hf-model-inference,4,5,1,2,2,2,3,1
winning-avg-corewars,1,4,5,4,5,3,1,5,5,5,4,2,4,0,1,4,4,3,5,3,2026-03-08T00:33:53.233765,claude-opus-4-6,anthropic,winning-avg-corewars,5,5,1,2,3,4,1,1
gpt2-codegolf,1,4,5,5,5,4,0,4,4,3,5,1,3,0,2,2,3,1,5,3,2026-03-08T00:33:26.673840,claude-opus-4-6,anthropic,gpt2-codegolf,5,5,1,1,4,1,2,1
sam-cell-seg,2,4,4,4,4,4,0,4,4,3,4,2,3,0,2,5,4,4,4,4,2026-03-08T00:33:46.305166,claude-opus-4-6,anthropic,sam-cell-seg,4,5,1,3,3,2,4,1
path-tracing-reverse,1,4,4,4,4,3,0,4,4,3,4,1,3,0,2,4,4,3,4,3,2026-03-08T00:33:36.177773,claude-opus-4-6,anthropic,path-tracing-reverse,5,5,1,2,4,2,2,1
gcode-to-text,1,3,4,4,5,4,0,3,2,3,4,1,2,0,1,2,1,1,5,4,2026-03-08T00:33:23.171845,claude-opus-4-6,anthropic,gcode-to-text,5,5,1,1,1,1,1,1
