solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at
1,4,4,3,4,3,0,"This task requires knowledge of digital forensics and file recovery techniques, specifically how to recover deleted files from a filesystem. The approach isn't hinted at - the user needs to know about tools like strings, grep on raw devices, or specialized recovery tools like extundelete/scalpel. The regex pattern matching for the password format adds some complexity but the main challenge is knowing how to search for deleted file content in unallocated disk space or filesystem journals.",password-recovery,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:47.095384
2,4,4,4,4,4,0,"This task requires specialized OCR tools (like tesseract, pdftotext, or similar) to extract text from both JPG and PDF files, which is non-trivial. The logical complexity includes document classification based on content analysis, regex parsing for financial amounts with multiple edge cases (VAT presence, Total vs Amount Due priority), and aggregating results into a CSV with calculated totals. The combination of image/PDF processing, text extraction, pattern matching for financial data, and file management makes this an unusual and complex multi-step pipeline.",financial-document-processor,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:32.102744
1,4,4,3,3,3,1,"This task requires deep knowledge of QEMU virtualization options, specifically how to configure serial console redirection to a telnet port and run QEMU in the background. The user must know QEMU flags like -serial, -nographic, and how to properly wait for the VM to be ready. While documented patterns exist for QEMU serial console setup, combining background execution with blocking until ready adds complexity.",qemu-startup,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:53.440632
1,3,4,4,4,2,0,"This task requires deep knowledge of SQLite internals, specifically WAL file format and encryption/corruption recovery. The mention that the WAL is 'corrupted or encrypted' suggests the solver must investigate and potentially decrypt or repair binary data structures. While the output format is clear, the recovery approach is non-standard and requires understanding low-level database file formats.",db-wal-recovery,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:26.126979
2,5,4,3,2,3,1,"The task provides detailed API specifications and clear steps, essentially describing the approach needed. However, it requires specialized knowledge of Hugging Face transformers, Flask API development, and model caching/inference pipelines. This is a well-documented pattern with many tutorials available, but combining model downloading, Flask setup, and background service execution requires integrating multiple components correctly.",hf-model-inference,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:36.691163
1,4,5,4,5,2,1,"This task requires deep knowledge of CoreWars programming, a highly specialized and obscure domain involving assembly-like language for competitive programs. While the task is clearly specified with win rate requirements and testing commands, solving it requires understanding CoreWars strategies (stone, paper, vampire, scanner, etc.) and how to counter multiple opponent types simultaneously. Standard warrior patterns exist in the CoreWars community, but combining them effectively against diverse opponents requires significant domain expertise.",winning-avg-corewars,claude-opus-4-5-20251101,anthropic,2026-01-29T22:49:05.245534
1,3,5,5,5,4,0,"This task requires implementing a GPT-2 inference engine from scratch in C under 5000 bytes with no dependencies - an extremely difficult code golf challenge. It demands deep knowledge of transformer architecture, TensorFlow checkpoint format parsing, BPE tokenization, and matrix operations, all while fitting in a severely constrained file size. The combination of ML inference implementation, file format parsing, and extreme size constraints makes this a rare and highly specialized task with no standard pattern to follow.",gpt2-codegolf,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:36.366491
2,4,4,4,3,4,0,"This task requires specialized knowledge of MobileSAM/SAM architecture, histopathology image processing, and mask manipulation. The task is well-specified with clear inputs/outputs, but implementing non-overlapping contiguous polyline masks from bounding boxes using SAM's prompt-based segmentation requires multi-step reasoning and understanding of the model's API. There's no standard cookbook solution for this specific combination of requirements (CPU-only MobileSAM, bounding box to polyline conversion, overlap handling).",sam-cell-seg,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:59.716599
1,4,4,4,4,3,0,"This task requires reverse engineering a compiled binary to understand its functionality and recreate it in C. It demands deep knowledge of binary analysis tools (decompilers like Ghidra/IDA, or dynamic analysis), C programming, and potentially image processing given the 'images' tag. The task is unusual as it involves reverse engineering with a size constraint, and while the verification is relatively straightforward (compare outputs), understanding the mystery program's behavior requires significant expertise.",path-tracing-reverse,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:47.062555
0,2,4,4,4,3,0,This task requires understanding G-code format used in 3D printing and being able to interpret toolpath commands to reconstruct what text pattern would be printed. The solver must parse coordinate movements (G0/G1 commands) and mentally or programmatically visualize the extrusion path to determine what letters/text would be formed. This is a specialized domain requiring knowledge of CNC/3D printer programming with no standard pattern for reverse-engineering text from G-code.,gcode-to-text,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:35.729342
0,4,5,5,5,4,0,"This task requires image processing to parse a chess board from PNG, chess position recognition/OCR, and deep chess analysis to find the best move. It combines computer vision, chess engine expertise, and shell scripting in a highly unusual way. The task requires specialized knowledge of chess engines (like Stockfish), image processing tools, and the ability to convert visual board state to FEN notation for analysis.",chess-best-move,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:20.999616
2,4,5,4,4,4,0,"This task requires deep knowledge of Bayesian networks, causal inference, and structure learning algorithms. The solver must understand DAG recovery from data, parameter learning, causal interventions (do-calculus), and sampling from modified networks. While the steps are clearly outlined, implementing them correctly requires specialized statistical packages (like pgmpy or bnlearn) and understanding of causal inference concepts that go beyond standard patterns.",bn-fit-modify,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:21.361663
1,3,4,4,3,2,1,"This task requires deep knowledge of web security vulnerabilities (CWE categories) and the ability to analyze a Python web framework (Bottle) for security flaws. The solver must understand common vulnerability patterns like XSS, injection attacks, path traversal, etc., and be able to identify them in real code. While the CWE list provides direction, finding the specific vulnerability in a substantial codebase requires significant domain expertise and careful code analysis. Verification is straightforward via pytest.",fix-code-vulnerability,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:31.386339
2,4,4,3,3,3,1,"This task requires deep learning framework installation knowledge (Caffe with CPU-only build), understanding of CNN training workflows, and familiarity with CIFAR-10 dataset processing. While Caffe has documentation and the CIFAR-10 example is standard, building Caffe 1.0.0 from source with correct dependencies is notoriously complex. The task provides clear specifications (iterations, accuracy thresholds, file paths) but requires domain expertise to execute properly.",caffe-cifar-10,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:21.729674
1,3,3,4,4,4,0,"This task requires designing a custom resharding algorithm that handles both file size limits (15MB) and directory entry limits (30 items), plus a reversible decompression scheme. The main challenge is creating a metadata system to track how files were split/reorganized so they can be perfectly reconstructed. There's no standard pattern for this specific combination of constraints, requiring novel solution design and careful handling of edge cases like nested directories and file splitting.",reshard-c4-data,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:59.081292
2,4,5,4,3,4,1,"This task requires deep specialized knowledge in Bayesian statistics, Stan programming language, and R/RStan interface. While the hierarchical model structure is clearly specified and follows a well-documented pattern (beta-binomial hierarchical model), implementing the non-standard prior (alpha+beta)^(-5/2) in Stan requires understanding of Jacobian transformations and proper parameterization. Verification is difficult because MCMC results have inherent stochasticity and require checking convergence diagnostics.",mcmc-sampling-stan,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:41.804615
2,4,4,3,3,3,1,"The task provides clear mathematical formulas and skeleton files with TODO markers, giving a strong hint at the approach. However, it requires knowledge of C Python extensions, matrix operations optimization, and building C extensions. The verification is moderately difficult due to numerical tolerance requirements and performance benchmarks, though automated tests are provided.",portfolio-optimization,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:50.765276
1,3,5,4,4,4,0,"This task requires specialized knowledge of Raman spectroscopy (knowing where G and 2D peaks of graphene are located ~1580 and ~2700 cm⁻¹), understanding of Lorentzian peak fitting with parameters x0, gamma, amplitude, and offset, and programming skills to implement curve fitting. The task hints at using a Lorentzian model but doesn't specify the exact fitting approach or data format. Verification is difficult without knowing the expected peak parameters or having domain expertise to validate results.",raman-fitting,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:55.761096
1,3,5,4,5,4,0,"This task requires cross-compiling Doom source code to MIPS architecture ELF format, which demands deep knowledge of cross-compilation toolchains, MIPS architecture, and build systems. The task is highly atypical as it involves setting up a cross-compiler for an emulated MIPS environment running in Node.js, integrating custom graphics output code. Verification requires running the compiled binary in a JS VM and checking both stdout and frame output, adding complexity.",make-doom-for-mips,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:41.529675
0,4,4,4,3,2,1,"This is an XSS filter bypass challenge requiring knowledge of HTML parsing quirks, JavaScript execution contexts, and common filter evasion techniques. The task is clear about what needs to be accomplished, but requires deep understanding of web security and HTML/JS edge cases. While XSS bypass techniques are well-documented (OWASP, various security resources), finding the specific bypass for an unknown filter implementation requires creative reasoning and experimentation.",break-filter-js-from-html,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:21.196845
3,5,3,2,2,2,1,"The task provides extremely detailed step-by-step instructions including exact file paths, specific OpenSSL parameters, and precise requirements for each file. While it requires knowledge of OpenSSL commands and basic Python SSL libraries, these are well-documented patterns with abundant online resources. The main challenge is following all the specifications correctly rather than figuring out the approach.",openssl-selfsigned-cert,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:46.765931
1,4,3,3,3,3,1,"This task requires knowledge of compiling C projects with gcov instrumentation (passing appropriate CFLAGS like -fprofile-arcs -ftest-coverage), extracting tarballs, and modifying PATH. While SQLite compilation is well-documented and gcov is a standard tool, combining them requires understanding of build systems and compiler flags. Verification requires checking that the binary is in PATH and was actually compiled with gcov instrumentation.",sqlite-with-gcov,claude-opus-4-5-20251101,anthropic,2026-01-29T22:49:01.353586
0,4,3,4,3,3,1,"This task requires SQL query optimization knowledge including understanding of indexing, query execution plans, and SQLite-specific syntax. The solver must analyze the existing query, understand the database schema, and apply optimization techniques while ensuring output equivalence. Standard SQL optimization patterns exist, but applying them requires understanding the specific query structure and database schema.",query-optimize,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:53.704989
2,4,5,4,4,4,0,"This task requires deep expertise in PyTorch distributed training, pipeline parallelism concepts (AFAB scheduling), and the LLaMA model architecture. The task clearly describes the approach (all-forward-all-backward scheduling with P2P communication), but implementing it correctly requires understanding tensor shapes, gradient flow across pipeline stages, and proper synchronization between ranks. While pipeline parallelism is a known technique, implementing it from scratch with specific constraints (no hooks, proper layer partitioning, correct activation shapes) is non-trivial and doesn't follow a simple copy-paste pattern.",torch-pipeline-parallelism,claude-opus-4-5-20251101,anthropic,2026-01-29T22:49:02.748195
1,4,4,4,4,3,0,"This task requires deep knowledge of Python packaging, Cython compilation, and NumPy C API compatibility issues between major versions. The solver must diagnose and fix Cython extension compatibility with NumPy 2.x, which involves understanding deprecated APIs and build systems. While the task provides good context about what needs to work, the actual solution requires investigating error messages and modifying source code/build configurations - not a standard documented pattern.",build-cython-ext,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:21.097432
1,3,4,4,3,4,1,"This task requires deep knowledge of XSS attack vectors and HTML sanitization - understanding all the ways JavaScript can be embedded (script tags, event handlers, javascript: URLs, data URIs, etc.). While HTML sanitization libraries exist (like bleach or lxml), correctly identifying and removing ALL JavaScript while preserving legitimate HTML structure requires understanding numerous edge cases. The verification is difficult because XSS bypasses are notoriously tricky and the task requires preserving formatting exactly.",filter-js-from-html,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:31.405072
3,5,3,2,2,3,1,"The task provides extremely detailed step-by-step instructions including exact file paths, configuration variables, and content strings - essentially a complete recipe. While it requires knowledge of Nginx configuration syntax (custom log formats, rate limiting zones, server blocks), these are well-documented patterns. The main challenge is correctly assembling all the configuration pieces and ensuring proper syntax, but the explicit guidance minimizes reasoning requirements.",nginx-request-logging,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:46.341925
2,4,5,4,4,4,1,"This task requires deep expertise in PyTorch distributed computing, tensor parallelism concepts, and understanding how to correctly shard weights/biases across ranks. While the approach is clearly described (column vs row splitting, all_gather vs all_reduce semantics), implementing correct gradient handling and proper weight partitioning requires significant domain knowledge. Tensor parallelism is a documented pattern in frameworks like Megatron-LM, but implementing it correctly from scratch with proper initialization and gradient flow is complex.",torch-tensor-parallelism,claude-opus-4-5-20251101,anthropic,2026-01-29T22:49:03.797266
0,5,4,4,4,2,1,"This task requires creating a polyglot file that is valid in both Python and C, which demands deep knowledge of both languages' syntax quirks and comment/preprocessor mechanisms. While polyglot patterns exist online, combining them with implementing Fibonacci in both languages requires careful logical reasoning about how to structure code that parses correctly in both interpreters/compilers. Verification is straightforward since you just run both commands and check the output.",polyglot-c-py,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:48.852130
2,4,4,4,4,2,0,"This task requires understanding LaTeX overfull hbox warnings (typesetting knowledge), parsing synonym constraints, and solving a combinatorial optimization problem to find word replacements that eliminate line-breaking issues. The approach is clearly described (replace words with synonyms) but implementing an efficient solution requires understanding both LaTeX internals and constraint satisfaction. Verification is straightforward - just compile and check for warnings.",overfull-hbox,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:48.643666
