instance_id,solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,codebase_scope
password-recovery,1,3,4,4,4,4,3,0,2
financial-document-processor,1,4,5,4,4,3,4,0,2
qemu-startup,1,3,4,4,3,3,4,1,4
db-wal-recovery,1,3,4,4,4,4,2,0,2
hf-model-inference,3,5,4,4,3,2,3,1,3
winning-avg-corewars,1,4,5,5,5,5,3,0,2
gpt2-codegolf,1,3,5,5,5,5,4,0,1
sam-cell-seg,2,4,5,5,4,4,4,0,3
path-tracing-reverse,1,3,5,5,4,4,3,0,2
gcode-to-text,0,2,5,5,4,5,4,0,2
chess-best-move,0,3,5,5,4,5,3,0,3
bn-fit-modify,2,3,4,5,4,4,4,0,2
fix-code-vulnerability,1,3,3,4,4,3,2,1,2
caffe-cifar-10,2,4,5,4,4,4,3,0,4
reshard-c4-data,1,4,4,3,4,3,4,0,2
mcmc-sampling-stan,3,5,4,5,4,4,4,1,3
portfolio-optimization,2,4,4,4,3,3,3,1,3
raman-fitting,1,3,4,5,4,4,4,0,2
make-doom-for-mips,1,2,5,5,5,5,4,0,5
break-filter-js-from-html,0,4,2,4,4,4,2,1,1
openssl-selfsigned-cert,3,5,3,3,2,2,2,1,2
sqlite-with-gcov,2,3,3,3,3,3,3,1,3
query-optimize,0,3,4,4,4,3,3,1,1
torch-pipeline-parallelism,2,4,5,5,4,4,4,0,3
build-cython-ext,1,3,4,4,4,3,3,0,3
filter-js-from-html,1,3,3,3,3,2,4,1,1
nginx-request-logging,3,5,4,4,3,2,3,1,4
torch-tensor-parallelism,2,4,4,5,4,4,4,1,2
polyglot-c-py,1,4,4,4,4,4,2,0,1
overfull-hbox,1,4,4,4,4,4,2,0,2
distribution-search,1,4,5,5,5,5,3,0,1
model-extraction-relu-logits,1,3,5,5,5,5,4,0,2
prove-plus-comm,1,3,3,5,4,4,2,1,1
largest-eigenval,1,4,3,4,3,3,3,1,2
kv-store-grpc,3,5,3,4,3,2,3,1,3
llm-inference-batching-scheduler,1,4,5,4,5,4,3,0,2
git-multibranch,2,4,4,4,3,3,3,1,4
pytorch-model-cli,1,3,5,5,4,4,3,0,3
mteb-retrieve,2,4,3,4,3,4,3,0,2
count-dataset-tokens,1,3,3,4,3,3,3,1,2
tune-mjcf,1,3,2,5,3,4,3,0,1
constraints-scheduling,1,4,4,3,4,3,3,0,2
extract-moves-from-video,1,3,4,4,3,4,4,0,2
cancel-async-tasks,1,3,3,4,3,3,4,1,1
extract-elf,1,3,5,5,4,4,3,0,1
merge-diff-arc-agi-task,1,3,4,4,4,4,4,0,2
modernize-scientific-stack,3,5,2,3,2,2,2,1,2
dna-insert,1,4,4,5,4,5,4,0,2
mteb-leaderboard,1,3,4,5,3,4,4,0,2
install-windows-3.11,2,4,4,4,3,4,4,0,4
feal-differential-cryptanalysis,1,3,5,5,5,5,3,0,2
video-processing,1,3,4,4,4,4,4,0,2
pypi-server,2,4,4,4,3,3,3,1,3
vulnerable-secret,1,3,4,4,4,3,2,1,1
pytorch-model-recovery,2,4,4,5,4,4,3,0,2
mailman,1,3,5,5,4,4,4,0,4
polyglot-rust-c,0,4,5,5,5,5,2,0,1
crack-7z-hash,0,3,4,4,3,3,2,1,2
dna-assembly,1,3,5,5,5,5,4,0,2
build-pov-ray,1,3,5,5,4,5,3,0,4
cobol-modernization,1,3,4,4,4,4,3,0,2
fix-ocaml-gc,0,2,4,5,4,5,3,0,3
write-compressor,0,3,5,5,5,5,2,0,2
rstan-to-pystan,2,4,5,5,4,4,4,0,3
protein-assembly,2,4,5,5,4,5,4,0,3
path-tracing,0,3,5,5,5,5,3,0,1
large-scale-text-editing,2,4,4,4,4,4,2,0,1
train-fasttext,1,3,4,4,3,2,4,1,2
multi-source-data-merger,2,5,3,3,3,2,3,1,2
regex-chess,0,4,5,5,5,5,4,0,1
schemelike-metacircular-eval,1,4,5,5,5,5,4,0,2
sanitize-git-repo,2,4,3,3,3,2,3,1,2
fix-git,1,2,3,3,3,3,3,1,2
configure-git-webserver,1,4,4,4,3,3,3,1,4
git-leak-recovery,1,4,4,4,3,3,3,1,2
circuit-fibsqrt,1,3,5,5,5,5,3,0,2
regex-log,1,4,4,4,4,3,4,0,1
custom-memory-heap-crash,0,3,5,5,5,5,4,0,4
sparql-university,2,4,4,4,4,3,4,1,1
compile-compcert,1,3,4,4,3,3,3,1,4
build-pmars,2,4,4,4,3,4,3,0,3
log-summary-date-ranges,2,5,3,2,3,2,3,1,2
code-from-image,1,2,4,4,4,4,2,0,1
qemu-alpine-ssh,1,4,5,4,4,4,3,0,5
feal-linear-cryptanalysis,1,3,5,5,5,5,3,0,2
make-mips-interpreter,0,2,5,5,5,5,4,0,4
adaptive-rejection-sampler,2,4,5,5,4,4,4,0,2
sqlite-db-truncate,1,3,4,4,4,4,3,0,1
headless-terminal,2,3,4,4,4,4,4,0,3
