solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,integration_complexity,_task_id,solution_discovery_needed,fix_pattern_type,location_hints_provided,solution_prescribed,minimal_repro_provided,num_files_modified,num_hunks,num_lines_changed,log_lines_changed,patch_adds,patch_deletes,patch_chars,patch_files_gt2,patch_files_gt3,patch_lines_gt20,patch_lines_gt50,test_patch_chars,test_patch_hunks,test_patch_files,test_patch_lines,stmt_words,stmt_chars,stmt_lines,stmt_lines_gt80,has_http_link,has_code_block,has_stack_trace,feature_request_phrasing,is_django,is_sympy,repo_name
2,4,1,3,2,2,2,1,2,django__django-11880,2,1,1,1,0,1,1,1,0.3010299956639812,1,0,427,0,0,0,0,902,1,1,11,136,1078,7,0,1,0,0,0,1,0,django/django
2,4,2,4,2,2,2,1,3,django__django-12039,2,0,1,1,1,1,2,12,1.1139433523068367,9,3,1268,0,0,0,0,2267,2,1,40,155,1245,27,0,1,1,0,0,1,0,django/django
2,4,1,3,2,2,2,1,2,django__django-12193,2,1,1,1,0,1,1,4,0.6989700043360189,1,3,525,0,0,0,0,1521,2,2,16,104,773,8,0,1,1,0,0,1,0,django/django
0,4,3,4,4,3,3,0,3,astropy__astropy-14598,4,1,0,0,1,1,2,4,0.6989700043360189,2,2,963,0,0,0,0,1044,1,1,16,308,2651,100,1,0,1,0,0,0,0,astropy/astropy
1,4,3,4,3,4,3,0,3,django__django-13297,3,1,1,0,1,1,3,5,0.7781512503836436,2,3,1114,0,0,0,0,1989,4,1,22,159,1384,29,0,0,0,0,0,1,0,django/django
3,5,1,3,2,1,2,1,1,sympy__sympy-21847,1,1,1,1,1,1,2,4,0.6989700043360189,2,2,1015,0,0,0,0,1733,3,1,13,134,1061,24,0,0,1,0,0,0,1,sympy/sympy
0,4,2,4,3,3,2,0,3,matplotlib__matplotlib-20676,3,1,0,0,1,1,1,7,0.9030899869919435,6,1,838,0,0,0,0,1432,1,1,29,221,1645,48,0,0,1,0,0,0,0,matplotlib/matplotlib
2,4,2,3,2,2,2,1,2,django__django-14155,2,0,1,1,0,1,1,13,1.146128035678238,10,3,949,0,0,0,0,1628,1,1,24,76,553,9,0,0,1,0,0,1,0,django/django
0,4,2,4,3,3,2,1,3,sphinx-doc__sphinx-9591,3,1,0,0,1,1,1,3,0.6020599913279624,2,1,540,0,0,0,0,1514,1,1,6,227,1977,103,1,1,1,0,0,0,0,sphinx-doc/sphinx
2,4,3,4,4,3,3,0,4,django__django-11087,3,4,1,1,1,1,4,30,1.4913616938342726,25,5,3186,0,0,1,0,2661,3,2,53,717,9252,90,1,1,0,1,0,1,0,django/django
3,4,1,4,3,3,2,1,2,django__django-16938,2,1,1,1,1,2,2,8,0.9542425094393249,6,2,1354,0,0,0,0,5322,9,6,36,318,4015,66,0,0,1,1,0,1,0,django/django
3,5,1,3,2,1,2,1,2,django__django-15569,1,0,1,1,0,1,1,1,0.3010299956639812,1,0,481,0,0,0,0,2662,3,3,23,56,640,8,0,1,1,0,0,1,0,django/django
1,4,2,4,3,3,2,1,2,django__django-13794,3,2,0,0,0,1,1,6,0.8450980400142568,6,0,610,0,0,0,0,1741,3,2,22,50,307,5,0,0,0,1,0,1,0,django/django
3,5,1,3,1,1,2,1,2,django__django-11603,1,0,1,1,0,1,2,2,0.47712125471966244,2,0,584,0,0,0,0,1230,2,1,13,62,396,6,0,0,0,0,1,1,0,django/django
3,5,3,4,4,3,3,0,3,django__django-11551,2,1,1,1,1,1,1,42,1.6334684555795864,21,21,2499,0,0,1,0,1382,2,1,21,792,5413,73,0,1,1,1,0,1,0,django/django
1,4,4,5,4,4,3,0,4,django__django-16502,4,2,0,0,1,1,3,27,1.4471580313422192,26,1,2176,0,0,1,0,3506,5,1,69,216,1676,36,0,1,0,0,0,1,0,django/django
1,4,4,5,4,4,3,0,4,sympy__sympy-21596,4,1,0,0,1,1,3,37,1.5797835966168101,21,16,2659,0,0,1,0,2120,2,1,21,106,568,34,0,0,1,0,0,0,1,sympy/sympy
0,5,3,4,3,3,3,0,3,sphinx-doc__sphinx-10449,3,0,0,0,1,1,3,12,1.1139433523068367,10,2,1798,0,0,0,0,509,1,1,3,567,4478,174,1,1,1,0,0,0,0,sphinx-doc/sphinx
2,4,2,3,2,1,2,1,2,django__django-15103,1,0,1,1,0,2,3,17,1.255272505103306,10,7,1606,0,0,0,0,1296,2,2,11,69,378,6,0,0,0,0,0,1,0,django/django
2,4,3,3,3,2,2,1,2,sympy__sympy-11618,2,0,0,0,1,1,1,14,1.1760912590556813,14,0,925,0,0,0,0,430,1,1,5,35,252,9,0,0,1,0,0,0,1,sympy/sympy
1,4,2,4,3,3,3,1,3,django__django-15695,2,0,1,0,1,1,1,3,0.6020599913279624,3,0,737,0,0,0,0,903,1,1,5,94,1259,27,0,0,1,1,0,1,0,django/django
