solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at
2,4,3,2,2,3,1,"The problem clearly identifies that __deepcopy__ doesn't deep copy error_messages dictionary, and points to the exact location in code. The solution approach is implied - need to add deep copy of error_messages in the __deepcopy__ method. This is a standard Python deepcopy pattern issue, but requires understanding of Django forms internals and how field copying works.",django__django-11880,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:14.772925
2,5,4,3,3,2,0,"The problem clearly identifies the exact file and line causing the issue (django/db/backends/ddl_references.py#L87) and explains the root cause (empty strings in col_suffixes instead of truly empty). This requires deep Django ORM/DDL internals knowledge to understand how index creation works, but the fix itself involves handling whitespace concatenation logic. Verification is straightforward by checking the generated SQL output.",django__django-12039,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:18.185975
2,4,4,3,3,3,1,"The problem clearly identifies the root cause (CheckboxInput modifying the attrs dict in-place) and points to the exact line of code causing the issue. The fix involves preventing mutation of shared state, which is a well-known pattern (defensive copying). However, it requires understanding Django's widget rendering internals and the interaction between SplitArrayField and CheckboxInput widget.",django__django-12193,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:19.175158
0,5,4,4,4,3,0,"This bug involves FITS format card handling with specific edge cases around quote escaping and string continuation. The problem is crystal clear with excellent reproduction steps showing exactly where the bug manifests. However, fixing it requires deep understanding of FITS card serialization/deserialization internals, particularly how long strings are split across continuation cards and how quotes are escaped/unescaped at card boundaries.",astropy__astropy-14598,claude-opus-4-5-20251101,anthropic,2026-01-29T21:55:51.241284
1,4,4,3,3,3,0,"The problem clearly describes a regression where kwargs values changed from strings to SimpleLazyObjects in Django 3.1, but doesn't hint at where in the codebase to fix it. Solving this requires deep understanding of Django's view system, URL routing, and lazy object handling. The fix likely involves understanding why SimpleLazyObjects are being passed through kwargs and when they should be resolved, which requires Django internals knowledge.",django__django-13297,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:34.011083
1,4,4,3,3,2,0,"The problem clearly describes the bug with a concrete example showing expected vs actual behavior. However, fixing it requires understanding SymPy's polynomial internals and the monomial generation algorithm, particularly how min_degrees interacts with the iteration logic. The fix likely involves correcting the filtering or generation logic for monomials, but the exact approach isn't hinted at. Verification is straightforward since you can enumerate expected monomials for small cases.",sympy__sympy-21847,claude-opus-4-5-20251101,anthropic,2026-01-29T21:59:36.605183
1,4,4,3,3,2,0,"The problem is clearly described with reproduction code and expected vs actual behavior. However, fixing it requires deep knowledge of Matplotlib's SpanSelector widget internals and how the 'interactive' mode affects axes limits. The bug involves understanding why the new interactive mode is forcing axes to include 0, which requires tracing through the widget's initialization and drawing code.",matplotlib__matplotlib-20676,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:46.679205
2,4,3,2,2,2,1,The problem clearly states the issue (functools.partial not displaying nicely in __repr__) and suggests the solution approach (unwrap functools.partial objects in __init__). This requires Django framework knowledge about ResolverMatch and standard Python knowledge about functools.partial unwrapping. The pattern for unwrapping partial functions is well-documented in Python.,django__django-14155,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:52.602907
0,4,4,3,3,3,0,"This bug requires deep knowledge of Sphinx's autodoc extension internals, specifically how it processes type annotations and generates cross-references. The problem is clearly demonstrated with reproduction steps, but fixing it requires understanding the difference in how Sphinx handles type annotations for properties vs regular attributes. No solution hint is provided, and this is a fairly specific edge case in Sphinx's documentation generation pipeline.",sphinx-doc__sphinx-9591,claude-opus-4-5-20251101,anthropic,2026-01-29T21:59:03.708234
2,4,4,3,3,4,0,"The problem clearly identifies that Django's .delete() is fetching unnecessary fields (like text_log_error.line) that aren't needed for deletion, and suggests optimizing to use only required fields (PKs, FKs). This requires deep understanding of Django's ORM deletion collector and query generation internals. The fix involves modifying how Django constructs SELECT queries during cascade delete operations, which is a specific optimization pattern that isn't commonly documented.",django__django-11087,claude-opus-4-5-20251101,anthropic,2026-01-29T21:55:57.072232
1,4,4,4,4,3,0,"This bug involves a complex interaction between Django's serialization system, M2M relations, custom managers with select_related, and a performance optimization (#33937). The problem is clearly described with a reproducible example, but fixing it requires deep understanding of Django's ORM internals, particularly how select_related interacts with deferred fields during serialization. The workaround hints at the issue area but doesn't specify the actual fix needed in Django's codebase.",django__django-16938,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:41.417571
3,5,3,2,2,2,1,"The problem statement explicitly describes the exact fix needed: clear the cache in _unregister_lookup() just like it's done in register_lookup(), with specific line references to both methods. The pattern already exists in the codebase (register_lookup), making this a straightforward copy of existing behavior. The only complexity is understanding Django's lookup registration system and knowing to update the related test.",django__django-15569,claude-opus-4-5-20251101,anthropic,2026-01-29T21:57:19.658150
1,3,4,3,3,2,1,"The problem clearly identifies the bug (TypeError when concatenating string with lazy string) and hints that the add filter needs to handle lazy strings. This requires understanding Django's lazy string mechanism (__proxy__ objects from django.utils.functional) and the template filter system. The fix likely involves converting lazy strings to actual strings before concatenation, which is a known pattern in Django development.",django__django-13794,claude-opus-4-5-20251101,anthropic,2026-01-29T21:56:44.536736
