instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
django__django-11880,2,5,3,2,1,2,1,4,3,4,2,1,4,1,1,2,2,1,1,2,4,5,3,2,1,4,3,4
django__django-12039,3,5,3,2,1,2,1,5,5,5,2,1,5,1,1,4,2,3,2,2,4,5,3,2,1,4,3,5
django__django-12193,2,5,3,2,2,2,1,5,4,4,2,1,5,1,1,4,2,3,1,2,4,5,2,3,2,4,4,4
astropy__astropy-14598,1,4,4,4,3,2,0,4,5,4,4,2,5,1,2,3,2,3,2,3,4,4,2,3,3,4,4,4
django__django-13297,1,4,4,3,3,2,0,4,5,4,3,2,5,1,3,2,2,2,2,3,4,5,3,2,1,4,3,4
sympy__sympy-21847,3,5,2,2,1,2,1,4,5,4,2,1,5,1,2,4,2,3,1,2,4,5,2,2,1,3,2,3
matplotlib__matplotlib-20676,1,4,4,3,3,2,0,4,5,4,3,2,5,1,2,4,3,3,2,3,5,5,2,3,2,4,4,4
django__django-14155,3,5,3,2,2,2,1,3,3,4,2,1,4,1,2,4,3,3,2,2,4,5,2,2,1,4,3,4
sphinx-doc__sphinx-9591,1,4,4,3,3,2,1,3,5,4,3,2,5,1,2,2,3,1,2,3,4,4,3,2,2,4,4,3
django__django-11087,2,4,4,4,3,3,0,5,4,4,4,3,5,1,3,4,3,3,3,4,4,4,3,2,2,4,2,4
django__django-16938,3,5,4,3,3,2,0,5,5,3,3,2,5,1,2,4,3,2,1,2,4,4,3,2,2,4,3,4
django__django-15569,3,5,3,2,1,2,1,4,3,5,1,1,4,1,2,3,2,2,1,2,4,5,2,2,1,4,3,4
django__django-13794,2,4,4,3,2,2,1,5,4,4,2,1,4,1,2,3,2,2,1,2,4,5,2,2,1,4,3,4
django__django-11603,3,5,3,1,1,1,1,3,3,4,1,1,4,1,2,3,2,2,1,2,5,5,2,2,2,4,3,4
django__django-11551,3,5,3,3,2,2,1,5,5,5,3,1,5,1,2,2,3,2,3,2,4,5,3,2,1,4,3,4
django__django-16502,1,4,5,4,4,3,0,4,5,5,4,2,5,1,2,4,3,3,3,3,4,5,2,2,2,4,3,4
sympy__sympy-21596,1,4,5,4,4,3,0,4,5,5,4,2,5,0,3,4,3,4,4,4,4,4,3,2,1,4,3,3
sphinx-doc__sphinx-10449,0,5,4,3,2,2,0,4,5,5,3,2,5,1,2,2,2,1,2,3,4,5,3,2,2,4,3,3
django__django-15103,2,5,2,2,1,2,1,3,3,4,1,2,3,1,2,3,1,2,2,2,4,5,2,2,1,4,2,4
sympy__sympy-11618,1,4,3,3,2,2,1,4,5,5,2,1,5,1,2,1,1,1,3,2,4,5,2,2,1,3,2,3
django__django-15695,2,4,4,3,3,2,0,5,5,4,3,2,5,1,2,2,2,2,1,3,4,4,3,3,2,4,4,5
django__django-13741,2,4,3,2,1,2,1,3,2,4,1,1,4,1,3,2,1,2,1,3,4,5,2,2,1,4,3,4
django__django-15380,1,4,4,3,3,2,0,5,4,3,2,1,4,1,1,2,3,2,1,3,4,5,3,2,1,4,4,4
django__django-14315,2,4,3,2,2,2,1,4,2,4,2,2,4,1,2,4,4,3,1,2,4,5,2,2,1,4,3,4
django__django-11951,3,5,3,2,1,2,1,4,3,5,1,1,5,1,2,2,2,2,1,2,4,5,2,2,2,4,3,4
django__django-13346,0,4,5,4,4,3,0,3,4,4,4,2,4,0,2,4,3,4,4,4,4,4,3,3,2,4,4,4
scikit-learn__scikit-learn-14894,2,5,3,2,2,2,1,5,5,4,2,1,5,1,1,2,2,2,2,2,4,5,2,3,3,4,4,3
django__django-13809,2,4,3,2,1,2,1,3,2,4,1,1,3,1,2,4,4,3,1,2,4,5,2,2,1,4,3,4
sympy__sympy-16450,2,4,3,2,2,2,1,4,5,4,2,1,5,1,3,2,2,1,1,2,4,5,2,2,1,4,2,3
django__django-14765,3,5,2,1,2,1,1,4,3,5,1,1,4,1,2,1,1,2,1,2,5,5,3,2,1,4,3,4
