solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at
1,4,4,3,4,3,0,"This task requires specialized digital forensics knowledge to recover deleted files, likely involving tools like extundelete, foremost, or direct disk/filesystem analysis. The task is clear about what needs to be found (password format constraints), but the recovery method itself is not hinted at and requires understanding of how deleted files can be recovered from filesystems. This is an unusual task pattern that goes beyond standard shell scripting into forensics territory.",password-recovery,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:49.136901
2,4,4,4,4,4,0,"This task requires OCR/text extraction from both JPG and PDF files, document classification based on content analysis, and structured data extraction with specific business logic rules. It combines multiple specialized tools (OCR for images, PDF text extraction, content parsing) with complex conditional logic for handling edge cases like different total fields. The verification is difficult because it depends on correctly classifying documents and accurately extracting monetary values from varied document formats.",financial-document-processor,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:33.969944
1,4,4,3,3,3,1,"This task requires knowledge of QEMU command-line options for serial console redirection to telnet, specifically using -serial tcp:127.0.0.1:6665,server,nowait or similar flags. The task is clear about requirements but doesn't hint at the specific QEMU flags needed. Additional complexity comes from needing to start in background and block until ready, requiring understanding of QEMU's startup behavior.",qemu-startup,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:54.884970
1,3,4,4,4,2,0,"This task requires deep knowledge of SQLite WAL file format and internals, as well as understanding of encryption/corruption recovery techniques. The mention of 'corrupted or encrypted' WAL file without specifying which creates ambiguity, and recovering WAL data manually is not a standard documented pattern. The verification is straightforward once you have the JSON output to compare against expected 11 records.",db-wal-recovery,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:29.606513
2,5,4,3,2,3,1,"This task requires knowledge of Hugging Face transformers library, Flask web framework, and ML model inference - specialized but well-documented domains. The task is extremely well-specified with exact API schemas, endpoints, and expected behavior. While the pattern of Flask API + HuggingFace model is common, integrating multiple components (model downloading, caching, inference pipeline, Flask routing, background service) requires multi-step reasoning and coordination.",hf-model-inference,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:38.247058
1,4,5,5,5,3,0,"CoreWars is a highly specialized programming game requiring deep knowledge of Redcode assembly and warrior strategies. The task requires understanding opponent strategies (stone bombers, replicators, vampires, snakes, clearers) and designing a counter-strategy that achieves specific win rates against each. While verification is straightforward via pMARS, creating a competitive warrior requires extensive domain expertise and complex strategic reasoning about memory-based combat.",winning-avg-corewars,claude-opus-4-5-20251101,anthropic,2026-01-29T22:49:03.952818
1,3,5,5,5,4,0,"This task requires implementing GPT-2 inference from scratch in dependency-free C under 5000 bytes, which is an extremely challenging code golf problem. It demands deep knowledge of transformer architectures, TensorFlow checkpoint formats, BPE tokenization, and matrix operations, all while fitting within severe size constraints. The combination of ML implementation, file format parsing, and code golf makes this a highly unusual and difficult task with no standard pattern to follow.",gpt2-codegolf,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:37.583551
2,4,4,4,4,4,0,"This task requires specialized knowledge of computer vision, the Segment Anything Model architecture, and histopathology image processing. The solution involves understanding how to use MobileSAM with bounding box prompts, converting segmentation masks to polylines, handling mask overlap resolution, and ensuring contiguous masks - all non-trivial steps requiring multi-step reasoning. While the task describes what needs to be done clearly, the actual implementation combining SAM inference with polygon extraction and post-processing is not a standard documented pattern.",sam-cell-seg,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:58.557513
1,4,4,4,3,3,1,"This task requires reverse engineering a compiled binary to understand its functionality, then recreating it in C. It demands knowledge of decompilation tools (like Ghidra, objdump, or similar), understanding of compiled code structure, and ability to write equivalent C code. The vague hint about approaches (observing I/O, decompiling) provides some direction, but the actual algorithm inside the mystery program is unknown, requiring significant analysis and reasoning.",path-tracing-reverse,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:49.740561
0,3,4,4,4,3,0,"This task requires understanding G-code format for 3D printers and being able to reverse-engineer the toolpath movements to determine what text pattern is being drawn. The solver needs specialized knowledge of G-code commands and spatial reasoning to interpret coordinate movements as text characters. This is an unusual task that combines 3D printing domain knowledge with pattern recognition, without standard tools or documented approaches for this specific reverse-engineering task.",gcode-to-text,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:36.566113
1,4,5,5,5,4,0,"This task requires image recognition/computer vision to read a chess board from PNG, chess domain expertise to understand positions and legal moves, and chess engine-level analysis to determine the 'best' move. The combination of image processing and chess analysis makes this highly unusual for a terminal task, requiring specialized tools like chess engines (Stockfish) and potentially image-to-FEN conversion utilities. Verification is difficult as determining the 'best' move requires chess expertise or engine validation.",chess-best-move,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:22.721418
2,4,5,4,4,4,0,"This task requires deep knowledge of Bayesian Networks, causal inference, and DAG structure learning algorithms. The user must understand how to recover DAG structure from data, perform causal interventions (do-calculus), and sample from modified Bayesian Networks. While the steps are clearly outlined, executing them requires specialized statistical/ML packages and understanding of probabilistic graphical models that goes well beyond standard shell scripting.",bn-fit-modify,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:21.984750
1,3,4,4,3,2,1,"This task requires deep knowledge of web security vulnerabilities (CWE classifications) and understanding of the Bottle framework's codebase to identify and fix security issues. While the task provides a list of possible CWE categories and pytest for verification, the solver must analyze a potentially large codebase to find specific vulnerabilities without knowing their exact nature. The verification is made easier by the provided test suite, but the identification and proper fix require significant security domain expertise.",fix-code-vulnerability,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:34.229246
2,4,4,3,3,4,1,"This task requires deep learning framework installation knowledge, including compiling Caffe from source with CPU-only support, managing dependencies, and understanding the training pipeline. While Caffe has documentation, building version 1.0.0 today involves resolving deprecated dependencies and compatibility issues. The verification requires parsing training output for accuracy metrics and ensuring the model file exists with correct naming conventions.",caffe-cifar-10,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:21.920218
1,3,3,4,4,4,0,"This task requires designing a custom resharding algorithm that can split files/directories while respecting size and count constraints, then perfectly reconstruct the original structure. The challenge lies in handling edge cases like deeply nested directories, large files requiring splitting, and maintaining metadata for exact reconstruction. The solution requires Python file I/O expertise, understanding of data serialization for metadata, and careful design of a reversible transformation scheme - there's no standard pattern for this specific combination of constraints.",reshard-c4-data,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:57.785744
3,5,5,4,3,4,1,"This task requires deep expertise in Bayesian statistics, Stan probabilistic programming, and R. The hierarchical model structure with the specific prior (alpha + beta)^(-5/2) is a well-known but specialized pattern (Gelman's prior for Beta parameters). While the instructions are extremely detailed with exact steps and file paths, implementing the Stan model correctly and ensuring MCMC convergence requires significant domain knowledge. Verification is difficult because posterior estimates depend on convergence and the specific prior implementation.",mcmc-sampling-stan,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:43.935693
2,4,4,3,3,3,1,"The task provides clear mathematical formulas and skeleton files with TODO markers, giving a clear approach direction. It requires knowledge of C extensions for Python (likely using Cython or ctypes), matrix operations, and performance optimization. The verification involves both numerical accuracy (1e-10 tolerance) and performance benchmarks (1.2x speedup), adding moderate complexity to testing.",portfolio-optimization,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:51.744685
1,3,5,4,4,4,0,"This task requires specialized knowledge of Raman spectroscopy (understanding G and 2D peaks of graphene), curve fitting techniques (Lorentzian/Voigt profiles with x0, gamma, amplitude, offset parameters), and scientific data processing. The task mentions the output format but doesn't specify the input file format, fitting function type, or initial parameter estimates, making it moderately unclear. This is an unusual shell task combining domain-specific physics knowledge with numerical fitting algorithms.",raman-fitting,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:55.795107
1,2,5,4,5,4,0,"This task requires cross-compiling Doom to MIPS architecture for a JavaScript VM emulator, which is a highly specialized and unusual task. It demands deep knowledge of cross-compilation toolchains, MIPS architecture, ELF binaries, and understanding how to integrate a custom graphics backend (doomgeneric_img.c). The task gives only a vague direction without specifying the exact toolchain or build configuration needed, and verification requires running in a custom VM environment.",make-doom-for-mips,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:42.499470
1,4,4,4,3,2,1,"This task requires deep knowledge of XSS bypass techniques and HTML/JavaScript security. The solver must understand how filters work and find creative ways to bypass them (e.g., using event handlers, obfuscation, or encoding). While XSS bypass is a well-documented domain with many known patterns, success depends on understanding the specific filter implementation and applying appropriate evasion techniques.",break-filter-js-from-html,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:21.513465
2,5,3,2,2,2,1,"The task provides very explicit requirements with exact file paths, certificate parameters, and expected outputs. It requires familiarity with OpenSSL commands and Python's SSL libraries, which is specialized but well-documented knowledge. The pattern of generating self-signed certificates is extremely common with many tutorials available, making this a standard DevOps task with straightforward verification through file existence and content checks.",openssl-selfsigned-cert,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:47.202590
1,4,3,3,3,3,1,"This task requires knowledge of compiling C code with gcov instrumentation (using gcc flags like --coverage or -fprofile-arcs -ftest-coverage), extracting tarballs, and modifying PATH. The task is clearly specified but requires understanding of build systems and code coverage tools. While gcov compilation is documented, combining it with SQLite's build system and PATH configuration adds moderate complexity.",sqlite-with-gcov,claude-opus-4-5-20251101,anthropic,2026-01-29T22:49:00.127076
0,3,3,4,3,3,1,"This task requires SQL query optimization knowledge without any hints about the original query's structure or what optimizations are needed. The solver must analyze the existing query, understand the database schema, identify performance bottlenecks, and apply appropriate optimization techniques (indexes, query restructuring, etc.) while maintaining identical output. While SQL optimization patterns are well-documented, applying them requires understanding both the query and database structure.",query-optimize,claude-opus-4-5-20251101,anthropic,2026-01-29T22:48:54.238993
2,4,5,4,4,4,0,"This task requires deep expertise in PyTorch distributed training, pipeline parallelism concepts, and the LLaMA model architecture. The AFAB scheduling pattern and P2P communication between pipeline stages require understanding of advanced distributed systems concepts. While the function signature and requirements are clearly specified, implementing correct layer partitioning, inter-rank communication, and proper gradient flow is complex and error-prone.",torch-pipeline-parallelism,claude-opus-4-5-20251101,anthropic,2026-01-29T22:49:01.247828
