instance_id,debugging_complexity,dependency_complexity,side_effect_risk,logical_reasoning_required,codebase_scale,standard_pattern_available,similar_issue_likelihood,solution_hint,expected_behavior_clarity,fix_localization,reproduction_clarity,verification_difficulty,problem_clarity,change_blast_radius,test_assertion_complexity
password-recovery,4,1,2,4,1,0,0,1,5,5,3,2,4,1,1
financial-document-processor,4,1,3,4,1,1,1,1,5,4,4,4,4,1,4
qemu-startup,2,2,3,3,1,1,1,2,5,5,5,4,4,1,4
db-wal-recovery,4,1,2,3,1,0,0,1,5,5,4,2,4,1,3
hf-model-inference,2,3,3,2,1,1,1,3,5,4,4,2,5,1,3
winning-avg-corewars,5,1,2,4,1,1,0,1,5,5,5,4,5,1,4
gpt2-codegolf,5,2,2,5,1,0,0,1,5,5,5,4,4,1,2
sam-cell-seg,4,4,2,4,1,1,0,2,5,4,5,4,5,1,4
path-tracing-reverse,5,2,2,4,1,0,0,2,5,5,5,4,4,1,4
gcode-to-text,4,1,3,4,1,0,0,0,5,5,3,4,4,1,1
chess-best-move,4,1,3,4,1,1,0,1,5,5,4,2,4,1,2
bn-fit-modify,4,1,2,4,1,1,0,2,5,5,4,4,4,1,4
fix-code-vulnerability,3,1,2,3,2,1,1,3,5,5,5,2,5,2,3
caffe-cifar-10,4,5,4,3,3,1,1,2,5,4,4,4,5,2,4
reshard-c4-data,3,1,2,4,1,0,1,1,5,4,5,4,4,1,4
mcmc-sampling-stan,4,4,4,4,1,1,1,2,5,4,5,4,5,1,4
portfolio-optimization,2,2,2,3,1,1,1,2,5,4,5,4,5,2,4
raman-fitting,3,1,2,3,1,1,1,1,5,5,4,2,4,1,2
make-doom-for-mips,5,2,2,5,2,0,0,1,5,4,4,4,4,2,4
break-filter-js-from-html,3,2,2,4,1,0,0,1,5,5,5,3,5,1,4
openssl-selfsigned-cert,2,1,2,2,1,1,1,3,5,5,4,2,5,1,3
sqlite-with-gcov,2,2,3,2,4,1,1,2,5,4,5,2,4,1,2
query-optimize,3,1,2,4,1,1,1,1,5,5,5,4,5,1,5
torch-pipeline-parallelism,4,3,2,4,1,1,0,2,5,4,5,4,5,1,5
build-cython-ext,3,3,4,3,2,1,1,2,5,4,5,3,5,2,3
filter-js-from-html,4,2,2,4,1,1,1,2,5,5,5,4,4,1,5
nginx-request-logging,2,2,4,3,1,1,1,3,5,4,4,2,5,2,3
torch-tensor-parallelism,4,2,2,4,1,1,0,2,5,5,5,4,5,1,4
polyglot-c-py,4,1,2,4,1,1,0,1,5,5,5,3,5,1,3
overfull-hbox,3,1,2,4,1,0,1,1,5,5,5,2,5,1,4
distribution-search,4,2,2,5,1,0,0,1,5,5,5,2,5,1,4
model-extraction-relu-logits,5,2,2,5,1,0,0,1,5,5,5,4,4,1,4
prove-plus-comm,2,1,2,3,1,1,1,2,5,5,4,1,5,1,2
largest-eigenval,4,2,3,4,1,1,1,1,5,5,5,5,5,1,5
kv-store-grpc,2,2,3,2,1,1,1,3,5,5,5,2,5,1,3
llm-inference-batching-scheduler,5,1,2,5,1,0,0,2,5,4,5,4,5,1,5
git-multibranch,3,2,5,4,1,1,1,2,5,4,5,4,5,2,4
headless-terminal,3,1,3,3,1,1,1,2,5,5,5,3,5,1,3
pytorch-model-cli,3,2,2,4,1,1,1,1,5,4,5,3,4,1,4
mteb-retrieve,3,3,2,3,1,1,1,2,5,5,4,2,5,1,1
count-dataset-tokens,3,3,2,3,1,1,1,2,5,5,4,2,4,1,1
tune-mjcf,3,3,2,4,1,0,0,1,5,4,5,5,4,1,5
constraints-scheduling,3,1,2,4,1,1,1,2,5,5,4,4,5,1,4
extract-moves-from-video,4,2,2,4,1,1,1,1,5,5,3,4,4,1,3
cancel-async-tasks,3,1,2,4,1,1,1,1,5,5,5,4,4,1,4
extract-elf,3,1,2,4,1,1,1,1,5,5,5,3,4,1,4
merge-diff-arc-agi-task,3,1,2,4,1,1,1,2,5,5,5,3,4,1,3
modernize-scientific-stack,2,2,2,2,1,1,1,3,5,4,5,2,5,1,3
dna-insert,3,2,2,4,1,1,0,2,5,5,4,3,4,1,4
mteb-leaderboard,3,2,2,3,1,1,1,1,5,5,5,2,4,1,1
install-windows-3.11,4,4,4,4,1,1,1,3,5,4,4,5,4,2,5
feal-differential-cryptanalysis,5,1,2,5,1,1,0,2,5,4,5,3,4,1,2
video-processing,4,1,2,4,1,1,0,1,5,5,5,3,4,1,3
pypi-server,3,2,4,3,1,1,1,3,5,4,5,3,5,1,3
vulnerable-secret,3,1,2,3,1,1,1,1,5,5,4,2,4,1,2
pytorch-model-recovery,3,1,2,4,1,1,0,2,5,4,4,4,5,1,4
mailman,4,3,5,4,1,1,1,2,5,4,4,4,5,2,5
polyglot-rust-c,5,1,2,5,1,0,0,1,5,5,5,4,5,1,3
crack-7z-hash,3,4,3,3,4,1,1,1,5,5,4,1,4,1,1
dna-assembly,4,2,2,4,1,1,0,2,5,4,5,4,5,1,4
build-pov-ray,4,2,3,4,1,0,1,2,5,5,4,4,5,1,4
cobol-modernization,2,1,2,3,1,1,1,2,5,5,5,2,4,1,2
fix-ocaml-gc,4,3,2,4,4,0,0,1,5,4,5,3,4,4,1
write-compressor,5,1,2,5,1,0,0,0,5,5,5,4,4,1,2
rstan-to-pystan,4,4,4,4,1,1,0,2,5,5,4,4,5,1,3
protein-assembly,5,2,3,4,1,0,0,2,5,5,4,4,4,1,4
path-tracing,4,1,2,4,1,0,0,1,5,5,5,4,5,1,4
large-scale-text-editing,3,1,2,3,1,1,1,2,5,5,5,4,5,1,4
train-fasttext,4,2,4,3,1,1,1,2,5,5,4,4,4,1,4
multi-source-data-merger,2,2,2,3,1,1,1,2,5,5,4,2,5,1,3
regex-chess,5,2,2,5,1,0,0,2,5,5,5,5,5,1,4
schemelike-metacircular-eval,5,1,2,5,1,1,0,2,5,4,5,4,5,1,4
sanitize-git-repo,2,4,2,3,3,1,1,2,5,4,4,3,5,1,3
fix-git,2,2,2,3,2,1,1,1,4,4,3,2,3,2,2
configure-git-webserver,3,2,5,4,1,1,1,1,5,1,5,4,4,4,4
git-leak-recovery,3,1,2,3,1,1,1,1,5,4,5,4,4,2,4
circuit-fibsqrt,5,1,2,5,1,0,0,1,5,4,5,4,4,1,4
regex-log,4,1,2,4,1,1,1,2,5,5,5,4,5,1,3
custom-memory-heap-crash,5,4,2,4,4,0,0,1,5,5,5,3,4,1,3
sparql-university,4,1,2,4,1,1,1,2,5,5,5,3,4,1,3
compile-compcert,4,5,4,4,3,1,1,2,5,1,4,3,5,4,4
build-pmars,3,3,4,3,1,1,1,2,5,4,5,3,5,2,3
log-summary-date-ranges,2,1,2,3,1,1,1,2,5,5,4,2,5,1,3
code-from-image,4,1,2,4,1,0,0,1,5,5,4,1,3,1,1
qemu-alpine-ssh,4,3,4,3,1,1,1,2,5,5,4,4,5,1,2
feal-linear-cryptanalysis,5,1,2,5,1,0,0,2,5,4,3,3,4,1,2
make-mips-interpreter,5,2,2,5,2,0,0,2,5,4,5,4,4,2,4
adaptive-rejection-sampler,4,2,3,4,1,1,0,2,5,4,5,4,5,1,4
sqlite-db-truncate,4,1,2,4,1,0,1,1,5,5,4,3,4,1,3
