instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
password-recovery,4,1,2,5,4,4,5,2,4,2,0,4,1,1,2
financial-document-processor,4,1,3,5,4,4,4,2,4,2,1,5,1,4,4
qemu-startup,3,1,1,3,4,4,5,1,3,3,1,3,1,1,4
db-wal-recovery,4,1,2,4,4,4,5,2,4,2,0,4,1,3,2
hf-model-inference,2,1,2,2,3,5,4,2,2,2,1,3,2,3,2
winning-avg-corewars,5,1,1,5,5,5,5,3,4,1,0,5,1,3,3
gpt2-codegolf,5,1,1,5,5,4,5,4,5,2,0,5,0,1,4
sam-cell-seg,5,1,2,4,5,4,4,3,4,2,0,4,2,3,4
path-tracing-reverse,5,1,2,5,5,4,5,4,5,2,0,5,1,2,4
gcode-to-text,5,1,2,5,5,3,5,1,4,2,0,5,0,1,2
chess-best-move,4,1,1,5,4,4,5,1,4,2,0,5,1,1,2
bn-fit-modify,4,1,2,4,5,4,5,2,4,2,0,4,2,2,3
fix-code-vulnerability,3,2,2,3,4,4,5,1,3,2,1,3,1,4,2
caffe-cifar-10,4,3,4,5,5,4,4,4,4,3,0,5,1,3,4
reshard-c4-data,4,1,2,3,3,4,4,2,4,2,1,4,1,3,4
mcmc-sampling-stan,4,1,2,4,5,5,4,3,4,3,0,4,2,2,4
portfolio-optimization,3,1,2,3,4,5,4,4,3,2,1,4,2,3,3
raman-fitting,3,1,1,3,4,4,5,1,3,2,1,3,1,2,2
make-doom-for-mips,5,2,5,5,5,4,4,4,5,2,0,5,1,2,4
break-filter-js-from-html,4,1,2,4,4,4,5,1,4,2,1,2,0,2,4
openssl-selfsigned-cert,1,1,1,2,3,5,5,1,2,2,1,3,2,2,2
sqlite-with-gcov,3,4,2,3,3,4,4,4,3,3,1,3,1,2,2
query-optimize,4,1,1,3,3,4,5,2,3,1,1,2,1,3,3
torch-pipeline-parallelism,4,1,2,5,5,4,4,3,4,2,0,5,2,3,4
build-cython-ext,4,2,4,4,4,4,4,3,4,3,1,4,1,3,3
filter-js-from-html,3,1,1,3,4,4,5,2,4,2,1,3,1,4,4
nginx-request-logging,2,1,2,2,3,5,4,1,2,3,1,3,3,3,2
torch-tensor-parallelism,4,1,1,4,5,4,5,2,4,1,0,4,2,3,4
polyglot-c-py,5,1,1,4,4,5,5,3,4,2,0,4,0,3,2
overfull-hbox,5,1,2,4,4,4,5,1,4,2,0,4,1,3,3
distribution-search,5,1,1,5,4,5,5,2,5,2,0,5,0,3,2
model-extraction-relu-logits,5,1,2,5,5,4,5,1,5,2,0,5,1,2,4
prove-plus-comm,4,1,1,3,5,4,5,2,4,2,1,2,1,2,2
largest-eigenval,4,1,1,4,4,4,5,1,3,2,0,3,1,3,4
kv-store-grpc,3,1,2,3,4,5,5,2,3,3,1,3,2,2,3
llm-inference-batching-scheduler,5,1,3,5,4,5,4,2,5,2,0,5,1,4,3
git-multibranch,3,1,3,4,4,5,4,1,3,4,1,4,2,2,3
headless-terminal,3,1,1,4,4,4,5,2,3,2,1,4,1,3,3
pytorch-model-cli,5,1,3,4,5,4,4,4,4,2,0,5,1,2,3
mteb-retrieve,5,1,1,4,5,5,5,2,3,2,0,3,1,1,2
count-dataset-tokens,4,1,1,4,4,4,5,2,3,2,1,3,1,1,2
tune-mjcf,5,1,2,4,5,4,4,2,4,2,0,3,1,3,4
constraints-scheduling,3,1,1,4,3,5,5,1,4,2,1,3,1,4,4
extract-moves-from-video,5,1,1,5,5,3,5,1,3,2,0,5,0,2,4
cancel-async-tasks,3,1,1,4,4,4,5,2,4,1,1,3,1,5,4
extract-elf,4,1,1,4,5,4,5,3,4,2,0,4,1,2,3
