instance_id,information_completeness,dependency_complexity,atypicality,verification_difficulty,reproduction_clarity,codebase_scale,solution_hint,error_specificity,expected_behavior_clarity,standard_pattern_available,codebase_scope,fix_localization,domain_knowledge_required,environment_setup_complexity,problem_clarity
adaptive-rejection-sampler,4,2,4,4,4,1,2,4,4,1,2,4,5,3,4
bn-fit-modify,3,1,4,4,3,1,2,3,3,0,1,5,5,1,4
break-filter-js-from-html,2,2,3,2,4,1,1,4,4,1,1,5,4,1,4
build-cython-ext,4,3,3,3,4,2,2,4,4,1,4,4,3,3,4
build-pmars,4,3,3,3,4,1,2,4,4,1,2,4,3,3,4
build-pov-ray,3,2,4,3,4,1,1,4,4,0,3,5,4,3,4
caffe-cifar-10,4,5,3,4,3,3,2,4,4,1,3,4,4,5,4
cancel-async-tasks,3,1,3,4,4,1,1,3,3,1,1,5,3,1,3
chess-best-move,2,1,5,3,3,1,1,4,4,0,1,5,5,1,3
circuit-fibsqrt,4,1,5,3,4,1,1,5,5,0,1,4,5,1,4
cobol-modernization,3,1,3,3,4,1,2,4,4,0,2,5,3,2,4
code-from-image,2,1,5,2,3,1,1,3,4,0,1,5,4,1,2
compile-compcert,4,5,3,3,3,3,2,4,4,1,3,1,4,5,4
configure-git-webserver,4,2,2,4,5,1,2,4,5,1,3,1,4,4,4
constraints-scheduling,4,1,3,4,4,1,2,5,4,0,1,5,3,1,4
count-dataset-tokens,3,3,3,4,3,1,2,4,4,0,1,5,4,2,3
crack-7z-hash,2,4,3,2,3,4,1,4,3,1,2,5,4,3,3
custom-memory-heap-crash,3,4,5,4,5,4,1,4,4,0,3,5,5,3,3
db-wal-recovery,3,1,4,2,3,1,1,4,4,0,1,5,4,1,3
distribution-search,4,2,4,2,4,1,1,5,5,0,1,5,4,1,4
dna-assembly,3,2,5,5,3,1,2,4,4,0,1,4,5,1,4
dna-insert,4,2,5,4,3,1,2,4,4,0,1,5,5,1,4
extract-elf,3,1,4,3,4,1,1,4,4,0,1,5,4,1,3
extract-moves-from-video,2,2,5,4,2,1,1,2,2,0,1,5,4,2,3
feal-differential-cryptanalysis,3,1,4,3,3,1,1,4,4,0,2,4,5,1,3
feal-linear-cryptanalysis,3,1,5,3,3,1,1,4,4,0,3,4,5,1,3
filter-js-from-html,2,2,3,4,4,1,1,3,3,1,1,5,3,1,3
financial-document-processor,2,1,4,4,3,1,2,4,3,0,2,4,4,2,4
fix-code-vulnerability,4,1,2,2,4,2,2,3,3,1,1,5,3,1,4
fix-git,2,2,3,3,2,2,1,3,3,1,1,4,3,1,2
fix-ocaml-gc,2,3,5,4,3,4,1,3,4,0,1,4,5,3,3
gcode-to-text,2,1,5,4,2,1,0,2,2,0,1,5,5,1,2
git-leak-recovery,4,1,2,3,3,1,1,4,4,1,1,4,3,1,4
git-multibranch,4,2,3,4,5,1,2,5,5,1,3,4,4,3,5
gpt2-codegolf,3,2,5,4,4,1,1,4,3,0,1,5,5,1,3
headless-terminal,2,1,3,4,3,1,1,3,3,1,1,5,4,1,3
hf-model-inference,5,3,2,3,4,1,3,5,5,1,2,4,3,2,5
install-windows-3.11,3,4,4,4,3,1,2,4,3,0,3,4,4,4,4
kv-store-grpc,4,2,2,3,5,1,3,4,4,1,2,5,3,2,5
large-scale-text-editing,2,1,4,4,5,1,1,4,3,0,1,5,4,1,2
largest-eigenval,4,2,3,4,4,1,1,4,4,1,1,5,3,1,4
llm-inference-batching-scheduler,4,1,4,4,4,1,2,5,5,0,2,4,4,1,4
log-summary-date-ranges,5,1,2,3,4,1,3,5,5,1,1,5,2,1,5
mailman,3,3,3,4,3,1,2,4,4,1,4,4,4,4,4
make-doom-for-mips,2,2,5,4,2,2,1,3,3,0,5,4,5,3,2
make-mips-interpreter,2,2,5,4,3,2,1,3,3,0,5,4,5,3,2
mcmc-sampling-stan,4,4,4,4,4,1,3,4,3,1,2,4,5,4,5
merge-diff-arc-agi-task,2,1,4,4,4,1,1,3,2,0,2,5,4,2,3
model-extraction-relu-logits,3,2,5,4,3,1,1,3,3,0,1,5,5,1,3
modernize-scientific-stack,4,2,1,2,4,1,3,4,4,1,1,4,2,1,5
mteb-leaderboard,3,2,4,3,2,1,1,4,4,0,3,5,5,2,4
mteb-retrieve,4,3,4,3,4,1,2,5,4,0,1,5,4,2,4
multi-source-data-merger,4,2,2,3,4,1,3,5,4,1,1,5,3,1,5
nginx-request-logging,5,2,2,3,5,1,3,5,4,1,3,4,3,2,5
openssl-selfsigned-cert,4,1,1,3,5,1,3,5,4,1,1,5,3,1,5
overfull-hbox,3,1,4,2,3,1,2,4,4,0,2,5,3,1,4
password-recovery,3,1,4,3,2,1,1,4,4,0,2,5,4,1,3
path-tracing,3,1,5,4,4,1,0,4,4,0,1,5,5,1,3
path-tracing-reverse,2,2,4,4,4,1,1,3,3,0,1,5,4,2,3
polyglot-c-py,5,1,4,2,5,1,1,4,4,1,1,5,3,1,5
polyglot-rust-c,4,1,5,3,5,1,1,5,4,0,1,5,4,1,4
portfolio-optimization,4,2,2,3,4,1,3,4,4,1,2,4,3,2,5
protein-assembly,3,2,5,4,3,1,2,5,4,0,3,5,5,1,4
prove-plus-comm,3,1,4,1,3,1,1,4,4,1,1,5,4,1,3
pypi-server,4,2,3,3,4,1,2,5,5,1,3,4,3,2,4
pytorch-model-cli,2,2,4,3,3,1,1,4,4,0,3,4,4,2,3
pytorch-model-recovery,3,1,3,3,4,1,2,4,4,1,1,4,4,1,4
qemu-alpine-ssh,4,3,3,4,4,1,2,4,5,1,3,5,4,4,4
qemu-startup,3,2,3,4,4,1,2,4,4,1,1,5,4,2,4
query-optimize,3,1,3,4,4,1,1,3,3,1,1,5,3,1,3
raman-fitting,3,1,3,3,3,1,2,3,4,1,1,5,4,1,3
regex-chess,4,2,5,4,4,1,0,5,5,0,1,5,5,1,4
regex-log,4,1,3,4,5,1,2,4,4,0,1,5,3,1,4
reshard-c4-data,3,1,3,4,4,1,1,4,3,0,1,4,3,2,3
rstan-to-pystan,3,4,4,4,4,1,2,4,4,0,2,5,4,3,4
sam-cell-seg,4,4,4,4,4,1,2,4,3,0,1,4,5,3,4
sanitize-git-repo,3,4,2,3,3,3,2,4,4,1,4,4,3,3,4
schemelike-metacircular-eval,3,1,4,4,4,1,1,4,4,1,3,4,5,1,4
sparql-university,4,1,4,4,4,1,2,5,4,0,1,5,4,1,4
sqlite-db-truncate,2,1,4,3,3,1,1,3,4,0,1,5,4,1,3
sqlite-with-gcov,3,2,3,3,4,4,2,3,3,1,2,4,3,2,4
torch-pipeline-parallelism,4,3,3,4,3,1,2,4,4,1,1,4,5,2,4
torch-tensor-parallelism,3,2,3,4,3,1,2,4,4,1,1,5,5,1,4
train-fasttext,3,2,3,4,3,1,1,4,4,1,2,5,4,2,3
tune-mjcf,3,3,4,4,4,1,1,4,4,0,1,4,5,1,4
video-processing,3,1,4,4,3,1,1,3,3,0,1,5,4,1,3
vulnerable-secret,2,1,2,2,3,1,1,3,4,1,1,5,4,1,3
winning-avg-corewars,4,1,5,4,5,1,1,5,5,0,2,5,5,2,4
write-compressor,3,1,5,3,3,1,1,4,5,0,2,5,5,1,4
