solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
3,5,3,2,2,2,1,4,4,5,2,1,5,1,2,2,2,1,1,2,django__django-11880,4,5,3,2,1,4,3,4
3,5,3,2,2,2,1,4,5,5,2,2,5,1,2,4,2,4,2,3,django__django-12039,4,5,3,2,1,4,3,5
3,5,3,2,2,2,1,4,3,4,2,2,4,1,2,4,2,3,1,2,django__django-12193,4,5,2,3,2,4,4,4
2,5,4,4,4,3,0,5,5,4,4,2,5,1,3,3,2,3,2,3,astropy__astropy-14598,4,4,2,3,3,4,4,4
2,4,4,3,4,2,1,5,5,4,3,2,5,1,3,3,2,2,2,3,django__django-13297,4,5,3,2,1,4,3,4
3,5,3,2,2,2,1,4,5,4,2,2,5,1,2,4,2,3,1,2,sympy__sympy-21847,4,5,2,2,1,3,2,3
1,5,4,3,3,2,0,4,5,4,2,1,5,1,2,4,3,3,2,3,matplotlib__matplotlib-20676,5,5,2,3,2,4,4,4
2,4,3,2,2,2,1,4,3,4,2,1,4,1,2,4,2,3,2,2,django__django-14155,4,5,2,2,1,4,3,4
1,5,4,2,3,2,1,4,5,4,3,1,5,1,2,2,3,1,2,3,sphinx-doc__sphinx-9591,4,4,3,2,2,4,4,3
3,5,4,4,4,3,0,5,4,4,4,2,5,0,3,4,3,4,4,4,django__django-11087,4,4,3,2,2,4,2,4
3,5,4,2,3,2,1,5,5,3,2,2,5,1,2,4,3,3,2,3,django__django-16938,4,4,3,2,2,4,3,4
3,5,4,2,2,2,1,4,4,5,2,2,5,1,2,3,2,2,1,3,django__django-15569,4,5,2,2,1,4,3,4
1,4,4,2,3,2,1,5,4,4,2,2,4,1,3,3,2,2,2,3,django__django-13794,4,5,2,2,1,4,3,4
