instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
password-recovery,2,3,4,4,4,2,0,4,3,4,4,2,3,0,2,2,2,1,4,2,5,4,1,1,2,1,1,1
financial-document-processor,2,4,4,4,4,4,0,4,3,4,4,2,3,1,2,4,4,3,4,3,4,5,1,2,2,1,1,1
qemu-startup,2,4,4,3,3,4,1,4,4,4,3,1,3,1,3,3,3,1,3,4,5,5,1,2,1,2,2,1
db-wal-recovery,1,4,4,4,4,2,0,4,3,5,3,1,3,0,2,5,4,4,3,2,5,5,1,1,2,2,1,1
hf-model-inference,3,5,3,3,2,3,1,5,4,5,2,2,5,1,3,4,3,3,3,3,4,5,1,2,2,2,3,1
winning-avg-corewars,1,4,5,4,5,4,0,5,5,5,4,1,4,0,1,4,4,3,5,3,5,5,1,2,3,4,1,1
gpt2-codegolf,1,4,5,5,5,4,0,4,4,4,5,1,3,0,2,2,3,1,5,3,5,5,1,1,4,1,2,1
sam-cell-seg,2,4,5,4,4,4,0,4,4,4,4,1,4,0,2,5,4,4,5,4,4,5,1,3,3,2,4,1
path-tracing-reverse,1,4,4,4,4,3,0,4,4,4,4,1,4,0,2,4,4,2,4,3,5,5,1,2,4,2,2,1
gcode-to-text,0,2,5,5,5,4,0,2,2,2,5,1,2,0,3,2,1,1,5,4,5,5,1,1,1,1,1,1
chess-best-move,1,4,4,4,4,2,0,4,3,5,4,1,3,0,3,2,2,1,4,4,5,5,1,1,1,1,1,1
bn-fit-modify,2,4,5,4,4,4,0,4,3,4,4,1,4,0,2,4,4,3,4,4,5,5,1,1,2,1,1,1
fix-code-vulnerability,2,4,3,3,2,2,1,4,4,5,3,1,5,1,2,4,3,4,3,2,5,4,2,1,1,5,1,2
caffe-cifar-10,2,4,4,3,3,4,1,4,4,5,4,3,4,1,3,4,4,3,4,4,4,5,2,5,4,3,5,3
reshard-c4-data,1,4,3,3,3,3,0,4,4,4,3,2,4,1,2,4,4,2,3,3,4,5,1,2,2,2,1,1
mcmc-sampling-stan,3,5,5,4,4,4,1,4,4,5,4,2,4,1,3,4,4,2,4,4,4,5,1,4,3,1,4,1
portfolio-optimization,3,5,3,2,2,3,1,5,5,5,2,2,5,1,2,4,4,3,3,3,4,5,2,2,4,4,2,1
raman-fitting,2,3,4,3,3,3,1,4,3,4,3,1,3,1,2,3,4,1,3,2,5,5,1,1,1,1,1,1
make-doom-for-mips,1,3,5,5,5,4,0,3,3,4,5,5,2,0,3,4,4,2,5,5,4,5,2,3,4,2,2,2
break-filter-js-from-html,1,5,4,4,3,3,1,4,5,5,4,1,5,1,1,3,4,1,3,3,5,5,1,1,1,4,2,1
openssl-selfsigned-cert,3,5,3,2,1,2,1,5,5,5,2,1,5,1,2,4,4,2,3,3,5,5,1,1,1,2,1,1
sqlite-with-gcov,2,4,3,3,2,2,1,4,4,4,2,1,4,1,3,4,3,2,3,3,4,5,1,2,4,2,2,4
query-optimize,1,4,3,3,3,4,1,4,4,5,2,1,5,1,1,5,4,4,2,2,5,5,1,1,2,3,1,1
torch-pipeline-parallelism,2,4,5,4,4,4,0,4,5,4,4,1,4,0,2,4,5,3,5,4,4,5,1,2,3,2,3,1
build-cython-ext,2,4,3,3,3,3,1,4,4,4,3,4,4,1,3,5,4,4,4,3,4,5,2,3,3,3,3,2
filter-js-from-html,1,4,4,4,3,4,1,3,4,3,3,1,4,1,2,4,4,4,3,3,5,5,1,1,2,1,2,1
nginx-request-logging,3,5,3,3,2,3,1,5,5,5,2,3,5,1,3,4,3,2,3,3,4,5,2,2,1,2,2,1
torch-tensor-parallelism,2,4,4,4,3,4,1,4,5,5,4,1,5,1,2,4,4,3,4,3,5,5,1,1,2,2,2,1
polyglot-c-py,1,5,3,4,4,2,1,5,5,5,3,1,5,1,2,3,3,3,3,2,5,5,1,1,3,1,1,1
overfull-hbox,1,4,3,4,4,3,0,5,5,5,3,2,5,0,2,4,4,4,4,3,5,5,1,1,1,4,1,1
distribution-search,1,4,4,5,4,2,0,5,4,5,4,1,5,0,2,4,4,3,5,2,5,5,1,1,2,1,2,1
model-extraction-relu-logits,1,3,5,5,5,4,0,4,3,4,5,1,4,0,2,3,4,2,5,2,5,5,1,1,1,1,2,1
prove-plus-comm,1,4,4,3,3,2,1,4,3,5,3,1,3,1,1,4,3,2,2,3,5,5,1,1,2,4,1,1
largest-eigenval,1,4,3,3,3,4,1,4,5,5,3,1,5,1,2,4,4,3,3,3,5,5,1,1,1,4,2,1
kv-store-grpc,3,5,3,2,2,3,1,5,5,5,2,2,5,1,3,4,4,2,3,3,5,5,1,2,2,1,2,1
llm-inference-batching-scheduler,2,4,4,5,4,4,0,5,4,5,4,2,5,0,2,5,5,4,5,2,4,5,1,1,2,3,1,1
git-multibranch,2,5,4,3,3,4,1,5,5,5,3,3,4,1,4,3,3,1,4,4,4,5,2,3,1,2,2,1
headless-terminal,1,4,4,3,3,4,1,4,5,5,3,1,4,1,3,4,3,3,3,3,5,5,1,1,2,1,1,1
pytorch-model-cli,1,3,4,4,4,3,0,4,3,5,3,3,3,0,2,4,4,3,4,4,4,5,1,2,4,1,2,1
mteb-retrieve,2,4,4,3,3,2,0,5,4,5,3,1,4,0,2,2,2,1,3,3,5,5,1,2,2,2,3,1
count-dataset-tokens,2,3,4,3,3,3,0,4,3,4,3,1,3,1,2,1,1,1,3,3,5,5,1,2,2,2,3,1
tune-mjcf,1,4,5,3,4,4,0,4,4,5,3,1,4,0,1,4,4,3,2,3,4,5,1,1,2,4,3,1
constraints-scheduling,2,4,3,4,3,4,0,5,4,5,3,1,4,0,2,4,5,4,4,2,5,5,1,1,1,2,1,1
extract-moves-from-video,1,3,4,3,4,3,0,3,3,4,4,1,3,1,2,3,4,2,4,3,5,5,1,2,1,1,2,1
cancel-async-tasks,1,4,4,4,3,4,1,4,5,4,3,1,5,1,1,5,4,4,3,2,5,5,1,1,2,2,1,1
extract-elf,1,4,4,4,4,3,0,4,4,4,4,1,5,0,2,3,4,2,4,3,5,5,1,1,3,2,1,1
merge-diff-arc-agi-task,1,3,3,4,4,3,0,4,4,4,4,2,3,0,2,4,4,3,4,2,5,5,1,2,1,3,1,1
modernize-scientific-stack,3,5,2,2,1,2,1,5,4,5,1,1,5,1,2,3,3,2,2,2,4,5,1,1,2,1,2,1
dna-insert,2,4,5,4,5,4,0,5,3,4,4,1,4,0,2,4,4,3,4,3,5,5,1,1,1,2,2,1
mteb-leaderboard,1,4,5,3,4,2,0,4,3,4,3,2,3,0,2,2,2,1,4,3,5,5,1,2,1,1,2,1
install-windows-3.11,2,4,4,3,4,4,0,4,4,4,4,3,4,0,4,4,5,3,4,5,4,5,2,4,2,2,4,1
feal-differential-cryptanalysis,1,4,5,5,4,2,0,4,4,5,5,2,5,0,2,2,3,1,5,3,4,5,1,1,2,1,1,1
video-processing,1,3,4,4,4,4,0,4,4,4,4,1,3,0,2,4,3,3,4,3,5,5,1,1,2,2,1,1
pypi-server,2,5,3,3,3,3,1,5,4,5,3,3,5,1,4,3,3,3,4,4,4,5,1,2,1,2,2,1
vulnerable-secret,1,3,4,4,3,1,1,4,3,5,3,1,3,1,2,3,2,2,3,2,5,4,1,1,4,1,1,1
pytorch-model-recovery,3,5,4,3,2,3,1,5,4,5,3,1,5,1,2,4,4,3,3,3,4,5,1,1,2,2,1,1
mailman,2,4,4,3,3,4,1,4,4,4,4,3,4,1,4,4,4,2,4,4,4,5,2,4,2,4,3,1
polyglot-rust-c,1,5,5,5,5,2,0,5,5,5,4,1,5,0,2,3,3,3,5,4,5,5,1,1,5,2,1,1
crack-7z-hash,1,3,4,3,3,2,1,4,3,5,3,2,3,1,3,2,1,1,4,4,5,5,1,3,3,2,4,4
dna-assembly,2,4,5,4,5,4,0,4,3,4,5,1,4,0,2,5,5,4,5,4,4,5,1,1,2,1,2,1
