solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,entry_point_clarity,change_blast_radius,fix_localization
2,4,3,2,2,2,1,4,3,4,2,2,4,1,2,2,2,1,1,2,django__django-11880,2026-03-06T15:19:07.161159,gpt-5.4-2026-03-05,openai,django__django-11880,5,2,5
3,5,4,3,3,2,1,5,5,5,2,2,4,1,2,4,2,4,2,3,django__django-12039,2026-03-06T15:19:07.532313,gpt-5.4-2026-03-05,openai,django__django-12039,5,2,5
2,4,4,3,4,2,1,4,3,4,2,2,4,1,2,3,2,2,1,2,django__django-12193,2026-03-06T15:19:08.234921,gpt-5.4-2026-03-05,openai,django__django-12193,5,2,5
1,5,4,4,4,3,0,5,5,4,4,2,5,1,3,3,2,3,2,3,astropy__astropy-14598,2026-03-06T15:18:47.657115,gpt-5.4-2026-03-05,openai,astropy__astropy-14598,4,2,4
2,4,4,3,4,3,1,5,4,4,3,2,5,1,3,2,2,1,2,3,django__django-13297,2026-03-06T15:19:10.934181,gpt-5.4-2026-03-05,openai,django__django-13297,5,2,4
1,5,3,3,3,2,1,4,5,4,2,1,4,1,3,4,2,4,1,2,sympy__sympy-21847,2026-03-06T15:21:57.700764,gpt-5.4-2026-03-05,openai,sympy__sympy-21847,5,2,5
1,5,4,3,3,3,1,4,5,4,3,2,5,1,3,3,3,2,2,2,matplotlib__matplotlib-20676,2026-03-06T15:20:10.009061,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-20676,4,2,4
2,4,3,2,3,2,1,4,3,4,2,2,4,1,2,4,2,3,1,2,django__django-14155,2026-03-06T15:19:30.079561,gpt-5.4-2026-03-05,openai,django__django-14155,5,2,5
1,5,4,3,3,3,1,4,5,4,3,2,5,1,3,2,3,1,2,3,sphinx-doc__sphinx-9591,2026-03-06T15:21:29.098691,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-9591,4,2,4
2,5,4,4,4,4,0,5,4,4,4,3,5,1,3,4,3,4,3,4,django__django-11087,2026-03-06T15:18:48.832637,gpt-5.4-2026-03-05,openai,django__django-11087,4,2,4
1,4,4,3,4,3,0,5,5,3,4,3,4,1,3,4,3,3,2,3,django__django-16938,2026-03-06T15:20:09.396555,gpt-5.4-2026-03-05,openai,django__django-16938,4,2,4
3,5,4,2,2,2,1,4,2,4,1,2,4,1,2,3,2,2,1,2,django__django-15569,2026-03-06T15:19:49.354974,gpt-5.4-2026-03-05,openai,django__django-15569,5,2,5
1,4,3,2,2,2,1,5,3,4,2,2,4,1,2,3,2,2,2,3,django__django-13794,2026-03-06T15:19:27.981136,gpt-5.4-2026-03-05,openai,django__django-13794,5,2,5
3,5,3,2,2,2,1,4,3,4,2,2,4,1,2,3,2,2,1,2,django__django-11603,2026-03-06T15:18:50.587987,gpt-5.4-2026-03-05,openai,django__django-11603,5,2,5
3,5,4,4,4,3,0,5,5,5,2,1,5,1,3,2,2,2,2,3,django__django-11551,2026-03-06T15:18:51.384040,gpt-5.4-2026-03-05,openai,django__django-11551,5,2,5
2,5,4,3,3,3,1,5,5,5,2,2,5,1,3,3,4,2,3,3,django__django-16502,2026-03-06T15:20:07.299437,gpt-5.4-2026-03-05,openai,django__django-16502,4,2,5
1,5,4,4,4,3,0,4,5,5,4,3,4,1,3,4,3,4,3,3,sympy__sympy-21596,2026-03-06T15:21:59.781870,gpt-5.4-2026-03-05,openai,sympy__sympy-21596,4,2,5
1,5,4,3,3,2,1,4,5,4,3,2,5,1,3,2,2,2,2,3,sphinx-doc__sphinx-10449,2026-03-06T15:21:10.935733,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-10449,4,2,4
2,4,3,2,2,2,1,3,2,4,2,2,3,1,2,2,2,2,2,2,django__django-15103,2026-03-06T15:19:47.954374,gpt-5.4-2026-03-05,openai,django__django-15103,5,2,4
2,5,3,2,2,2,1,5,5,5,2,1,4,1,3,1,1,2,2,2,sympy__sympy-11618,2026-03-06T15:21:30.507964,gpt-5.4-2026-03-05,openai,sympy__sympy-11618,5,2,4
2,4,4,4,4,3,0,5,4,4,3,2,4,1,2,2,2,3,1,3,django__django-15695,2026-03-06T15:19:49.607803,gpt-5.4-2026-03-05,openai,django__django-15695,5,2,5
2,4,3,2,2,2,1,4,3,5,2,2,4,1,2,2,2,2,1,2,django__django-13741,2026-03-06T15:19:27.495856,gpt-5.4-2026-03-05,openai,django__django-13741,5,2,5
1,4,4,4,4,3,0,5,4,4,3,2,4,1,3,2,3,2,1,3,django__django-15380,2026-03-06T15:19:50.156635,gpt-5.4-2026-03-05,openai,django__django-15380,5,2,5
2,4,3,2,2,2,1,4,2,4,2,2,4,1,2,4,3,4,1,2,django__django-14315,2026-03-06T15:19:29.138041,gpt-5.4-2026-03-05,openai,django__django-14315,5,2,5
3,5,3,2,2,2,1,4,2,4,2,1,4,1,3,2,2,3,1,2,django__django-11951,2026-03-06T15:19:08.468124,gpt-5.4-2026-03-05,openai,django__django-11951,5,2,5
1,4,4,3,4,4,1,4,4,4,4,3,3,1,4,4,2,4,3,3,django__django-13346,2026-03-06T15:19:11.729989,gpt-5.4-2026-03-05,openai,django__django-13346,4,2,5
2,5,4,3,3,2,1,5,5,4,2,2,5,1,2,2,2,3,1,2,scikit-learn__scikit-learn-14894,2026-03-06T15:21:10.005258,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-14894,5,2,5
2,4,3,2,2,2,1,3,2,4,2,2,3,1,2,3,4,2,2,2,django__django-13809,2026-03-06T15:19:27.874066,gpt-5.4-2026-03-05,openai,django__django-13809,5,2,5
2,4,4,3,3,3,1,4,5,4,2,2,4,1,3,2,2,2,1,2,sympy__sympy-16450,2026-03-06T15:21:33.488963,gpt-5.4-2026-03-05,openai,sympy__sympy-16450,5,2,5
3,5,3,2,2,2,1,4,2,5,1,1,4,1,2,1,2,2,1,2,django__django-14765,2026-03-06T15:19:48.425188,gpt-5.4-2026-03-05,openai,django__django-14765,5,2,5
1,4,4,3,4,4,0,4,5,4,4,3,4,0,3,4,2,3,2,2,matplotlib__matplotlib-21568,2026-03-06T15:20:14.518343,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-21568,4,2,5
1,5,4,3,4,2,0,4,5,4,3,2,4,1,2,2,2,2,2,2,sphinx-doc__sphinx-7757,2026-03-06T15:21:12.003923,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-7757,4,2,5
1,5,4,4,4,3,0,5,5,4,4,3,5,1,3,3,3,2,1,3,django__django-15973,2026-03-06T15:20:06.160156,gpt-5.4-2026-03-05,openai,django__django-15973,4,3,3
2,5,3,3,3,2,0,5,5,4,2,2,5,1,3,3,2,3,1,2,sphinx-doc__sphinx-8621,2026-03-06T15:21:17.600275,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-8621,5,2,5
